,UKF248,UKF266,ZH1007inf,ZH8812bulk
IGFL3,,,,0.09485682284201835
BMP1,0.08058555932798617,0.03923965514327619,0.0009506790824206999,0.06255492311786004
NDP,-0.007334097696627374,0.035420647424323694,-0.05064318111490923,0.05747488943569874
TNFSF18,0.05834442501438916,0.0842070960256573,0.1171263745063492,-0.01832714722790213
RTN4,0.02879611877370726,-0.026254220128498554,-0.027244892957784133,-0.09331033852730748
HEBP1,0.014631199346213371,-0.0315007652176943,0.05151979684106056,0.03305645274615352
WNT7B,-0.04535440408991485,0.03906372050391007,0.1038021398984521,-0.011853917119942782
PTMA,0.05598518535220859,0.03552542375820481,0.043937944809813376,-0.04011370464571941
CEACAM1,-0.019506064083707496,,,-0.026334197186427263
PDAP1,0.04942305098162943,0.044671103516487294,0.0572692822506931,-0.007506954938440863
QDPR,-0.039202120331275146,-0.011083312161130392,-0.006247995974356214,-0.10361254367934912
POMC,-0.023291195065440844,-0.019664214186493764,0.06610356965478666,0.0010186465977434843
CCL18,-0.024341724964978124,,,
CCL17,,,,-0.023430329217082196
VEGFD,0.05893173900699509,,,0.07677896668188085
TNFSF13,0.018359256724885212,-0.01432353544498635,,0.09595669186089416
WNT5A,0.05723172683910927,0.03019490253892463,0.019506075453385528,0.0902460232722974
CXCL8,-0.025651388987073552,0.052331463465157775,,-0.033265960036905844
GRN,0.047547745885558795,-0.04006098417494396,0.04167986568069917,0.027271668784382627
MIA,-0.027300141419344517,-0.0112098558783474,0.03217875409747118,0.06389684197400375
COL4A4,-0.02923421391211922,-0.013628211156152023,,-0.02158346437392877
TAC1,-0.021017608693292777,0.008405241405087575,,
RARRES2,-0.07607545500370218,0.021824317483261843,0.006116473029622206,-0.0045308613638178966
FGF7,,0.028391657000765225,0.02617094644168244,0.10207216623800701
HBEGF,0.047830344463083214,0.0013009079746204107,0.04612080436067724,0.03970961444140828
PI3,-0.025608520952981814,,,0.13548232194716878
PCSK1N,-0.0401501016628947,-0.010025740091077043,-0.013939061798672941,0.1038164235155905
NTS,,0.006184017649206435,,
SFRP1,-0.00136488354426275,0.03362288850722489,-0.02372970959687074,0.008696154504594125
MICA,0.025287896464884854,0.006083735240495142,0.0823924601455908,0.047128922287719574
TG,0.014732053456123143,-0.019203425305967248,-0.03283988883303638,
ADA,0.08399848744801569,0.04081452043383947,0.017666547820717447,0.03462334675408324
LAMC3,0.08626008021511182,0.0708924579208545,0.03662532956403265,0.09168009118317004
CCL7,-0.015483393412252829,,,
NGF,-0.02658421759766945,0.02202534952196367,,
TNFSF15,,-0.022250832664620458,0.01835495786266924,
HMGB1,0.012158053754490129,0.015533714286951139,-0.05845190366136976,-0.010541814743312006
ITGB3BP,0.05812525657286872,0.03247247258719935,-0.030065580672881932,0.04415285754520865
AANAT,0.007286587288143971,,,0.0904831309832255
RELN,0.0006238985153545412,0.014112303960027795,,0.01903592826465673
IL15,-0.042015195069273814,-0.015832790237594353,-0.005815283465242046,0.09888232232144892
UTS2,,,0.03635334278695325,
BSG,-0.05280810039241461,0.01462410409357699,0.02598447962081001,0.10889695388936962
ADAMTS3,0.009197543812437866,0.13432259071642041,0.06069024707902982,0.14075809098615608
CD34,0.09610073743028026,0.053699251806531546,-0.008293373762982368,0.14116662528226348
CCL23,,,-0.028563120681378236,
PLAT,0.09485630416331874,0.06155996980595071,0.015532364470754643,0.09801394218909518
CKLF,0.0033219925422957562,0.05927796363495391,0.008321796284954587,0.11357991615030592
CD24,-0.0013834343860864196,0.018362833965000894,-0.07766507466167241,-0.026559368204786396
HSP90AA1,-0.04432369107658763,-0.07851843570230185,-0.01909077063730343,-0.04883890162292195
BMP4,-0.03399714810031965,-0.01673487686315487,0.013663473450902928,0.044566448158106876
SCGB3A1,-0.015483391863934175,0.05531804760026709,-0.03524918557375646,
IGFBP4,0.08921325593827759,0.062401003344411586,0.05677293305023897,0.14954653045966942
LEFTY2,0.02783754527326794,0.03634611837044201,-0.10060265463702141,0.13137328288799777
PF4,-0.01606153361088485,,,
ANGPTL2,0.06718735931955813,0.06527630018934899,0.010939942326601285,-0.03531635745744728
LRIG2,-0.0034732312331393557,0.0017733648943980853,-0.0508740375906937,-0.004204382212429145
ICOSLG,0.029867943926837576,0.05696397428056476,0.020690521670494212,-0.01924826847322133
WIF1,-0.02890012273208618,0.015950454284667483,,
