,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.07174806661671597,,,,,,,,,,-0.01971270287049392,,,-0.022546137955119488,
BMP1,0.0030248731210899835,0.020575451189331507,-0.05579276783208806,0.016764353028106905,0.0024276753727478944,0.007876055454557048,0.07818604627043006,0.20216391255914082,0.01413611788195337,-0.0027747344995470774,0.08915123592803878,0.10626847068517405,0.0066103967227825085,0.003885436793050906,0.0778328417592001,0.010753945455649061,0.017771356671252507,-0.00714778818016274,0.02358814791740794,0.11895620597142553,0.010282529870377225,0.013044741154193564
NDP,0.10390043814463015,0.10769070585223303,0.015644271873161322,0.03271053947590311,0.04190093775555422,-0.04703036805008285,0.020252202545298817,0.04439787585748307,-0.01932146113833682,0.01871641865807036,0.0461376881022945,0.064215791993524,0.07924698862644876,0.0754624141670798,0.042749428080415486,0.11536918394918957,0.08543555186205665,0.07412155852192927,-0.0299677949287908,-0.08170405916870081,0.02569751066927573,0.17348483401825554
TNFSF18,0.05886157284375162,-0.013137664486704064,-0.008843373992192162,-0.039216419044411394,,,-0.016407529798478575,-0.019422658092633594,-0.028477827864256944,,,,0.1330510933434971,,-0.039573610290350385,,,-0.020329362520701357,,-0.031128521668855096,0.10671980671579465,-0.007449680931463634
IL36G,,,,,,,,,,,,-0.02275885917069407,,,,,,,,,,
RTN4,-0.0011476199111966005,-0.06927707144284515,-0.01631698709801065,-0.08901351457998709,-0.0015660818636846227,-0.05634897690618774,-0.10407785595690254,-0.2555521355796916,0.00839850857443154,-0.017109801508749495,0.02187010981836155,-0.040088993944607174,-0.04267098462299553,0.07779569953843199,0.11399431400081211,-0.027838892796624402,0.02819980834609304,0.03226229418901449,-0.03387717714911331,-0.0106476463426373,0.016189497795402,-0.09511240932837212
HEBP1,-0.01970651044267191,0.027307562501107895,-0.011836183594257891,-0.02472220606838131,-0.03508427287653594,-0.06939956711836291,0.046664616300880646,0.1133130814371522,-0.019487845719637215,0.026499838600478373,0.09244551464305122,0.008938491500090484,-0.015192637345275511,0.03515253163202072,-0.010138561295133883,0.006380039801096232,0.010944549266539812,0.04659155789085462,0.0009642936271230745,-0.051558275072636287,0.009758233421100219,0.04530567251124956
WNT7B,0.025906997715080864,-0.07330699403318935,0.12301634907916044,0.049430856623644166,-0.01911226709218379,-0.037062990807855904,-0.016666366236460225,-0.09046977233800134,-0.0050257388221739505,-0.027658814839545763,,-0.025014608991374303,-0.034101559036671406,0.04429989042291842,,0.044455505657301275,0.004028402398687513,-0.01847492925561544,-0.03044010250310779,0.09786879908858584,0.018678653312175386,0.06595941655730268
PTMA,0.08889150240918199,-0.09970627830446975,0.014292500845315132,-0.006886893914067534,-0.0189560387860664,0.06056805073132206,0.13169675738469463,-0.11739128425307901,0.02271469760583795,0.018638101176994878,0.06121901471264784,0.0589633686332849,0.04635401677536666,-0.12290057707839308,-0.017562948174061635,-0.040569405267185166,-0.03204864772519006,0.037080733650689465,0.05595840664025459,0.06294451912471005,0.011795857485694157,-0.023529287943036412
FASLG,-0.02037041249585097,,,,,,,,,,,,,,,,,,,,-0.01955425775674902,
CEACAM1,0.07103622285569075,,0.03936836693399862,0.02521751688044264,-0.011917739845347206,-0.019757984105526975,,0.10510461445077494,0.02733087812578145,,,,,-0.014129075945647981,-0.02705571790774645,0.01624637712160317,-0.012847528538733052,0.004385945663708232,-0.020203538743045032,,0.003459520068038488,
