,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,-0.022046861080700465,,,,,-0.016113796300608548,
BMP1,-0.02030918541332983,0.06090871231896446,-0.008106785426933659,0.07367720358375669,0.1040827189600402,0.017481622422852724,0.020029024476949358,0.04618715373044669,-0.0127960460352912,-0.0004423389659161775,0.059946918382824614
NDP,0.018927203441987516,0.0826610602553169,0.04255696923962852,0.06957813953826418,0.034339066065723525,0.005187108185540534,0.04367494160089182,-0.019471766331309974,0.01567239229279719,-0.05633055169275497,0.027777431552900352
TNFSF18,0.05688781185586802,-0.02528979954525549,,-0.016548997477935194,0.08926951721580775,-0.010647509681371023,,,,-0.016617873699610007,
IL36G,,,,,,,0.014543179603001935,,,,
RTN4,-0.03986303125464945,0.023816262748684106,0.08099436070782658,-0.08505565306676312,-0.18376767503020197,0.08667309139166311,-0.04647096204833665,-0.002975759122944001,-0.03150646851908752,0.021098689418709606,0.04404478438418632
HEBP1,-0.02293824504692787,0.022370231976273934,-0.025634787917458032,0.05704169609529024,0.05355146048110237,0.0340509297982296,-0.006497552228367929,0.057459992437003095,0.04875848912414434,0.03960673753623402,0.003355934110259349
WNT7B,-0.014680582885313353,-0.015709239525174813,0.010562256167842558,-0.014138677589192438,-0.035157520760215485,-0.010870922906828078,0.01122051956227624,-0.03583567292478094,0.04144369878771167,0.012025261594632974,-0.011698219019202375
PTMA,-0.021741878598033212,0.033132797679210006,-0.07213976965304686,0.11449457863981995,-0.026340235145461462,0.027616326791827035,0.012888497835923409,-0.04568136843397959,0.020613068080689127,-0.031542445218041226,0.028808796128844686
CEACAM1,-0.020060547251295177,-0.012055896488437145,-0.019925272658850975,,0.07779167945933783,0.01615696009349721,,-0.02008049502204382,-0.020263574941994114,0.0851973018487445,0.07910215369092534
PDAP1,-0.025540399616968457,0.03302380329548189,-0.002183058927431922,0.0664488254583571,0.12031627075586374,-0.020587289909599214,-0.0031487690810614354,-0.04090526766918891,0.003556305494917639,0.04884892096090248,0.016695788539357506
QDPR,0.031152896263393553,-0.02473662310269149,0.05539793398847332,0.025465157860139236,-0.18639619221204207,0.00692793434735663,-0.0460886345389753,0.007694608484863345,0.04551453049363228,-0.030793298375254446,0.00792258500395926
POMC,-0.024968143330808573,-0.0063658650375577825,0.0292251867725518,-0.027080536757890947,0.06642642124493205,-0.012354528249030876,0.027157563620049587,0.00849404682793255,-0.0016354605200838768,0.1053591509968967,0.002717644613299677
