,MGH258,UKF259,ZH8812bulk,ZH881inf,ZH916inf
IGFL3,,,0.028340245190511378,,
BMP1,0.037484662124137265,0.04822003433621745,-0.009939036385499362,0.04789911820644798,0.10262953572922343
NDP,-0.012695020154146964,0.03860798335215409,-0.06277506999678212,0.006416019255651275,-0.039957403879212684
TNFSF18,0.03818789572038882,,-0.02095790501655475,-0.03131933569700904,
RTN4,-0.05140871264419437,0.012164018705887208,0.07605224827060693,0.0022763022714990915,0.026147733942257983
HEBP1,-0.045042192501420546,0.0441782912372541,0.020681910686909798,0.022248518717536143,0.06882632256943086
WNT7B,-0.019949769920922303,0.03310798480306419,0.0078039376402994735,0.09662129790607527,0.12329111968528773
PTMA,-0.02134748385819792,0.0005923306253197555,-0.006099624344609641,0.08363235502534662,-0.041079564961500226
FASLG,0.02816029561344335,,,,
CEACAM1,-0.027700437960187462,0.04111016152764643,-0.030114321473890503,,
PDAP1,-0.005880612907690498,-0.01477969175684522,0.03318764623074874,-0.007423670950225876,-0.0028000598035667935
QDPR,-0.0051589911138467314,0.037151724597248095,-0.007933738352585727,0.05502645302943548,0.11357375639739012
POMC,-0.035855214269825485,-0.016709028156263243,0.07973491447772003,,-0.0760135596257279
CCL17,,-0.01729238685822032,-0.026793619766998823,,
VEGFD,,-0.019265628553504482,-0.02825899902169441,,
TNFSF13,,-0.011927901439754548,-0.028732692165860378,,
WNT5A,0.027382783014619196,-0.003116961103578854,-0.0013218686254214088,0.02845707018979692,0.1150065651178654
CXCL8,,0.05032380728817076,-0.0380410994721836,-0.10642389886224281,-0.0026274076749023675
GRN,-0.0432865506164002,-0.06990347589706015,-0.03956569960887314,0.07826799780441272,0.0198176885300285
MIA,0.04386474129252827,0.013518635957729558,0.016087909742693952,,
COL4A4,-0.02310427096646095,0.01983906662994829,0.010594361070713158,,
TAC1,-0.019949764706819126,0.03130514369351805,,-0.0264231524303281,0.03499448368819666
RARRES2,0.035974260229586025,0.05609700504602321,0.018808478546723555,0.16031209162377913,0.10014042106949195
FGF7,-0.017349447223304296,-0.03065236014321149,0.03277098270383805,0.07117283214444516,-0.10455843843299112
HBEGF,0.042131133440405484,0.012472356782357825,0.012997918538760773,0.06904186775783398,-0.0736452803913167
CSF3,,-0.020611017359265366,,0.04925302750892993,
PI3,,-0.03556839330230823,-0.022765549932723974,,
PCSK1N,0.0708155625610373,-0.006387796190713898,-0.013054886727799055,-0.0655784383512684,0.0033036523476228795
SFRP1,0.002605773924931882,-0.015088275946637423,0.03838960755445871,0.02064304483205166,0.04272586795118162
MICA,0.024005448949577637,-0.022145526662373117,0.007822607126690946,-0.06252269220232723,0.08656465883584653
TG,-0.02310426575982453,-0.016282640246007927,,,
ADA,-0.019745823971017477,-0.01450631716893677,0.04698835563622689,0.08764131221921319,0.15559829261671995
LAMC3,-0.006867430509737577,-0.03586543933314969,-0.029519786794485525,-0.03044101261929207,-0.06951462134904356
CCL7,,-0.011772322882612233,,,
NGF,,0.05134822868133491,,,
TNFSF15,,-0.013109057306725302,,,
HMGB1,-0.009453589773574017,0.0045351494965349,0.003632193402331879,0.071617497305757,0.0861442752969252
ITGB3BP,0.006366539665243003,0.010689071988571979,0.04064005745706917,-0.041931809808360386,-0.0346983774628421
AANAT,,-0.011927902712796765,0.031676712390947485,,
RELN,-0.019154048858707577,0.035819534900935736,-0.041447175105895045,0.015437242898137216,-0.11714017673744728
IL15,-0.0009131005649678411,0.02426449599320548,-0.016173433601603362,0.09453321703861638,
BSG,0.04155180932344443,0.007375550067171381,-0.03943264975191454,0.01732825421180764,0.05508594628392618
