,MGH258,UKF243,UKF251,UKF259,UKF260,UKF275,UKF296,UKF304,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.033777004495275216,,0.03039927358371205,
BMP1,0.016372078629935796,-0.02727138667742397,0.04681678262900445,-0.0062473363243844,0.06253101818307806,0.004856820811661149,-0.002624382546375632,0.036556539055104365,-0.07557771579199297,0.03846931986610317,0.02596412205983394,0.0949898085208588,-0.044953568105173855,0.1348393499111703,0.0879755963359845
NDP,-0.04725641673769273,0.05173978297024571,-0.032236144578907965,-0.009796863482011258,0.027998804115717507,-0.011309881615789675,0.031804807446215645,0.04046527244039121,0.008078873462838226,0.013574828062398583,-0.02552212242729707,0.007282528647069284,-0.0390113170374361,0.034050789984589595,0.045935004540068596
TNFSF18,-0.028871931390393922,-0.028170568646215387,-0.036743644117476076,,,0.0012938950464266184,,,,,,-0.034201812921853494,,0.050629956093774284,0.08987023199531946
RTN4,0.009103085294130115,-0.1165972191050557,-0.014336209592839107,-0.003303946644985121,-0.005126565986754497,0.025997050334101733,-0.020729742591101566,0.02997783705585975,-0.02959554452361975,0.02528740048917846,-0.05228829225687352,-0.14220855658888906,0.04884028721418867,0.035481803604794915,0.006758352325479316
HEBP1,-0.0026722343477140675,-0.042140743515740015,-0.055488348359542,-0.003322632033310346,-0.05540760452475726,-0.006655366179292584,0.03653791243417155,0.05022393582965837,0.03520698006358718,0.04000841056425088,0.035618482452243964,0.061205483590971776,-0.013721461803888526,0.14742986885065196,0.05117820427735113
WNT7B,-0.02543526726089935,-0.015017165329875189,-0.022824012718499424,-0.0012695714785819177,0.02109200411403729,0.00797829061476983,-0.013470642786725471,,-0.014537296204675339,0.001982381830118524,-0.007119643941938099,0.014132843166505277,0.0007805648802304892,-0.016672937285869986,0.013420401916779442
PTMA,-0.05936130161964999,-0.027300245556356666,-0.009233136880591348,0.020614459659386263,0.017379768044162042,-0.013205769444233408,0.007178924315698735,0.06100019668290227,-0.017167124744706396,0.024938329009323634,-0.0652154991841854,-0.14823734489009827,-0.0038151522431143915,0.03103257573317396,0.028781287168954606
FASLG,-0.02543527445138425,,,,,,,,,,,,,-0.04250743240290725,
CEACAM1,0.020989987367029943,,-0.01751605698952126,-0.0005785989908857815,-0.01477731776041269,-0.025471742748909062,,,-0.04178464591690493,-0.03382839365512482,-0.0184898898645241,-0.014512745055800568,-0.02607686499460128,0.07481247558141184,
PDAP1,0.029306436938072816,0.027193124411534236,0.0169085366738578,0.014592517504549395,-0.017818445858732802,0.02316036835186491,0.08317502542421257,-0.00942713889716674,-0.06247467808206018,-0.024525774786722777,-0.012082596435710167,0.004654723791694861,0.017621668170433435,-0.01368807914323391,0.017537515718902535
