,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH8812bulk,ZH916T1
IGFL3,,,,,,,-0.01160420277872753,,,,,,-0.016603069796319224,-0.01595430938868601
BMP1,-0.014726108851734768,0.058370272810631514,-0.05498136546532898,0.01625292566767185,-0.02261132774057014,0.017260301100185428,0.0375189711563237,-0.012675708586170143,-0.036472665457495834,-0.04023679986749289,0.014981589058034208,0.034290022502023856,0.04956451738261888,0.020960368708559506
NDP,0.05907678572444962,-0.0034931579941823707,0.006149343597992865,-0.022413236848333053,-0.03078013024919745,0.022374784120488194,0.04489111094628561,-0.004976764319629082,0.0049283689188574205,0.019439069038086777,0.008012190163442949,-0.10737852407703553,0.06942904307987846,0.001521048954124397
TNFSF18,0.05785353123156488,0.049859913499814154,-0.02077665883377688,,,-0.0122131886610974,0.0048390623956116215,-0.0014628569538602647,,-0.03158893320838881,,-0.040980081065924774,0.07177533126770488,-0.026912067600980485
RTN4,-0.052754391107741695,0.037274106753949994,-0.016202095049185655,-0.029472326792162586,0.03885488955991735,0.03607285695792226,-0.044379040455532176,-0.004510696586434666,0.005368236014469145,0.00999884299978542,0.09410640435885437,0.0011479169092401286,0.04213676447969996,-0.05163337838940502
HEBP1,0.03290032575547157,-0.00660030829094267,0.011073678539019253,0.04020096490976137,0.06683592428869681,0.052522497080343226,-0.05526188130392779,0.018692199424515367,-0.003358150502380932,0.06772096864366649,-0.10669586663049205,-0.0168996614268807,0.037535676970596454,-0.010481942197410658
WNT7B,0.0013645327363994795,-0.004860683906771887,-0.019386250750207105,-0.02353529904245454,-0.06051056216983152,-0.006718688236375565,-0.038367605830617386,-0.018325555590977382,-0.011878753991036875,-0.01273920462201922,-0.0573119498235562,,0.019384408540224135,-0.03405312853478764
PTMA,0.0001352806519699368,0.04699777487010455,-0.029703344687406392,0.06339654488857374,0.011033336932991569,-0.009053972554644237,-0.10108517224284223,0.002666467072296319,0.002072633600748181,-0.03607079897132243,-0.0002874443866480074,0.13401290862142065,-0.06633077238430383,-0.0248781283392055
FASLG,-0.02098697439155506,,,,,,,,,,,,,-0.01383716708991608
CEACAM1,-0.02914059761410951,0.022507364957218362,-0.014877781446316251,0.010709740867939105,-0.016402717003363283,,-0.02267618941521929,0.024021954796651573,,,-0.0164486059962028,0.09740069776481428,0.05640781025216485,-0.019252385695698013
PDAP1,0.04092913036810835,0.004350493592940872,-0.030223289730661677,0.01288552188997115,0.051206506623876914,0.009780372219876942,0.023602949130493024,0.05257125365095826,-0.02616343990666051,-0.007945196705351262,0.007723825312464996,0.06388575439310848,0.043344098575918644,-0.01728264435127008
QDPR,0.054022983661609375,0.030610610046063073,0.014334400544668535,-0.013586330831543517,-0.05875547888381809,-0.008061860668105911,-0.0468094090030308,0.04808915474966763,-0.005416373745344105,0.13557095181551784,0.10083399495689169,-0.03041436416989313,-0.07008410541533516,0.035973844532425116
POMC,-0.0016513300841473999,-0.03297986694782412,-0.0005704796906605747,-0.03502670821348453,0.0035847192916744794,0.01728857368794394,-0.029230865318362987,0.007897861875937998,-0.002015017170636609,-0.030015438716252972,-0.060744707255801195,-0.014680915741276286,-0.00477264973390405,-0.05005985214103991
CCL18,,-0.021629328775557188,,,,,,,,,-0.037005158862626564,,,
CCL17,,,,-0.008438253918272944,,,,0.0037954373820623605,-0.014702567494053662,,,,0.06853436968699966,-0.012541837781674427
VEGFD,,-0.021629335643882128,0.040170333500003576,0.07088334515776362,-0.015693190937186206,,-0.019440152409407826,-0.010490143489245148,-0.010784511061293644,,0.010757992468032579,0.01539848484179137,-0.023087392422788656,
TNFSF13,,-0.01632219075818291,,-0.015037795631043478,,-0.011844245186387508,,,,,,,-0.02347439620515719,-0.020435877840573456
WNT5A,-0.07813168817051663,-0.036699582539526626,-0.005412302667270506,0.07148649517315797,0.05082216235155545,0.010586895912464943,-0.001464176909676522,-0.00473753830671781,-0.012885420049123483,0.04089871688647981,0.06118101359538251,-0.052740318178457535,-0.059416420963933674,-0.004840942311682334
CXCL8,,-0.0415597071147119,-0.019952893758048762,0.0685588973914673,0.045107457950664814,-0.016847670569894797,-0.03865451453095787,0.02546763270917651,0.1884630165689337,,-0.01639272686275697,0.05290059406180733,0.004425212904249343,-0.02516663028534778
GRN,-0.015601944845423339,0.01826827501696559,0.04744159238780889,-0.01598740267020934,0.014663030078870154,-0.06118500158495172,0.034685707264834345,-0.050406252963084416,-0.030409216793733138,-0.02002992998430292,-0.0023789045780393298,0.02428917446904153,0.0614700778053419,-0.015042107501415974
MIA,-0.009892518630018794,-0.02568666895368442,0.015466518180947023,0.05054836944201326,0.13582875217899376,-0.021416679592477766,-0.010124277384235346,0.012684270400034031,-0.01226511013533974,-0.012292097630465336,0.02949603435307412,0.040334534984803314,-0.01236939913215615,0.037501506274350234
COL4A4,-0.00489979834229875,-0.011853970121530867,-0.03187014442774981,-0.002895400193883371,0.015415120405940562,-0.011269276011169877,-0.011435080514545304,0.0015656089159592926,-0.02060440961551895,,,0.002150435176451091,-0.03372006581297113,-0.025321972490174316
TAC1,-0.020986962973405826,0.0045105264301426315,0.005000692398884879,0.011980853517450473,-0.0029108873138846574,-0.009833886811420242,-0.019349175702675525,-0.01716135028569321,0.04044251060304436,,,,,-0.016487521071754486
RARRES2,0.040587924997091206,-0.056945128449166244,-0.02256401508552252,0.008913977578366416,0.01034583597615678,-0.013505773043549111,0.07624898978594487,0.045612282885407494,-0.003409129435820939,0.05512412348171604,-0.007176498421096528,-0.015247340281668771,-0.02351800983280683,0.009882267859370917
FGF7,0.0120763897814808,,-0.02405163994067355,-0.03117085851811734,-0.03004789662579967,-0.02044228964056666,0.02650942119350883,-0.04535538111052794,0.03718168004869189,-0.02866026548734708,0.08535995487926303,-0.0014883771751266065,-0.009813575706033034,0.029220024713478288
HBEGF,-0.063279168633493,0.002359726228496155,-0.006738329422340699,0.040632817122915985,-0.006778151507685664,-0.004537758974701406,-0.0030213703788157004,0.015386393208071336,-0.027695658452440708,0.013401843961080923,0.09377358797578073,0.0808995137232325,0.00551724756390184,0.0065561187218833
CSF3,,,,0.017873777597071257,-0.019380059734768144,,-0.012098095086420176,,,,,,,-0.013204620377262435
PI3,,-0.022754965802329552,,0.06503697312111677,0.017859724811219235,,-0.01362261474488067,,,,0.024304167491949618,,-0.018599285297185787,-0.028689253274727676
PCSK1N,-0.0015260918272006602,-0.04360994209884294,0.041573499756006285,-0.01769406268610583,0.04034845959210484,0.024115200222668394,-0.04371227959188362,0.01387766402387444,-0.01752446227975758,0.0172926227252386,-0.024768277399559422,-0.013230850610928836,-0.006180324036656583,-0.013131796891510249
NTS,,,,,0.008909647389970307,-0.013757225537971261,0.08751274376042519,-0.014538660624805156,-0.017061102599383583,,,,,-0.019554242180614582
SFRP1,-0.015310554081451573,0.016007046059597088,0.03172497484650707,-0.019022156685006255,-0.017903213162302936,-0.01260551750768547,0.04537906401939934,0.02664127670024913,0.06325848898382974,0.10638945306150498,0.08448711980549473,0.061195593142130494,-0.012645394076696535,-0.01909985113187313
CXCL13,,,0.021995613980158188,,0.02452423536383092,,,,,,,,,
MICA,0.040010627052798224,0.016783519948870316,0.09391053740093697,0.05345776688397967,-0.04720058785210292,-0.015779142015183996,-0.022078565014804447,0.024107510232554984,-0.017591279926545904,0.034764933464220535,0.00032537599726800053,0.0243241822475012,0.022438481595115495,0.0077098008690842205
TG,-0.024305468117296815,0.06971453789972643,-0.02023078512753263,0.1338347616685599,-0.03797202807913742,-0.015879464858096104,0.011191012766764215,-0.02173604777610046,-0.010640184247766391,0.03810007517409701,0.04664382948579047,0.036122924181595,,0.0914098716542788
ADA,-0.02315380410546104,-0.012220927076658415,-0.000593250111986967,0.07254003144676115,-0.03554297023671939,-0.005325534765549448,0.034103131021455346,0.014831635487110762,-0.017280514902559354,-0.0042346269496462445,-0.03127013756524357,0.11591004285711816,0.07541655571526432,-0.01652946203057845
LAMC3,0.007320250577876631,0.026207282553903966,-0.006794594981650982,0.025820220520643453,-0.0468243159034504,0.011384514076163787,0.049701045098314675,0.041264890603948536,0.004221336346572071,-0.07434040408427385,0.05022329897254324,0.053973358458372374,-0.03785573252604155,-0.029880891058932345
CCL7,,0.08295409785345961,,-0.014841653957783063,-0.023523031164749707,,,,,,,,,0.10390239364882255
NGF,,-0.023621940659021918,,0.00987695368857935,-0.025108387460081396,-0.015153268617426682,,,,,,-0.010213213553063875,,-0.0307965013589542
TNFSF15,,,,-0.01652690757798791,-0.01741637245079536,-0.018399390198967455,,,,0.046014019218360167,,0.049119023907210575,,-0.036560178123577834
HMGB1,-0.035892293027024416,0.051922463365132766,0.016496173510799603,-0.012335703359821317,0.08726781363758443,-0.00012499263938698245,0.05551013277926818,-0.05202703038907135,-0.03444380863059432,-0.049993677299664786,0.030908665142635666,-0.12945492762241664,-0.057703422262063264,-0.02941572174765278
ITGB3BP,-0.025844112524333458,-0.005041579200496439,-0.014601002806810408,0.02700963956379732,0.0037668087911492,0.05166112905417793,0.02856837397547251,0.03769949558114804,0.01941354583999149,0.05420098943522324,0.07401489429662461,0.0412994765663168,0.05982133323103107,-0.03799386370302223
AANAT,,0.015741135893338955,,0.06303727399423312,-0.015693193177477652,,-0.010912809165639218,0.023137077709507257,-0.012265110817556482,,-0.05039594016075146,,-0.027077460829672263,0.042288757011047236
RELN,0.026128245062466898,0.01781539982495712,0.002995924485528514,-0.026102248361565685,-0.047243898602505136,-0.03494233086687847,-0.03202160609549341,-0.009178880437556183,-0.02731226926572763,,,-0.07040186659763056,-0.03386203438243581,
IL15,-0.015138199653248056,-0.008830109565485198,0.02614710891582317,0.04765483345903261,0.0038791187725505617,-0.013092259957673373,0.026074877877476945,0.007494864793366562,0.06489227703693566,-0.03792951587881579,-0.01795599345974062,-0.06293905754979218,-0.03372006153974909,0.046405299109668285
UTS2,,,,,,,0.038551325688041156,,,0.013237637067540123,-0.07237014594067498,,,
BSG,-0.008073464969626359,0.001446299092842308,0.015729711052987986,0.01962164424989283,-0.022198374053615192,0.03832221777234127,-0.04203227135755494,-0.039570728629510596,0.04624410020231814,-0.008396743624359297,0.04805570260555291,0.027878947113650174,-0.021128818722254,-0.01915645728392189
ADAMTS3,0.020546281779109013,0.02003924237791942,-0.007245981472036948,0.021809225277890986,-0.021915398354697538,0.050805382461595695,0.05642287316966965,-0.024887295615578786,-0.02160070018367735,0.05181538180842284,0.037567283414013934,,0.006176036420184131,-0.0018053391925032627
CD34,0.017362833865992727,0.041355129584594544,-0.02907005710326117,-0.03106483739288346,0.03134555213356117,0.006019603094171099,0.00891634655022897,0.014918637278800419,-0.010567102039746576,-0.018517937203913676,0.08073021044435334,-0.02658645088620251,-0.011063091803219518,-0.026607166635855328
CCL23,,,,,,,-0.012417044536060524,,,-0.014306322685565897,,,,
PLAT,0.0013487200236597559,0.075771984446634,0.01510406025240634,-0.05148083510439009,0.027379834133067053,-0.022811081039123556,0.03921716283952645,-0.012366896423968078,0.03655806870251168,0.0035749711735029496,0.009949811018394206,0.0141763620691864,0.08081462351922337,-0.06363658852429808
NTF3,,,,,,,,,-0.019798814757192966,,,,,
LTA,,,-0.014877782973043116,0.010758499867476769,,,,-0.018826139816605955,,,,,,-0.019703630206739254
CKLF,-0.012021172816094992,-0.0014811664086684642,-0.010956056402122556,-0.021104975762319046,-0.003208086021903803,0.02799234512528854,0.05629528443600238,0.014487293532820317,-0.062090300750652215,0.03828363725303675,-0.012887927530516926,0.10609318375742373,0.017573718861870608,0.031943539055221445
CD24,-0.03712069580244255,-0.01780053684425236,-0.012776802380419984,-0.01954560479888644,-0.03323275689341585,0.010662252619512274,-0.01181067732843266,0.07282741198934409,0.008189405817017681,0.06442724041836284,0.04507448334082752,-0.028772844105474458,-0.037757274624389034,0.04183263343266071
HSP90AA1,-0.02888817944796069,-0.011833564652921744,-0.009507055223997068,-0.007340820821464966,-0.011421383783137059,0.0008737740130270402,-0.0005507255925091647,0.08963007356007563,0.0039032140657105437,-0.025704461554296905,-0.09799433162081027,-0.0022845003019077684,0.041364453152983406,-0.04912807985955049
BMP4,-0.025013855248394997,-0.016316251824343275,-0.015771322087148282,-0.016121865554602773,0.07037129286284266,-0.008452406805641953,0.006764347640697113,0.04233580800003655,0.008110672839928522,-0.0026256136670502472,-0.038088243875677136,-0.00934274417547396,-0.0358721988925718,-0.001398521539439982
SCGB3A1,,-0.013758078922822981,,,-0.018688655755918365,-0.016712501389785427,,,0.09946311963454016,0.008685614108147853,-0.04169040741907964,0.01393672568427655,,0.029920773361792215
IGFBP4,-0.022121596560430164,0.0006170347878136609,0.01316167945581059,-0.03635071304707185,-0.04417541275060806,-0.030294140456915367,0.008133351849340865,0.038450273430845276,0.0024417606957528024,-0.0932321867032959,0.10586027887324799,-0.0431442178326242,0.03155791808203276,-0.008812258095267686
RSPO4,,,-0.024051635374471234,0.01100655531890327,-0.021569746679811975,,,-0.02189594671293236,-0.01034573942255042,,,-0.03562182613583817,,0.022461076193640923
LEFTY2,-0.02406515318839506,0.04854690693162621,-0.015060504784102412,0.007161616931712475,0.061678078928846476,0.009020764377006784,0.03043636186684769,-0.0323684488680947,-0.011344229807999772,-0.03241849251672527,0.050879593642571684,,0.03822426042308742,-0.003388519189686862
PF4,,0.00977476312059113,-0.013533365716181748,0.07715475602612135,,,,,,,,,,-0.019703625647173078
ANGPTL2,-0.01350328833208106,0.035847061029997754,-0.04049339391487513,-0.031895115223047034,0.020824138995822354,-0.009888591074055332,0.052597349510206795,0.05959752061601886,0.036135619838387104,0.07781009447805637,-0.02130549969980086,0.04653301896087543,-0.019795971655847983,0.033541726773089905
LRIG2,0.01841066512160164,0.002286810932872191,0.026813715582952865,0.02561286958153616,0.005977914038225361,-0.029636432403054653,0.028481393759790048,-0.0009211075618467478,0.026295970729221005,-0.0010525959514503056,0.05923615796027915,-0.011219655226859285,0.007322415488344818,0.008104295389515102
ICOSLG,0.06533336752730437,0.03603377631606511,0.028224025240278658,0.020171697059243224,0.03430688403833434,-0.003299106472589811,0.004810771505964245,0.0009862860934374614,-0.005127572607123158,0.019513044833813952,0.02818145456399316,0.004940095101300933,-0.07524791163465086,0.08905475618492734
WIF1,,0.001118042583091655,,,0.06479828630910676,0.00925140495399887,-0.0013393380737822896,-0.016896583457926426,-0.019468539556903756,,,,,
NPPC,-0.038399898486091745,-0.033331504743833174,,0.06728429497932605,-0.027057197866722057,0.013880904544372658,0.053797687814755774,0.001403224001400872,-0.014378045975180708,-0.006809582904197471,-0.03164465961017164,0.10374806643961977,-0.025688613495079386,
