,MGH258,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,0.009895916615301833,,,-0.0382660744509188,
BMP1,-0.031057532231942634,0.11761011167379576,0.008111522321077076,0.03484021700101805,-0.051547024971556825,0.019085227951239316,0.08043156522142021,-0.010521277975521982,-0.0035390645449110236,0.06272166715940962,0.07323952777395892,0.05488030190423435,0.05083896954739253,-0.046287600807129334,0.02787004767586408,0.027126023042720514,-0.0064911523878536685,0.02741714900967365,0.053784244348503846
NDP,0.03110496855734045,0.049524593796343594,-0.01366716871538978,0.02740431135266854,-0.027018731613324215,-0.002014055502270153,0.016182963775746403,0.006773936794596938,-0.004511606266025371,0.029802696370545303,0.04819558482065139,0.019362559948306345,0.005047597895652991,0.062455753169914134,0.05152925054153306,0.005721245456201243,0.06853840654813832,0.026003244305072934,-0.005306567929288918
TNFSF18,0.04343942924895301,0.09687895993490046,-0.04429156655254324,,,,0.06305840048045547,-0.012622089051545443,,,,,,,0.10691572328164968,,0.023530919373183305,0.09356447333066188,-0.01576967995971949
IL36G,,,,,,,,,,,,-0.03324387841007107,,,,,,,
RTN4,-0.01431104435038968,0.04080855489490825,0.024508441581479672,0.01421123973646931,0.042012793441078986,-0.01191754241966745,-0.016083628669000347,-0.04600949775624491,-0.039951346860176255,-0.06793379356932731,-0.013577309668866356,-0.021387880144649967,0.046238534033872764,-0.05753264252111379,-0.014674983774222905,-0.03996726768594078,-0.045093978887803796,-0.022711568156233052,-0.09154182612563819
HEBP1,0.030547737279175466,0.09661378242792001,0.02867173882814532,0.015186091094472021,0.05347274218614484,0.008195363468526295,0.014655121968201934,0.0019176487052499599,0.008240787900031448,0.02071228022656159,-0.0098633296606176,0.004550291008737299,0.046399699523327474,0.030665155219546852,0.03240950048229678,0.00565523595533237,-0.03166438237663467,0.0001543995483112176,0.046507034406108386
WNT7B,0.07574403644083959,-0.035386348699355266,-0.027512548158953546,-0.015743451399905496,0.022022893600051135,-0.010923126521447087,-0.006165789396923254,-0.02800051500104525,-0.010917752727135866,,0.047888834534855124,0.04402124537819585,-0.01714354960302497,0.0027976412193938993,0.07658731217113526,-0.007364525533367934,-0.005287952662942116,0.0967844457708036,-0.008682828080484484
PTMA,0.01650138109809703,-0.030551267771497227,-0.0017770588532598833,-0.013261342188534381,0.032999715995640166,-0.010029782687582148,0.02554530553237751,-0.03347924416474791,-0.019037137924004622,0.08962514242946767,0.08485159195674272,0.11848194948182574,0.030492106893898172,-0.04582055683050494,-0.050739740826359354,0.04433444973625619,-0.042150567630180304,-0.0015047151877136916,-0.0007952446929595837
FASLG,0.021235052213465208,,,,,,,,,,,,,,,,,-0.033188153316621935,
CEACAM1,0.07434639928131771,,0.008930244581156056,,-0.017086218540626624,4.0629430525430966e-05,,-0.019851539066845565,,,,,-0.026466337639112672,-0.0013384506721585833,0.020077236615114437,0.13070152383399372,,-0.007468901012214625,
PDAP1,-0.027011375931380116,-0.0012798211279800964,0.04219441193509416,-0.0029100433298025977,-0.009623486299061184,-0.057491886575343806,0.07092526066187661,-0.02635577885148245,0.030020712365444447,-0.044220687723694134,0.09885869782601459,0.027868916903775093,-0.0178725493067486,-0.026433111651809046,0.011470568002408428,0.05279983468330982,0.03917174626065822,-0.030722578923512798,-0.0020393067175922975
QDPR,0.04961610107622996,0.08698460502351292,0.02408899745964865,-0.02336096452700427,-0.04447563800283368,0.03267245649565072,0.03380628829663789,0.010336798136007347,-0.015761840047417243,-0.0036880044997721793,0.050965896751526255,-0.019930431326898007,-0.023077924351873676,0.07423814838589242,-0.03362438368599819,0.017782538112736695,-0.06932908916540814,-0.005790377470924071,-0.013235549499604342
POMC,-0.0003025638399132455,-0.015457951309735422,-0.010989614911075377,,0.011559425053601476,0.015329119784551582,-0.013544919534749051,-0.014645674004122807,0.028953548333418535,-0.042754746762440274,0.07676199792155264,0.03714651388303305,0.042588840012341665,0.11973317452254892,-0.005655447591020887,0.0023941104216156756,,0.018937963819920006,0.022618113694287206
CCL18,,0.018854367546558212,,,,,,,,0.027120598247830602,0.021843741144097387,,0.047743967777129345,0.012581117243207334,,0.056919678239729286,,,
CCL17,,,,,0.040196159654314,,,-0.015742202492532522,-0.013513117324866169,,,-0.03036922672098799,-0.033848405878390025,-0.024068027688846177,0.09617014285973072,,,0.07224360520810749,
VEGFD,,-0.019258693948456265,-0.008809108853226385,,0.021955051295844824,-0.03655830231644138,,0.016574789721605556,-0.009912034977667558,0.09006582607473636,-0.03006031663737975,0.02357604161513882,,0.023941019946523603,-0.001773161165470735,,,,
TNFSF13,,,,,-0.02076372329351641,,0.0652787077374025,,,,,,0.07153082743004668,0.07298185625742001,0.05133964434569301,0.07288585913301517,,0.05242806968567795,-0.015791537812039545
WNT5A,0.020675487587427627,0.0069546797544440125,-0.020006300662414694,0.01004070273692685,-0.04298430562577866,-0.03234002873401467,0.03240098186522442,6.124666495546737e-05,0.00829250091465765,-0.009395077038366957,-0.021633695271746002,0.005637851203070361,-0.0011319863712459161,0.019407007692753442,0.030004679084874766,-0.014358880531067755,0.04355041883046474,0.05213782696239495,0.0904592374737583
CXCL8,,-0.012254485338619201,0.028749997539262506,-0.03178214354051261,0.02242153914874292,-0.016110116243596533,-0.02488303143236841,0.0047886239635238186,0.14131503250462832,-0.00570106000115229,0.04514638531267525,0.036521537969689766,-0.11206273262834779,-0.04111167678479553,-0.03727363413399176,-0.0016693477950272125,0.034456939614783876,0.08956837777163094,0.005714321332554724
