,MGH258,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH8812bulk
IGFL3,,,,,,-0.020303960652512564,,,-0.018219037424096515
BMP1,0.10359068302595648,0.016141583394422964,0.022878146003917826,-0.018272909618425204,-0.01661756182489254,0.11942815259515822,-0.07646344056162757,0.03767702242391146,0.03018515246547395
NDP,0.046478163391842485,0.13525247216006175,-0.028512395871279118,0.007193614732657093,0.038919839069926035,-0.03052467419474466,-0.005838838341735529,-0.010045962537878999,-0.004278622715395596
TNFSF18,-0.022885152519951636,0.02543253614765077,-0.024839911126596646,,,-0.01694132194991742,-0.011674764661574738,,-0.018788971710575114
IL36G,,,,,,,,-0.01375291054121208,
RTN4,0.006377034825279959,-0.05301865826469192,-0.05710412291381702,-0.028663186371250572,0.026315930985256822,-0.16231442504964938,0.026011868116763925,-0.07136572368090897,0.017958490230315854
HEBP1,-0.002562594939745482,0.015666077719721193,0.02832237628775921,0.01335489715425128,0.03115491255131422,0.06748505622285278,0.011087391318098966,0.06061820781563057,0.09944074744772168
WNT7B,0.003015371472732579,-0.05509694350993811,-0.0016744902243703793,-0.012730308617381812,0.08591149038689326,-0.04057679885206569,-0.03346462612583523,0.028699173631800544,0.015552425682832162
PTMA,-0.00020208022991354712,-0.07777289669008146,0.006317245955410251,0.021241300169871833,-0.05755677038637856,-0.08472415981180395,0.014995018352970691,-0.00675986231360791,-0.06294450921569232
FASLG,-0.020161108286660272,,,,,,,,
CEACAM1,0.007643213154880241,,-0.024425264747158275,0.020126622574183406,-0.012716025557861676,-0.03001081556433979,0.02741204144937438,,-0.02699779075289976
PDAP1,-0.012414143668249621,0.013467483780246701,0.0472620234643332,-0.04174008757702144,-0.010963593269435239,0.11529321899829897,0.026273756826323668,0.012116731692504159,0.039221777176216804
QDPR,-0.005698822146589918,0.0706455536073575,-0.008926919539187839,-0.010306587504958909,-0.003651577991211313,-0.15425834083004406,0.07279815446085652,0.007113232108400977,-0.015670945353576087
POMC,0.0028234012529381367,0.009967821581648469,0.008942034575826896,0.0399477631219525,0.02143683334882554,-0.013029083845435838,0.13126357855694396,-0.02946575824007698,0.009900558486483614
CCL18,,-0.0316577462029017,,,,,,,
CCL17,,,,-0.025166681731936986,,,0.02277141665741624,-0.01256367422439512,0.019659023571720845
VEGFD,,-0.03566902689411285,-0.015585119851430202,-0.02803846259900666,0.07679724364560629,0.011021415614841932,0.0555582884371641,-0.013464878805196949,-0.02533447559612376
TNFSF13,,,,-0.017359413811721177,,,,,-0.025759146243223154
WNT5A,0.01736174007948693,0.031518849481017505,0.04636974113961419,-0.014077583784874873,0.00033654194666252413,0.11974026289781528,0.00908984944479767,-0.005395812112413744,0.025608237329805526
CXCL8,,-0.06743531799897598,-0.0327572168115786,-0.0683328066627558,0.03480644322933331,0.09171179937823383,0.012029193418453243,-0.005254720432785003,0.02460304574676299
GRN,0.003641676299505587,-0.0014573467818130455,0.05557235390710224,0.03627439476588244,-0.03883616272089058,0.10106668358022904,-0.003021852773725431,0.03876689043827335,-0.03509681051762586
MIA,0.009136931103092091,0.01570635783475326,-0.020481465562785576,-0.02780021547169545,0.0643090724234945,0.04891697409142434,-0.018542732409673857,0.01899903894058174,-0.019257941680285957
COL4A4,-0.023349020013911842,0.15977751680490002,0.054572153833781036,0.007194853385370928,-0.005544950333472135,-0.020008046158178274,-0.015201826028453276,-0.01788822966456258,-0.009390111198474839
TAC1,-0.020161097317830803,-0.044970844101532056,0.011893296831451614,-0.014468931483667947,-0.030723076800655346,-0.07424114314786148,0.014326753681369835,-0.03170168665463845,
RARRES2,0.01938842377916975,-0.0018117110079980357,0.058708115576549515,-0.019705385149389867,-0.05419685261972389,0.11359929411504141,0.09344911610865528,-0.025203260234925886,-0.008175166883647703
FGF7,0.006464965767877721,0.01856686184283572,0.0010264426907110366,-0.004193832167431452,-0.02329430065612355,0.038476865107732294,0.024611893242438954,-0.04128285957194224,0.018366157256174135
HBEGF,-0.06988101250626542,0.04273029956594127,0.029140918324321925,-0.001415278490035784,0.003150890698631669,0.09966148458096474,-0.01748794187013236,-0.0039999505736391505,0.08577913475229014
CSF3,,-0.03590707213411568,,0.008737706179846937,0.05199225612982296,-0.021168127728285586,,,
PI3,,0.01510333004662225,,-0.04549417984669939,0.02192962065791399,0.04430456162998185,,,0.029537589543661855
PCSK1N,0.03595030260744729,-0.021489989121742045,-0.0652036712214835,0.0666798959696809,0.011578809719162126,-0.053046038386513096,-0.02128650519162598,-0.016976445309053772,-0.04201798788012685
NTS,,,,,-0.012318769704401133,0.0031118961973688334,0.014979574155793231,,
SFRP1,0.002617819751611952,0.031164187378134256,0.017899342607118812,-0.02195890259372465,-0.013879268665856379,0.054127210819974424,0.0033267220427419635,-0.004357801797710199,0.036034080822897024
CXCL13,,,-0.04039612376901459,,-0.013754532494221268,,,,
MICA,0.04549638527012629,0.10310697024971581,0.06087603192490635,0.03059254233648238,-0.019165899144797736,0.07858106011415886,0.00013877572742480577,0.03314749388013066,-0.049175302879578504
TG,-0.023349014752120287,-0.028623667682654213,-0.03321343874863861,-0.023697134940750625,-0.02943739622156173,-0.010871103070107632,-0.014669358795969116,-0.018872411456396537,
ADA,-0.038881527045883886,-0.04232972836557623,0.059533712591452265,-0.03264099035990142,-0.03515311652519021,0.10105968506646014,-0.014145289664045923,0.06540331756094801,0.030661737249820454
LAMC3,0.002687483158083244,0.008556150552715091,0.005648589910137077,-0.026172450029655153,-0.0365780918019482,0.0985617557677174,-0.023066320333371363,-0.007435768698400251,-0.05283955695136551
CCL7,,,,-0.01713299070055574,0.06562555955342211,,,,
NGF,,-0.020687084968795174,,0.055099344783777454,0.01847409381886177,,,,
