,MGH258,UKF243,UKF248,UKF260,UKF275,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,-0.02111009242900747,,-0.015954312838583777
BMP1,0.02970922510398592,0.08732682498220917,0.021003350158958687,-0.07773755557481829,0.004042994616460847,-0.031629312519662674,0.004112557798283652,0.039590177356227135,-0.0029722109918275657,0.03460728382147908,0.06936826215065975
NDP,-0.05576027226374538,0.06088370272342572,0.00814932495752359,0.04794197795769963,-0.01094876339325539,0.0687041879875167,0.01624090680767352,0.0612954408295112,0.031835121764692186,-0.035211556708535346,0.004934234113198494
TNFSF18,-0.022885145688031565,-0.014783968586364498,-0.024830504610871256,,-0.011098932834487969,,,,-0.0217704657070222,,-0.02691207342034124
RTN4,-0.030979691820038735,0.003992539285928219,-0.0151558278180138,0.015508670774718103,0.01314994186201131,-0.010352002137579686,-0.040449523043782395,-0.03158365896737378,-0.02728171203345731,0.08603835638494679,0.010086076575721496
HEBP1,-0.000998341754471674,-0.0424758351987961,-0.04054186059292519,0.017019849654569093,-0.03611565939188956,-0.0021153282365715814,0.058323505175967516,0.09530254874799685,0.07670224868768426,0.05393944347148302,0.01619360395620641
WNT7B,-0.020161096568460615,-0.015933920693064228,-0.03674642317934705,-0.03390327695623921,0.015369389577697018,0.0239886994862199,0.05646862148865274,0.027012318770057466,0.07732814389666448,-0.01571702020786818,0.1464541136778637
PTMA,0.05193750218554317,-0.09873463104992651,0.02476847013501115,-0.041448308260949016,-0.005855574687810149,0.02801413658025196,-0.05521408688543644,-0.006108059779924591,-0.03887369666831111,-0.019978993545529764,-0.04504137753983368
FASLG,-0.02016110226795097,,,,,,,,,,0.04448730361718296
CEACAM1,0.00546979175319423,,-0.01580393568753256,-0.013436799679528615,-0.0012962753109233784,,-0.026337199034572746,-0.02379330828134684,-0.015383065254416026,-0.019097384068150158,0.002473335354634014
PDAP1,-0.003323631481409031,0.02881289576023142,0.0037361995825191904,0.016957696154723277,0.04501168204590287,0.02129666461910882,-0.00673694574863862,-0.03825552804100831,-0.024072997863530437,0.013438360302660263,0.006813442299925129
QDPR,0.04020640336912191,-0.013142977369111774,0.02749802436220224,0.04122911344470067,0.021595245813182715,0.021451619065360576,-0.014835007020067303,0.033716647766237284,0.022417783894107958,-0.028773633929581783,0.008762363603593176
POMC,0.014622869680030747,-0.041226003262153775,0.004816673188180476,0.015273973290228015,0.00847806353980405,-0.023905543199510406,0.0036326554575514948,0.061118252037236705,0.05109545489624917,0.017390863639778133,0.03169745278242139
CCL18,,0.015172882012476688,-0.019721818518551773,,,-0.005382703044338025,0.008224072793238892,0.05366108988927976,,-0.05450184955713939,
CCL17,,,,,-0.013842530140455216,,-0.018684967958763593,0.07970576435547519,0.10222126077667859,,0.11665119814374622
VEGFD,,-0.024208457265329858,-0.019721824781152864,-0.012855569166518454,-0.01474804504734726,-0.016151551330191256,,0.06353124461646904,-0.029354631039248125,,
TNFSF13,,,-0.01488272184950288,,,,0.09919633494811743,0.05107209440748076,-0.02984668977997488,0.013261302762359935,-0.020435882259548142
WNT5A,0.018210556515799826,0.02191425661058235,-0.04849630637265213,0.09227381114345759,0.04192120567510532,0.020426246578994563,-0.0013496200868893394,0.11123680579239459,0.07172754023413594,-0.04967779931135703,0.047542227130824934
CXCL8,,0.00941794529240747,-0.047277283264222605,-0.06864482962385567,-0.036076335210371895,0.005327297206570473,0.003028140260615157,-0.0495277206115367,0.026704719158616823,-0.04516530186762787,-0.006586258187016105
GRN,0.03702964451222867,0.06832960712120913,0.0011272050650889813,-0.013648364382568258,0.004844018470333388,-0.025173983729929135,0.02812854052377689,-0.013772184303095621,-0.0024426935416621393,-0.02205654265271578,0.00807789238499821
MIA,0.09855083319995588,0.09912580197231204,0.0328366583228433,-0.03900823882937597,-0.005687997746080315,-0.02190440527708671,0.03908655827054665,0.048152580239781494,-0.013255822122465812,-0.08063270790370552,-0.006673889954583026
COL4A4,-0.023349013043513098,-0.03728501719656648,0.007022357169699349,0.0007654005215075234,-0.014452029736127954,,0.027676480924256553,0.10345171056544356,0.005825957349767565,-0.03848782956418376,-0.03683144283611195
TAC1,-0.020161091299124776,-0.06165597062651999,0.026661623903411973,-0.03941205085415537,-0.004134372814986884,,,,,-0.03294842802793019,0.08465493380434139
RARRES2,-0.03934083364083503,0.025387795956141098,0.03288067708777412,-0.09363722108112978,0.00905878689470283,0.0602768313392709,0.005028633425066299,-0.03183518608952709,0.008748513089030843,0.008303651763670617,0.025582224164588257
FGF7,-0.06654266260423299,0.04685760468143325,,0.006334532598719761,-0.03294524953960701,0.04287832345740226,0.03164976618518227,0.05123133626672352,-0.012653970209722825,-0.014930253558009227,0.0022966497371093375
EFNA2,,,,,,,,-0.02261394720001375,,,
HBEGF,0.06192707112896453,-0.018772021086541905,-0.04561903633546308,-0.03187173559348106,-0.007512521163677428,0.08441075394470031,0.01236039987574494,0.03911411182818935,-0.044505593747167595,-0.007841091752319016,0.03163432937466419
CSF3,,-0.03668458867082252,,-0.016552281941298444,,-0.024264899367881045,0.033677016266761964,-0.01500364582383161,,-0.027378708738878887,-0.01320462323257815
PI3,,-0.014994116254392845,-0.020748184587981264,-0.03943570619081803,,,-0.019018785538319753,-0.07094324816463586,-0.023648194975613206,-0.02600792670725965,-0.028689259478380143
PCSK1N,-0.055777059990341035,-0.03615419824576164,0.022307115102353916,-0.020093238461172922,0.017782575169459875,0.014604149218634576,-0.07818053673838742,-0.043188100755222975,0.0020596589943380705,0.10138602936041885,0.02271971534520315
NTS,,,,-0.00614136460504976,-0.016509764032692626,,-0.012806688294577212,-0.02755080336316982,,0.011965106824932141,-0.019554246408947804
SFRP1,-0.029334897105097346,0.012462270893674878,-0.02486773313616201,-0.014665978132308128,0.01105351914633122,0.025088530463966394,-0.006896506549910463,-0.0017523348479254127,0.0071828881591044875,0.009870211688497875,-0.0190998552619506
CXCL13,,,,0.03483679011843658,,0.03399533755503393,0.01108616730576459,0.012961680571889128,,-0.044660371349309204,
MICA,0.10868767670605815,0.002929110757804388,-0.030702529616371686,-0.0434975998780358,-0.02714956737527884,0.0624288133359156,0.028637849373954645,0.02715689363565011,-0.04178865285515809,0.04558892048829789,0.053906205997334956
TG,0.01713445908691466,-0.03924364883791172,-0.006718288523339337,-0.0059190328139141655,-0.01394582526681146,0.058176793951427185,-0.006854648409698512,0.07493486770188286,,-0.02253309800923788,-0.008686657525991388
ADA,-0.03221525215207804,-0.013302507434703435,-0.006175197967846439,0.02400103936226073,-0.019513056737655087,0.08582070890311583,-0.03425701295928848,-0.004930438691530952,0.011010259279003207,-0.048521387510843984,0.08499498223543638
LAMC3,0.028033453906837553,0.0644874103769174,-0.049839604562867165,-0.010084697038695889,-0.02455673051033889,0.007443207732315579,0.032998576876877135,0.10980441342814778,0.017037637616029833,-0.018735959041107673,0.03762129460007347
CCL7,,,-0.012544742632953531,-0.019269628168994277,,,0.04828289171260591,,,,-0.013837165161678718
NGF,,-0.028362427449764183,-0.021538700140325016,-0.020568322461938772,,0.011218749739053367,0.08961191631244775,0.10468919293780114,,0.035411256064979725,-0.0013678472336375726
TNFSF15,,0.06776992943695516,,-0.014267167306331848,,0.0595998089329929,0.021914184073117293,,,-0.017001708092410188,-0.013791760114941648
HMGB1,-0.005891700765189609,0.027779103928614293,0.07627280653160971,0.022205387997695388,0.027052244990387275,0.033909123486893795,-0.033058630808283,0.006963478428613745,0.004402438544637199,-0.04689537711606284,0.003089692060025663
ITGB3BP,0.05230911503987422,0.05247026301055324,-0.03024798152833581,0.003380231858933169,0.04343419240366827,0.021276564742784356,0.04133376725912801,0.03090534099202984,-0.006709583176211355,-0.013568832916419898,0.05104182026691451
AANAT,,0.07662135060458844,-0.01820051301107473,0.09974278759308039,-0.012541562162100086,,-0.024567813360856835,0.12873177400727723,-0.03442783219425675,,-0.014640297780983386
RELN,-0.01935694648349926,0.0003522369659582228,-0.019182445834841036,0.005774701249099177,-0.007480944902057802,,,,-0.019644102373706153,0.053125343470950506,
IL15,-0.01812234602166577,-0.024559307374616205,-0.018315527526089583,0.052522836811673926,0.015985852433296043,0.07326677890535038,0.02287808044014354,0.009524013047076313,0.08732475589425079,0.013831602143165159,-0.013427435978061664
UTS2,,,,,,,-0.020921291135779292,,,,
BSG,0.006233310480269552,-0.0006729450104959688,0.01798610556373398,-0.010838953594639577,0.004120408798749054,0.030367581646653694,0.0789050010498675,0.007633414511453366,0.0206711442755432,-0.030886278485382147,0.030218447400279434
ADAMTS3,-0.023687129073570783,0.06849643569124152,-0.023501625150214814,-0.0065169257934888985,0.050005186898439045,0.008230119575642824,0.04030151602313768,-0.02411134097899949,0.04297409828266146,0.05834440566776941,0.008369350209881155
CD34,0.05612778857767505,0.023240192764570414,-0.027681131475462625,-0.007106595849893462,0.010241235426432646,-0.01688558908731227,0.011992540643305094,0.015364467479372394,0.016550481839793383,-0.05047790396217618,0.01655489281586075
PLAT,-0.031233854759723942,0.025031492133208415,0.002700852279700138,-0.040091867554569234,0.005777061547727113,-0.005459999006300098,0.04176429315518964,0.08904669333124043,0.002090864698242023,0.021589816600985245,0.017769668320703858
NTF3,,,,,,-0.020871356315283356,-0.02780038222340742,0.08854646091767636,,0.07832815477522846,
LTA,,,,,-0.012078831397289583,,,,,,0.02219311372548239
CKLF,0.0189002444111521,0.012984071897552858,0.032902005024066185,0.05269928919459857,-0.0042747548668299416,0.08126083396033784,0.013639927105476042,0.04358913353923769,0.028184248720860613,-0.029823574113388738,0.004749115094095554
APELA,,,,,,-0.015048524765354615,,,,,
CD24,-0.034855616507861294,-0.07934514785006967,0.027310840580784066,0.026891885819558304,-0.003128586519425393,-0.00917610373000852,-0.0323556559159198,0.04137188481061595,0.0679095997963664,0.0657371804800326,0.020169992431604576
