,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.0007002565918695881,,,,,,,,0.06919604853946117,,0.0209076799944087,,
BMP1,0.05341200272002587,0.048738233714871966,0.03712663781575133,0.011972118991947181,0.008696037351213666,0.058281774126684026,0.07731199985890837,0.017941710710846742,0.03781218440295744,0.03107882835207398,-0.0013471321423192634,-0.014853114928825073,0.03497201046726556,-0.01097030604093721,0.004544270802393223,0.021606551252695873,-0.014363217068129255,0.081579943152829,-0.0918416603845264
NDP,-0.014734201634739319,0.02538569087352047,-0.011290364633619158,-0.019798703317339704,-0.0032889263781962063,-0.011423465061487828,0.0680847335153631,-0.015764736235964437,-0.008024177941516416,0.014406638193027474,0.0408619497130312,0.011462718321640163,0.009837000783573009,0.07008767526676409,0.024678111293325058,-0.08396860020966214,0.147103817006073,0.04992025292742841,-0.10763502184111035
TNFSF18,0.060557172401945934,-0.008557898624821331,-0.012598828159218598,,,0.07582366107211441,0.1237503502018078,0.04194603940215021,,,-0.05081486870357605,,,,0.12921130257461308,0.06168715114324477,0.060327505743349455,0.04820740044850423,
RTN4,0.041581426493457266,0.0605189162656227,9.512924543498634e-05,-0.06091688928949426,-0.027246920852038562,-0.09799217981309052,-0.07924888090526025,0.016688550172556056,-0.0379129515512089,-0.04769030148977701,0.054720181422151834,-0.023571357350932565,0.02009579572016504,-0.09027071170568528,0.0734133505176964,-0.017969253986851844,-0.030660615081314943,-0.13251303054589392,0.058132893612827016
HEBP1,-0.01107599136012842,0.018782818453591154,-0.045412797014918564,-0.00949981850255333,0.011899141414620115,0.03847839014327398,0.049949579678243795,-0.045829452521010984,0.015517433832212674,0.01703360548198625,-0.004399553029949773,-0.09131836332493237,0.04535236154042136,0.038929941130224605,-0.0039770329345788485,0.05574872121535696,0.10436765042164202,0.059295480593697776,-0.04765178790943851
WNT7B,0.016648718886510254,0.08268430564697436,0.018386557008554422,-0.02906566301578601,0.021164818566013592,0.0331238214864678,-0.05545313322423892,-0.015813502178589508,0.01657226999902241,,0.001567161580201617,0.04027857808589365,-0.0049489661526759,0.03149709401384288,-0.026636914232801734,0.05891781599316214,-0.0244056104499085,0.03842866469552069,-0.04062764864590414
PTMA,-0.03149918564059289,0.04453734755983407,-0.018706673582603042,0.057081932445776994,-0.05289696027843972,0.0813963129830884,-0.06066099342488314,-0.027994332391316504,-0.004051843579606479,0.05641470281576127,-0.0657169551097373,0.08058467574730814,-0.0916878952524386,-0.0046285119668370255,0.015408157283455756,-0.005004111533989739,-0.1343458525462449,-0.02217101024993742,-0.13379026668651617
FASLG,,,,,,,,,,,,,,,,,-0.03200865723942591,,
CEACAM1,,-0.0236056015046056,-0.021526324613430927,,0.0949715810629882,,0.04096675915500096,0.0100382165116736,,,,0.10727179338110401,0.010220085823504844,-0.026506979917608753,0.04305682213869222,,0.003887480091186996,,
PDAP1,-0.042676381149765574,0.02835078938278756,0.004487713772896973,0.011902770979722064,0.00045991259168263896,0.05251405868961822,0.07185387230333051,0.06264054082448067,-0.013269432816778894,-0.03568340882156846,0.08220291316091156,-0.012514426026301068,-0.026032860308777883,-0.059786683605984874,-0.08927051895703648,0.05369412265649553,0.06480725493221745,-0.006757224374393367,0.037458262429438595
QDPR,0.012168698709238425,-0.02248956656636853,0.023868834203766048,0.04302971238816894,0.020666755434030584,-0.052373718772990546,-0.07051821947129162,0.08012384228403838,0.0137534731280827,0.006583079714842641,0.09593254805641889,0.07142817905253451,0.024205041413647883,0.015308945132595323,0.024042655206128753,-0.05063826076566292,0.04350769029081269,-0.050213778361828075,-0.056360354705341016
POMC,0.04407849693919807,0.03503756894846053,0.021575257897991702,,0.006023366790093442,0.014145940147819941,0.0033729273311270446,-0.009021166254815353,0.0027022975661556642,0.036593687625013145,0.10475489014476916,0.002479462588217642,0.0536688892399984,-0.012376906495777374,0.03949987394607316,,0.06802585295201317,0.0469316439621638,0.020510723667712685
CCL18,-0.028442019803029187,-0.029457560325453904,,,,,,,,0.07671117151121792,,-0.028528156054398245,-0.0132760100846972,0.060987326007563014,,,,,
CCL17,,,,,-0.01466579280712744,,,0.024340813667542337,0.007760264887497459,,,,-0.017371466602635877,0.007789710559872166,0.039951749823374405,,-0.029012252587356253,,
VEGFD,0.02065083255767862,0.06314688119882977,0.011061164857265895,,0.07805672954134829,,0.0017712239540698092,-0.024738196287466752,-0.0039612497925545975,-0.016305442011647422,,0.026145775531946098,,0.08053673889288857,0.027079967728922367,,,,
TNFSF13,,-0.022229627368099095,,,0.06904546013448823,-0.022340609148132514,,,,,,,0.021264449901289954,0.008508635119883258,0.031203738632225166,,-0.027678858260031237,0.05771060627344089,
WNT5A,0.09647624533154237,0.07071101205790654,0.0033363694264416017,0.028191322794544435,-0.015962785767489836,0.07766768818227765,0.12504983358870123,-0.014735915139930092,0.007607440704587762,-0.020632762793935246,0.0018548943591231186,-0.015361741450462894,0.016170522760888092,-0.013782674521300713,0.011499567677337487,0.08949642400223182,-0.007955745322999835,0.04005887095487698,0.10649665528320566
CXCL8,0.054014188400478814,-0.0010519665520909458,-0.006213804410651874,0.01574080180702262,-0.055855039921845887,0.038059093544995384,-0.014362854181710865,0.0043291336298362905,-0.013976606389165218,0.046517275130178795,,-0.12699193430709652,-0.05719965037716557,-0.07209722164729603,0.09147072050750793,0.01329224195812384,-0.042664480822231794,-0.04759324092857926,0.11002500089325884
