,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.07050284105161977,,,,,,,,,-0.018602402034497558,,
BMP1,-0.013655581088592146,-0.004614677635909019,-0.012774789281217957,0.044190176351289016,-0.03744282929273309,-0.059000584276301477,-0.46289547771768275,-0.10419949356260473,-0.08258812853933044,-0.12516617969727614,-0.2214970657740318,-0.08302769778427663,0.04239989405025689,-0.03447428693030459,-0.06706761987017378,-0.06315614650741552,-0.03380575070132966,0.01800731225653109
NDP,-0.0637546292517015,0.0046361371223132474,0.006299030682380707,0.02466965877619159,0.1477771710278507,0.10430939199152922,-0.12162720630694028,0.04414250377740201,0.07285567909466657,-0.07561757828539399,-0.04165524160436422,-0.031013484585971942,0.03299643104487072,0.0663481761885586,0.0586851454571721,0.05316645681760675,-0.007013352609413011,0.026676635967191685
TNFSF18,-0.04609204839193768,0.010679754519606642,0.02783893800227077,,,-0.056709146614657514,-0.09032977532605548,-0.018439604467783168,,,,,,,-0.04154598645559052,-0.031378926464096034,-0.08360209558961514,
IL36G,,,,,,,,,,,-0.036073889867862696,,,,,,,
RTN4,0.27293536049776745,0.04621217405120936,0.09301195378432274,-0.004853555402656449,0.1348004338388268,0.25181825912189315,0.594805911778866,0.13875716896096874,0.03889939074475848,0.3685950183984208,0.3480413979743073,0.08064388941086297,-0.01003850881963628,0.030064361458384915,-0.008753395649612498,-0.042570710587502794,0.23485905791850778,0.10585495757573618
HEBP1,-0.10444617069990675,0.009668996495915634,0.01961646346938107,0.03737543189235971,0.0214728782272505,-0.04007965187723239,-0.21295481620189363,-0.00992127904996158,0.010187044283267206,-0.16156775624242317,-0.010308881603802358,0.05204658155616674,-0.007141135686940665,-0.029320350732867293,0.0693394077320375,0.08468423419817082,0.007971048293839513,-0.018690501641857926
WNT7B,0.3864066202071539,0.050729929453002934,-0.02099761575658825,-0.004330847824296398,0.024973682816034185,0.03336320593060775,0.34521781090171527,0.04699407310325654,0.011599156608482234,,0.07926901218127909,-0.022714399761111413,-0.016035883502676526,-0.019985481087952308,-0.04154594337552349,-0.03970525906848499,0.11461872513018401,0.12177762621370086
PTMA,0.029482520788291857,0.019364550780010974,-0.030127732680095685,-0.01830285335421078,-0.07957512287669836,-0.21448455533132865,0.08284931162427248,0.13135448455087478,-0.08616105384693201,-0.46779684807344,-0.3619115355366571,0.0006664044775988331,0.007596706852332388,-0.11176956077570761,0.02121827002920685,-0.12422859490611675,-0.12510574149819348,-0.09884427662410933
FASLG,,,,,,,,,,,,,,,,-0.016133856938218574,,
CEACAM1,,-0.03519998385833716,-0.016114407171634725,-0.010294060422243671,-0.01612038877307753,,-0.11819774024582816,-0.038456618034592924,,,,0.22409886973516305,-0.01827202937159383,-0.021386692802141394,,-0.004246042265720397,,
PDAP1,-0.10789816699043232,0.06103489784803425,-0.025479030440747622,0.09587573775426839,-0.05361350299234263,-0.07886670067688105,-0.3222932007994775,0.02768892230834983,-0.006511691966274213,0.030743195360382402,-0.1613082538750914,-0.017739847409205388,-0.02417669309306409,-0.011186989589019293,-0.07545273036681333,0.029223968563206387,-0.007563174957352644,-0.004381550483926837
