,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.008964798755610693,,,,,,,,,-0.02866729890594096,,0.05015112466961671,
BMP1,0.0172315434162546,-0.06270799500758333,0.022443905528214056,0.06450037283167086,0.10231967358223153,0.05754081131141002,0.1481049983954199,-0.02029039649242949,0.005523410930687843,0.06622273903526167,-0.00042845754525994525,-0.05813392188665493,0.09059337800709072,-0.02204665898964479,-0.0027382998845001216,0.06885265112639678,0.011581894097761005,-0.005565832762983556,0.1167732543959462
NDP,0.07957923795853211,0.02072279834150498,-0.036205803489026814,0.03239007042422818,-0.029117496559329936,-0.026897652218052247,0.04439187605809435,-0.046424645074722985,0.06793363978383855,0.042239879493252135,0.08031416924528692,0.03954623702865909,0.017593247494361135,0.02428905485350229,0.008306817136392027,0.024577092575377185,0.010892044755488238,0.20477752514755695,0.07671447743035259
TNFSF18,0.06124939245510022,-0.008786049498703572,,,,-0.01258239927525025,0.008329449889528159,0.11546353181471958,,,,0.07495194907265122,,,,-0.012488418553305104,,0.06497105377366114,0.13290671090392436
RTN4,-0.1343228666008902,-0.01018036116540266,-0.0017821403134580794,0.013962569501915819,0.010861834409949828,-0.09132686065539437,-0.18039588516601116,-0.05114149000399833,-0.020653266772678338,0.0599341737303594,0.11872847488724143,-0.04195588813187266,-0.11769081132024224,0.017286614616002817,-0.004447001836831047,-0.0855850343863427,-0.040371130774089395,0.008266473126821225,-0.15222514204367396
HEBP1,0.020801670058625574,0.010048548155498375,0.085498252243877,-0.009900531899447656,-0.00655174407968029,0.05183343966095315,0.06121848991419302,-0.008324831046202111,0.046018590958147546,0.005114124680091569,0.01907419026624849,-0.058129733625831626,-0.06549368758696503,-0.02499354876212601,0.08195168807427315,-0.003038991184428017,-0.058670734322210066,0.06974894413352492,-0.04095965422631341
WNT7B,-0.035157276000104876,-0.0059850992035295715,-0.03985031803565676,0.049257814641327995,0.05326934135331031,0.0038371802183565003,-0.04434186426021262,-0.026893844802446925,-0.0291752362401588,0.019049470624951957,0.02117719418356214,,0.046672336549140235,-0.03533467388343415,0.029667803279786603,-0.01590011703264944,-0.008991623272411797,-0.013163418885904892,0.038827935192709516
PTMA,-0.0580102038414432,0.03953008193811355,-0.014853715620660509,0.02555336360782005,0.028799970951943442,0.132984436312625,-0.09692299007928165,-0.0440639265976063,0.09956792470364051,-0.04326594480371534,-0.11283004016952677,-0.007579391734701396,-0.14832187824638868,0.08069305560047692,-0.02219571603217151,-0.08271813592508713,0.06040895009076401,-0.12924608977226282,-0.03268262465720691
FASLG,,,,,,,,,,,,,,,,,,0.08430480205191763,
CEACAM1,,-0.02655158285817018,,-0.02543764489259923,0.012765601872953959,,0.04673987612193284,0.04274521052013718,,,0.006266364877578169,-0.04193666635436398,0.043026487223927476,0.027864155511985584,0.052665662871065985,-0.019107591356526645,0.030852609117101013,0.02760933381588891,
PDAP1,0.04858420609822298,-0.05837717943727918,0.008165641763283491,0.05898868879912118,-0.005463925678492616,0.0037818138596889465,0.1487190938802524,0.0050153402405133645,-0.02548969892114828,0.03992631228798547,-0.06885248317978597,0.10430367077200291,0.03989712768718361,0.03047543115674708,-0.04781567525714153,0.026871805802992536,-0.006913871289089618,0.021375287717287354,-0.06336187342875818
QDPR,-0.010975993425032865,0.03732965045089261,0.037229832244255585,0.06938487168191869,-0.06197859145816813,0.006567536327412965,-0.1318822582280041,-0.027255419079075315,0.0021634199865542235,-0.04972299154563204,0.02426733640736359,0.003163782295210844,-0.12106231488390817,0.0282073171303119,0.057145728809735105,-0.10067672382255789,-0.007081421092224023,0.10336588209399791,-0.10961103051027687
POMC,-0.06578954177728014,-0.047177926630469505,,-0.03897682991294149,0.0016493547106814332,-0.033194907037405394,-0.03468675565563301,-0.04154767848193146,-0.010734609787568248,-0.02776184034957894,0.036263525011585813,-0.03161541380430503,0.062322053643183974,0.038476585591847925,-0.002178189711199096,0.06444656935402858,0.015534707046994825,-0.04533116832144171,0.05885595060248735
