,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.015697210171155218,,,,,,,-0.029695617804969023,-0.029778239419884563,,
BMP1,-0.025678925611304224,0.09213653227159745,-0.027758909000210674,-0.004520480171115669,-0.033981798644098844,-0.005364113869885053,-0.006093971663892694,0.06799248849383975,0.002012189445401689,-0.010410142784334058,0.021396606631763418,0.10318991765852462,0.04083386808981049,0.04705948283828499,0.11331013048024427,0.01419084290581857,0.07953110795624224,0.05888794858000891
NDP,0.06885924536214909,0.0398655479930733,0.029383417454377943,-0.006002579366307705,0.06178830457469783,0.04072619506593698,0.061645307172843895,0.06032193616635697,0.011862332576059667,-0.009429075883998451,-0.011091863879110537,-0.011123428248456059,-0.08585739685698082,0.013745175988196197,0.042090509936730275,0.13319568479886515,0.0008018490652214276,0.11176603408815237
TNFSF18,0.051174374835191265,-0.009096697252961323,0.006469601582941573,0.014090839015129995,,,-0.017509957665679983,0.045067448496030935,-0.0031644302250936757,,,,,,-0.01423041652639894,-0.016429968997371272,0.06631418120564171,
RTN4,-0.0007545087828518599,-0.02686776166890509,-0.00020811724641965458,0.02835459598058782,0.04503119278204163,0.10794523156177002,0.034019046487675904,-0.06365186124365127,0.026420821645667267,-0.03452268570093074,0.03886230239802585,-0.058269110207118065,0.02404222064928736,-0.048808798208690225,-0.08128415972644691,-0.016173271574430593,0.01688234208495258,0.006306218863237479
HEBP1,-0.019379918581795975,-0.025504719630648487,0.004570079066078759,0.01226844300256039,-0.014755858329653423,-0.02209128257978433,-0.0749019994115455,0.0586841513036065,0.059110148806903975,-0.006835082283517626,-0.008589204715249392,-0.016992766418631785,-0.010787299448160413,0.06208014908055503,0.03538860938498363,0.13596920755225406,0.028186525702792523,0.1055613567865527
WNT7B,-0.030485237138647408,0.09040313828230252,0.04975741263242226,0.0684971032441881,-0.008574116812218415,-0.017537516681221405,0.011493087424428974,0.03309616622052247,-0.031445750123661596,-0.020522808604524087,,0.006092984575176712,-0.010614894198177275,-0.019468867391749585,0.08666242571393856,-0.03762688588023659,0.022957631018762418,-0.04128129953682547
PTMA,-0.03290577828679708,-0.13733474384453864,-0.025661688546054818,-0.01925671180844903,-0.014198483245191492,-0.0852342396569734,-0.04847220732903491,-0.08045812850514136,-0.03629821328113162,-0.052476764750548306,0.021191684213729984,0.08219731203181284,-0.027649286427005086,-0.07063499990547537,-0.10844292854100289,-0.11274796385636553,0.022219949429765757,-0.08627454092690835
FASLG,-0.030485245756745855,,,,,,,,,,,,,,,0.004102668315315602,,
CEACAM1,-0.01987310203749337,,-0.015340651513288917,0.010728686892613335,0.04914345289589106,-0.014989604279814571,,0.0062631839051940945,0.00145310723277782,,,,-0.02976457186350248,-0.01821210678364319,0.08133140938885784,-0.013299468223603348,,
