,UKF260,UKF296,ZH1019T1,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.01636014228227594,0.05580851437913171,
BMP1,0.006671070439026671,-0.01729215109454241,0.006165725500503307,-0.009622984580096661,-0.011178022192583988,0.03063827531336183
NDP,0.005955047841355513,0.041766593136671366,0.06114831925178993,-0.0200995607803513,0.13530519918299985,0.07985284241483076
TNFSF18,,,-0.04222235769557958,0.04340157152453702,0.030037222933569974,-0.0057641181126262455
RTN4,0.09139677785788344,-0.006080167496632414,-0.047772820568765806,-0.08432366916988024,-0.04582344773920142,-0.1249365475353706
HEBP1,-0.059670194308457644,-0.02145438873097097,-0.018769646358201976,0.06246595672156482,0.13684572157235483,0.03532401665422591
WNT7B,-0.016033607518516915,0.07348028978719186,,-0.020077184471928456,-0.07440671297076484,0.1060850833691223
PTMA,0.004517759485962756,-0.00532747497042989,0.027897522194239216,-0.08450298683847003,-0.07971819578333715,-0.05013470693792359
FASLG,,,,,-0.02665367273105196,
CEACAM1,-0.01456208106823738,,-0.02968948320092042,-0.02424319615482963,0.01604850588841484,
PDAP1,-0.08083093764525527,-0.031638965246054036,0.052089150797315256,0.06506880931812187,0.04404388858791473,-0.017334664653595393
QDPR,0.029785686810275106,-0.031913708927664826,0.0036892418305173175,-0.0014844026877943956,0.05872615048360267,0.09281207135073268
POMC,0.0379812304960964,-0.01965868176522252,0.05344852049593012,-0.03202552284831027,0.05061199615024064,0.057190895446550066
CCL17,,0.000972875319906476,,0.07356885822288636,-0.034595249080243994,
VEGFD,0.011949505316918942,-0.011979332843518828,-0.04036220180142856,0.02067742285874286,,
TNFSF13,,,,-0.023130931003616566,0.013149597572125787,-0.007940733047768189
WNT5A,-0.012575380797253517,-0.018197476729398532,0.05811093975021383,0.08097095630387659,-0.006675289713047489,0.04944546123853992
CXCL8,-0.055236045745333216,-0.011155675622593524,0.1595911769286722,0.0994391493419988,0.019476709340369328,-0.02561900070479797
GRN,0.032212453492327764,-0.03761992802840073,-0.04844069211912094,0.09292867718513678,-0.10509675059918644,-0.012553402331695747
MIA,-0.03371058206196736,-0.01362396828549652,0.010037939826247715,-0.010422922404064512,0.15510123506074325,0.06473183993199273
COL4A4,-0.057187091154915014,0.08095038411964223,-0.0012081222804204482,-0.0035661536843734193,0.07184339316588814,-0.02402711194704918
TAC1,0.03179589346300705,-0.005614070484962839,,,-0.016551419883786465,-0.08105223562532937
RARRES2,-0.009070574660739688,-0.0006806288870935022,0.008629527943366392,0.02907778725750959,-0.011166322287436692,-0.061024490981090314
FGF7,-0.026676062661154982,-0.012565623048544817,0.03274024715402823,-0.011317594639358042,0.16082074375980887,-0.012525899984279323
HBEGF,-0.00034810383294656464,-0.030764075351822674,-0.001650408589116436,-0.03354611562269436,-0.10502541149805565,0.02980699571507357
CSF3,-0.006416069598890735,,,,-0.036423460334412884,0.04105853770761038
PI3,-0.007296591773602691,,,-0.018327150192313266,-0.04693682190718295,-0.07539699233366462
PCSK1N,-0.00846203004414446,-0.019344210953039325,-0.004962563578338377,0.09622278518299368,0.11529429623417459,-0.0878249662849452
NTS,0.10007562378530206,-0.03241042447005016,,,0.036140620719060226,
SFRP1,-0.015894198589046754,0.018332451898844773,0.03347910616442092,-0.030498772994752222,-0.01914231209015317,-0.09125999238254674
CXCL13,-0.015751353779933492,,,,,0.027572606755418116
MICA,-0.051957378238817305,-0.002210724125247775,-0.009364553206088947,-0.03362545211791173,-0.05208743796533977,0.06898650013237972
TG,-0.03371098526545362,-0.011819015984677382,-0.04852787893531283,,-0.02030791579424803,0.00555678069161239
ADA,-0.010340635618489247,0.07130255390211573,0.014937141162967639,0.028087123147010194,-0.0558020325509839,0.08752171692911304
LAMC3,0.05527338566496729,0.009617736141671954,-0.07238422118443952,0.0213127227840621,-0.037137458337532604,0.059416797692473405
CCL7,-0.02088338698530999,,,,-0.00017882897501665456,-0.07894881991726078
NGF,-0.022290842036197404,,0.02331909740366337,,-0.057254094640702864,-0.009428698273688023
TNFSF15,-0.015461988857766376,,-0.022682182637691967,,-0.02348522963525235,-0.02157216059651624
HMGB1,-0.025191299838291274,-0.06041833691472294,0.07811698691747936,0.004648611268762182,0.0890811945458016,-0.032319331661097114
ITGB3BP,0.03119941320667778,-0.016931086188887844,0.04882392867659121,0.09599174322441976,0.04993110699542468,0.07929115607422611
AANAT,-0.013932176676771381,-0.013623969043296423,,0.05148935349626902,0.022667681321937323,-0.03560828012073778
RELN,-0.041942409985382435,-0.024874224432013304,-0.06029464209867834,-0.017606508481222524,,-0.05505413631074059
IL15,-0.020115301582822653,0.012905377374457594,0.03819655557033093,-0.0029206908380111163,0.042143317516960585,0.04078182028341609
BSG,-0.06749551404196966,0.03791722383988443,-0.04523698380818634,0.12565666608805412,0.053961753679826585,0.04429558113800509
ADAMTS3,-0.043726301290796285,-0.0034633952430549865,,0.14248545158214854,0.08563374388348692,-0.002258251319975748
CD34,0.07011054992417637,0.09128920695290606,-0.06152282340085316,-0.0010055557633658026,-0.03381875713635282,0.007229528384535234
PLAT,0.04699053404368337,0.0396589585616562,-0.020431036697696307,0.1270999821319835,-0.013141114718135937,-0.0060794012991027555
NTF3,,-0.008830197236925545,,,,
LTA,,,,,-0.05435024807793029,
