,UKF259,UKF275,ZH1007inf,ZH916T1
IGFL3,,,,-0.01595430892869981
BMP1,-0.03622371962938189,-5.726132976054044e-05,0.0635121472350114,-0.001503608381632986
NDP,0.025120248576699658,-0.0015002374700673917,0.024554189122031143,0.07272347979589142
TNFSF18,,-0.016905245023488086,-0.024507793190574216,-0.026912066825066003
RTN4,-0.037214086115915763,0.0003107950717152384,0.03175805910452221,-0.006472707222225214
HEBP1,0.018766006645504606,0.07057473540647462,-0.023174707611868954,0.04180685045816841
WNT7B,-0.02176982070279267,0.03183900842656431,-0.026980688209622995,-0.007442611801719329
PTMA,-0.019263592554450565,-0.047467708309609134,0.0555590175726089,-0.02205981629950589
FASLG,,,,-0.013837166690970206
CEACAM1,-0.014588444930158772,-0.02658792301717125,,-0.019252385140623423
PDAP1,0.010296909017993032,-0.013541301205943579,0.0434842400748325,0.016694336723973476
QDPR,0.03960613832939403,-0.03657776618800172,0.0064856714175537174,0.0855153603883052
POMC,0.038986612667165695,-0.005228139312522037,-0.03786333993296777,0.010017742640601556
CCL17,0.008601485996465886,-0.007562164590454896,,-0.012541837420074801
VEGFD,-0.00684423153660061,0.0030572219800466646,,
TNFSF13,0.03180254583161106,,,-0.020435877251377046
WNT5A,-0.04237385939951499,-0.04910643757221531,0.02284547028140774,0.024039970893238862
CXCL8,0.001077229605861332,0.04664417037057106,,-0.014902721788635104
GRN,-0.02096708128045837,-0.028063460112292975,-0.04205111847088254,-0.0225973845476438
MIA,-0.009475937454735553,0.002117615599052456,-0.018447619015654518,-0.0059098375601569
COL4A4,0.025647416237619482,-0.022012486012782505,,-0.011454378987966637
TAC1,-0.007630470750346119,-0.012751242445374632,,0.008095047381395888
RARRES2,0.0943432575159755,-0.031093015545823995,0.03826044032954208,-0.023906717176829365
FGF7,0.017809713959560998,0.05898142663283705,-0.0524732247900701,0.034079311379600796
HBEGF,0.013049741817920965,0.07867075588226313,0.02781914313981489,-0.02479450612373537
CSF3,-0.030547783061524218,,,-0.01320461999655381
PI3,-0.007640581405606523,,,-0.028689252447574316
PCSK1N,-0.009838541114885056,-0.008206331644357048,0.01846576898913263,0.0582383900461982
NTS,,-0.002359855032838093,,-0.019554241616837026
SFRP1,0.03957601694976245,0.029891327713085537,-0.02760139142837589,0.025086595166381783
MICA,-0.050507379533826835,-0.003926523584323018,-0.04155542664656096,0.03180688062930439
TG,-0.016170655116293422,0.0704969647249001,0.1688991018287974,-0.02575152767391842
ADA,0.0167130778312711,0.006430862667664915,0.06803046780952986,0.009070282663622892
LAMC3,0.002157473495506596,0.02686670147626639,0.0044904446078552936,-0.007267002715231546
CCL7,0.07560576659880693,,,-0.013837161770638894
NGF,-0.035605232636868746,,,0.02196393838761166
TNFSF15,-0.031196773609731568,,-0.02895011592359525,-0.0008639832492130997
HMGB1,0.02366502568510041,0.008419674524041344,0.024716189714521657,-0.005866845664171922
ITGB3BP,0.051990392932838456,-0.04356789585590835,-0.04249729648772481,0.04436160595278088
AANAT,0.013200547952319067,0.08418603611983025,,-0.014640294193121838
RELN,-0.013222329675778997,0.06080959291358359,,
IL15,0.03206906569558481,-0.026506794523670902,0.03116796870876032,-0.00935090343318287
UTS2,,,0.008635756090815613,
BSG,0.004618101368188614,-0.03963890046333394,-0.053080849487507076,-0.012110063053820045
ADAMTS3,0.033830078424690095,-0.031966330055825616,0.013241989711164486,0.07373940693132038
CD34,-0.02838392600758184,-0.00039481359871483285,0.0294987314145651,0.0009352300427915591
