,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.010642610457068331,,,,,,,,,,-0.005734269375181451,,,0.05704898623069418,,
BMP1,0.007550257488507433,0.02189623803771689,0.0050158555023517406,-0.0038695870528338157,0.07163061274022496,0.04229985594263873,0.045384917941672945,0.1508436121232997,0.028347015312581342,0.03804832976665746,-0.10573237051041656,-0.02950658276184521,-0.035485019532279255,0.014723727344034005,0.09050316309454166,0.0467030153329093,-0.009603277532419055,0.06939155378116219,0.04225296009056895,0.012225036445221549,-0.035351874625876016,-0.005753973535598302,-0.10042789522602827
NDP,0.008168453113019298,0.0033433499912195797,-0.028952819357666724,-0.017048194974825896,0.005082643303852187,0.0020162735582230484,0.020933139211377183,0.01642833891678344,-0.00576715246528731,0.09639207475233771,0.047526526717023836,-0.02576849043377253,-0.025164749766036845,0.11998980774841227,0.040980415086212245,0.01874231182393834,0.06211276467493869,0.05366407344277615,-0.0848514858568227,-0.014154471046107394,0.2177299299960727,0.10415916367255607,-0.06837044671069474
TNFSF18,-0.033482725863848414,-0.0015864511962678067,-0.015175020253570645,,,,-0.013010524082972156,0.04926928483115713,-0.025202858759231516,,,,,-0.03214201460915563,,,,0.07613903038309264,,-0.03947951151161801,0.024279841479968766,0.06459712923776194,
IL36G,,,,,,,,,,,,-0.013143811868385777,,,,,,,,,,,
RTN4,0.037409957675028645,0.05810806096640914,-0.014585552439564132,0.0038317794860034285,-0.023406190699627887,0.008700607664995105,0.005335483086839881,-0.17244952074537132,-0.018559415648204666,-0.1330467009195354,0.15681186780375797,0.028221476727761045,0.08256419168326026,0.06890125691363357,0.03199901026141007,-0.06251600943952446,-0.013693140215958936,-0.1331459863011741,0.04153686227144273,0.03337500320311112,-0.08058254746331307,-0.007897963492767066,-0.07315362015176745
HEBP1,0.03790167122844338,0.010100586282701017,0.006481574258079224,-0.05426270607262997,-0.038948766483311595,0.006779539998816123,0.04777584540099555,0.037235324963772035,0.011685292880824757,0.0015011270373484992,-0.03970799639634576,-0.04382452747994487,-0.06056252052084576,0.08903337126003015,-0.0007887811186540583,0.05566077423297512,0.10710833302981485,0.08259398363289339,0.028227040492731417,-0.019069075128124807,0.12178992517114616,0.039542633176830155,-0.014618302881383731
WNT7B,-0.007353532876931734,0.023428893748037336,-0.03346600000319193,-0.03824828242953545,-0.04639246095687653,0.02553380840352395,-0.016251676791209264,-0.06699287206312332,-0.01680271051732087,-0.04244843150371858,,-0.014446563954630252,-0.08772637672205978,,0.015624319270174344,-0.00207820335239666,-0.05499644018136817,-0.017780230528888576,-0.030156392441854137,0.0148168715678593,-0.03825151419442502,0.009586200455301595,0.009649823912349942
PTMA,0.01920519822354087,0.01623580853689351,0.0130659553503618,-0.037857782166890674,0.04687690898469997,-0.008007641884659035,0.03151503044648494,-0.09090863424382513,-0.012177411130462654,-0.007397960036776012,-0.1715418103317338,-0.04178485941150921,0.04540378581457614,-0.07324108867565453,-0.04931927350267037,-0.015198348948588339,0.004186492586055913,-0.15207765725147096,0.013331407804077171,0.024875687494549183,-0.18989073364981696,-0.031992652896380036,-0.04711832001291878
FASLG,,,,,,,,,,,,,,,,,,,,,0.06417046182778922,,
CEACAM1,,0.0051554039858214915,-0.025683142158087962,,0.033332730154554666,0.040635276564717465,,0.05045791525474345,0.039899972259112584,,,,0.005053606669779505,-0.016269785981787604,0.04798943007104984,-0.02919009032728896,-0.01077783582385705,0.0035074544229263043,-0.026399990058931833,,0.0593200206792925,,
PDAP1,-0.051237083949108815,0.06900460378387636,0.015179043149241258,0.02941111055604782,0.012217588918654395,-0.00947499640324337,-0.001935524521979357,0.11142586590265303,0.03646673793756466,0.050266066587839504,0.03515062439149261,-0.004088026749112947,-0.03145442415674722,-0.061694819901122154,-0.0463099434197138,0.03041373481670002,0.016248965911125617,0.013113129878040095,0.0031209952641292438,-0.025947714989468625,0.04244575596868719,-0.001108536900989431,0.02220314912917753
QDPR,0.0762617958225323,0.0186769767799674,0.02879057234184219,0.02735480958918198,0.031372132547520436,0.043250896379839365,0.016370273643871173,-0.1865664634340559,0.03231951928033077,-0.01760547977855102,-0.08093787146117169,-0.0013054897038210559,-0.13463779909693707,-0.04483793848896752,-0.14674748351846018,-0.013705095072243644,0.050453225049903766,-0.11924899716698056,-0.0036313893015713626,-0.02559010666477924,0.14852004453769282,0.04953933651575162,0.06595162674883094
POMC,-0.005884604362963435,0.005968043787751751,-0.006088707598257204,,-0.0157096175854902,-0.037739540695072286,0.009561555668605217,-0.04404056301646179,-0.023677148764304025,-0.014452148987884238,-0.01335793787522135,0.04508488870651968,0.05540958354783378,0.04576871561284763,0.015858048622873926,-0.015507555412817644,0.04150176241571159,-0.03813481120143565,-0.005388037444749543,,-0.00512267476684049,-0.01450769680712218,-0.029290031222648488
CCL18,0.009280098979006573,-0.030233199892241904,,,,,,,,,-0.03369556890807157,,-0.05664313493148945,,-0.029419585758055398,0.05725667795823091,-0.0114412995888181,,-0.0728250103061831,,,,
CCL17,,,,,0.033432907933912376,,,,-0.0010405029234226292,0.028811608894025988,,-0.012007245294462832,,,,0.06517714486353363,-0.03846115326751091,0.011833653828545159,,,-0.03230902149598928,,
VEGFD,-0.038459344078074664,-0.030233209492698906,-0.027913891944406515,,-0.028555332614521083,0.01382810851603993,,0.055648743355623115,-0.04537677619434276,0.02143870466675195,-0.04558591828234403,-0.012868536686527886,0.010498801976280883,0.05784724455208932,,,-0.011489483428572832,0.020057162611112834,,,,,
TNFSF13,,-0.008237722685401752,,,-0.026179298476595003,,-0.026156647562980546,,,,,,,,,-0.03973737650528447,-0.0007400021138942004,0.09312119694386521,0.02078778800381659,,0.024462931946368758,0.02703312124415026,
WNT5A,0.035917742271392016,0.009807779498736222,-0.031947941265284406,-0.022154175872753645,-0.002402202827222109,-0.0010540619257301145,0.02678132190882196,0.1046586040582527,0.044627495612770914,0.08613189286167618,-0.04849246802139656,-0.04935414605466419,-0.08098959535874427,0.050372236848339184,0.034165696245584846,-0.0036394756147488574,0.00604477284995446,0.01587920618169705,0.053427380823487206,-0.07096711965219545,-0.038413906136018895,-0.06842736587473049,0.08946591798826524
CXCL8,-0.010407344933319181,-0.0013592387923838714,-0.03444418166124333,0.113923241554264,-0.0014406478987474712,-0.08806568663028914,0.0039052314073280306,0.09221869624126776,-0.01568977597450644,-0.009308999015827886,-0.06248215514911636,0.03439380352564002,0.09530241369044287,-0.04561770680241961,-0.03686215593785288,0.0015844917394849062,-0.07955203345937223,-0.037492109468185535,0.006946856753780174,0.045928987502248685,-0.015500358332414775,-0.012410019262266094,-0.05808590126159963
GRN,-0.011713427868458698,0.04473331319252636,0.017307475429623284,-0.04673044702102087,-0.007340040238412943,0.032205779525946714,-0.010018304073616676,0.14958697700564266,0.024133264850188445,0.0131676425402429,-0.08686916882308247,0.04570622221380658,-0.0804240515976946,0.040317522711895884,0.13469792924479224,0.012439519791574214,0.02279119052879302,0.136228116081319,-0.05196862403107694,-0.01596035003303595,-0.20324827817934155,-0.027517791038536667,-0.009009374024510002
MIA,0.011004822531698755,-0.027408596634318896,-0.032714849916305966,0.03242404444198121,-0.007893267830280905,0.10987307227557362,0.06614695237270136,0.051942589587349215,0.002797574573818215,0.01730467382917908,,-0.01762405072584029,-0.089006220969683,0.05281855992272921,-0.047133608969250805,0.02094976297981523,0.06730943743050005,0.10154149875899526,0.06368145271865484,,0.14033045053777135,0.020567440325564682,
COL4A4,0.05434227468094383,0.0012653770860971765,0.02252019904288321,-0.024493739133797713,-0.030046200946837583,0.028317996910847062,-0.024886894544609257,-0.03622036836239764,-0.03797164176013182,0.02349931470791466,,-0.0170959830404573,,0.000713524997312313,0.1378545108376818,0.022212340676101235,-0.0226270117630351,0.04811961435315429,-0.0165040075314435,,-0.031079471408640206,0.023361001170073604,
TAC1,0.030525892756163433,0.09081300192134904,0.027397685613655125,0.03048971951888006,-0.07845236597976922,0.03829723293172634,0.04453618357516688,-0.08498804388201932,-0.01828710830640938,0.008757994585876255,0.1010605265976855,0.05196409094168848,,,,,,,-0.02918755530358157,0.14309972753087394,-0.042473494076063,0.019838555458035464,0.01084144566093029
RARRES2,-0.012619298452798307,0.011928197269883473,-0.06100422990028456,-0.048146001152289744,0.015182272860906001,-0.08778305526088595,0.013018522346498316,0.1490125591936399,0.011086106022491717,-0.028954806704609804,-0.02794875972202356,0.011396662933885112,0.035604807524846606,-0.001065747996222278,-0.01509105223707697,0.022850764982999372,-0.01712750812295605,0.01326156555209683,-0.03545472427213075,0.05859445853691406,0.0909658405033226,0.055683136810591026,-0.07889905244983277
