,MGH258,UKF251,UKF255,UKF259,UKF266,UKF275,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.07976820090337386,0.03611144284411526,0.023391510750017303,0.022097407320916255,0.09094519452929108,-0.019798040589365167,-0.006969972291150949,-0.021839687197485688,-0.03307925432359763,0.013512408049897291
NDP,-0.027987596862339918,-0.00806622126915872,0.023231461586952322,0.023142687484543765,0.02653085957778461,0.01027936354739437,0.030067677280459566,0.04207794301953527,0.046655402313384504,-0.06286709648414937
TNFSF18,-0.021153800663678328,0.09947023012017135,,,-0.012024545491310965,0.013440055795358716,,,,
RTN4,-0.03271477048945013,0.03538232157251008,0.08847397530708352,-0.01431259987517647,-0.12236700046497875,-0.028531448416960186,-0.05832078169648069,-0.05271340081573171,-0.031297913392030044,0.08711193552311358
HEBP1,0.05201353597804315,0.05647422377147833,0.025170412946511643,-0.08000812666011199,0.04968960625054346,0.04833867885450821,-0.017991828157235903,0.011236199349653657,0.0010216640123803117,0.06353850255821353
WNT7B,-0.018635835829239524,-0.004716222193730753,-0.04024182531250563,-0.02275399112242818,0.02084420768212617,-0.01782128268778414,-0.01233231221151386,-0.036814773049224314,0.06202550103687319,0.0724682386588976
PTMA,-0.0022055397590217615,0.05326439913209751,0.048524828982395005,0.027606648302190347,0.13157841751995197,0.0022104623250004344,-0.020020726162516156,0.0014412893887732875,-0.01693776568994646,0.05521278199252932
FASLG,-0.01863584109754257,,,,,,,,,
CEACAM1,-0.02587602845899,0.05907530188328311,,-0.014293046033904145,,-0.019003350993037977,,-0.025936009887576456,-0.03192522571471208,0.0015485216409792358
PDAP1,-0.006159428107270657,0.024639253782446562,0.022718009766190265,-0.01632940464090187,0.062446806941923526,0.021436537951369135,0.002551412259985697,-0.0016696290508498217,-0.06513584231643887,-0.025769724219787637
QDPR,-0.04875014056474107,-0.020747164841134397,-0.021553709807727722,0.010814249397020224,-0.03427288455118604,-0.022647869667516824,-0.009875228311656832,0.044326491540278824,0.05477792645173611,-0.01694668081661287
POMC,-0.052608715177652705,0.06540845819070544,,0.012825336351240071,-0.03172317624161397,-0.021067069384161547,0.046778103135542,0.0180593544423503,0.06574044402009582,0.027009999551068104
CCL18,,,,,,,,0.08960797622657639,0.04744870088180782,0.030983277397626047
CCL17,,,,-0.015228930278417046,,-0.010086963114938155,-0.015263945425954387,-0.018400343677070274,0.05798464175463435,
VEGFD,,-0.004431399289911527,,-7.160963726788261e-05,,0.021103790669798388,-0.011196288563325045,,-0.006761551787657981,
TNFSF13,,,,-0.010504575272528172,0.05138233530272839,,,0.016026951379282957,0.04363636198258971,0.01880627579541615
WNT5A,-0.026625069244710056,0.0020546441622848123,0.10751586135856825,-0.0006676195908844484,0.13069585141358103,0.004605202432685292,0.014351548215615987,-0.05673584538519714,-0.02689615109354636,-0.045164547433334264
CXCL8,,0.008543454241340596,-0.07689997607404958,-0.0007599510345784278,-0.01658744385367726,-0.00899795393547959,-0.01042647074097984,-0.0794621131765257,-0.14303306356734322,-0.06620792658512743
GRN,-0.04396457849602108,-0.014999138587436312,-0.01515632509466958,0.003728139225282943,-0.006141063584569419,-0.022909516163603035,0.032488996599528405,0.055972346181697864,-0.016671131258337593,-0.02986301952363124
MIA,-0.024392708615258635,0.03420864757977013,-0.013181163721734456,0.01748276154448148,0.014405712400667394,0.04543800127564951,0.03181498897370748,0.0547730545906457,0.12237846704659044,0.01728744692182073
COL4A4,-0.021582574756096526,-0.023365618148394038,0.041414836334890806,-0.036703778603436654,-0.01109521238152033,-0.023641423659493378,0.031649913460300265,-0.020616546284577188,0.01877893473539754,0.0066619525763564336
TAC1,-0.018635830958548222,-0.017810470047792605,0.0064365191470871315,-0.025028023424892732,-0.04287697511969544,-0.04769164709492112,-0.029220243704949207,,,-0.013343960363080684
RARRES2,0.028262884043753902,0.001806753701433042,-0.052964373797818765,0.04501899490166385,0.015303282426809416,0.017869625391280886,0.043152366698139245,-0.046245901928079244,-0.05156216573511946,-0.00812355559517914
FGF7,-0.028237784941231404,-0.013710252287073961,0.0695965291984586,-0.005395267853148745,0.015936103306145418,-0.0004310504262118996,-0.03163531258500855,0.13083862413347191,-0.015524121737260869,0.0272186552942566
EFNA2,,,,,,,,,-0.030342790507489427,
HBEGF,0.02680317563232343,0.0109104896718966,0.039658567957491765,0.0036475652377690316,0.07109187950533251,0.0015491333253420698,0.024053119987851205,-0.017385903860406577,-0.05448885992295106,0.005600918637088057
CSF3,,,-0.028564356813486597,0.14128767165595937,,,,-0.04046767343229438,-0.12701145333692107,-0.038306621177549856
PI3,,,-0.04943031175447035,-0.011993832348888895,,,,-0.07257974758722191,-0.16528094351080153,-0.07729145894136714
PCSK1N,0.1310111704710588,0.006600808157637034,0.04052397813748218,-0.02664061315812127,-0.035554324108749584,0.029937499829026153,0.002003345740353106,-0.006952660140559405,0.005626170059444825,-0.006610134485359479
NTS,,,,,-0.013544733394849266,0.043852522237424,0.011736402775229068,0.03246036880741551,-0.012599306269935455,-0.009237409106326836
SFRP1,0.044269913932163896,-0.07947440380430726,,0.00862770470817113,0.06422064837954002,-0.004415620720435742,-0.015263945579674854,0.028263356854257005,0.041571838109293414,0.11625349431619761
CXCL13,,-0.04517840560451231,-0.020741102861048046,,,,,-0.030735206119425464,-0.04026517218336436,0.018296821182857113
MICA,-0.012973429261816962,0.017541600103448213,-0.05038627904149813,0.015975387581576166,0.009309915477254233,-0.009436094712894966,0.015135562676128417,0.034094990210579955,0.04550134627931523,0.05069089703706302
TG,0.12771910665366065,0.032969599064305924,,-0.01433967416343831,-0.015634192909183588,-0.010141170519901951,-0.011046451019231279,0.11775891951920894,-0.02735433373003865,-0.031526937870913756
ADA,0.040639037286771866,0.09176978916550672,0.07213980807518287,0.013554771323255416,-0.018635374081325443,-0.01715305943168057,-0.01794032481141384,0.025712426890052258,0.05328138275363621,-0.0201643073572301
LAMC3,0.025167317474453707,-0.021033213904377193,-0.053319537799917015,-0.013855310711160845,0.08813026635370486,0.015627485790645938,0.03694105792718859,0.028448893739111178,0.0489288818138916,0.03760613295209726
CCL7,,,,-0.010367561509248249,,,,-0.027577873881268315,,
NGF,,,,-0.023754731417224617,-0.014919213392051996,,,0.03709293213675609,-0.0018433834650395916,-0.014150615729681206
TNFSF15,,,,0.08632455063385784,0.024197608585907974,,,0.005238046038926684,,-0.023787754107716528
HMGB1,-0.05713867230927213,0.03819041172992148,0.026976055536656218,0.0007514884122887776,0.0988206221363477,0.005091687409877045,-0.0028174638331527214,0.027339234862179346,-0.0008271023686666834,0.07309949332670448
ITGB3BP,0.004897559412663403,0.002872423703798661,0.033250445065267836,0.0037403482461390056,0.10951082422905449,0.06303549198094786,0.0530895352182439,0.04597360084347867,0.036970006047812164,0.015954458228627524
AANAT,,,,0.1003944106724089,,-0.02051617591713588,-0.012733421032631354,0.06518702787608259,-0.019982998867056536,
RELN,-0.017892522641163613,-0.010960949291026058,0.0020602176364212764,-0.018233592171598458,-0.015945455814479967,0.013487690954800041,0.022815054854422707,,,-0.002503272033386362
IL15,-0.04042032313791274,0.0064618658265705,,0.028698804824913843,-0.012890038778043972,0.0045524267303954395,0.03506696970271809,-0.03461889853404307,0.045146217686268295,0.07885745973237265
UTS2,,,,,,,,0.021813577290028988,,
BSG,0.014741997102241706,-0.009113848101412938,0.0034871237049851063,0.006721252498534132,0.045057733033917476,-0.0317675502673038,0.008831780235405203,-0.003951470346939761,0.011819665385699195,-0.03914066850400052
ADAMTS3,0.03873075044438438,-0.012569124673373771,,-0.0028783844043550125,-0.020762123545515213,0.05852574814360579,0.029286282620974335,0.008700567063391867,0.09752149519110569,0.03968061522688434
CD34,0.040051253961251164,-0.002941104955780124,0.05874131666275141,-0.0002018037227175961,0.08163814812086494,-0.06759207379694461,-0.023823885013027523,0.05931656393326282,0.03919831687152364,-0.010926911198912315
PLAT,-0.028999377714015215,0.03294919161969824,0.006952342214602336,-0.042987618559537547,0.07299926597187605,0.005808417129001085,-0.031087740997815697,0.030611478477933635,0.08675450033828411,0.08517338875830299
NTF3,,,,,,,0.0074549890027653986,-0.014881302785201033,0.09628421367804353,-0.007980182955776755
LTA,,-0.01927686463867541,,-0.01328782969912785,,0.03783547226160323,,,,
