,MGH258,UKF243,UKF260,UKF266,UKF296,UKF304,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.007237340188785355,,-0.024380931718030387,
BMP1,0.001315692570668962,0.027942671517469816,0.013849810218225938,0.04590896524506987,-0.012208774375703639,0.03422248632830409,-0.007631252706081903,0.0008088456706687644,-0.1124091320826057,0.07703033007002529,0.03983495195483278,0.0356370849858324,0.07686360491046156
NDP,0.10435765042919416,-0.009969866366822368,0.09810971605925227,-0.009093944333269322,0.03226974440738366,-0.0005692303873710557,0.11751830288763447,0.07411313340913339,0.0678553902897209,0.08746248000343679,0.03158502415984964,0.053707305958790336,0.07710121783661598
TNFSF18,0.00857338179727222,0.008361682030539198,,-0.0168286547208104,,,,,,0.10538715497470985,,-0.030395211556280142,-0.03337150005088472
RTN4,0.038037294852390255,-0.04118941745852522,0.08930873047353666,0.06621972179591104,0.08812983166528537,-0.0921215039493579,-0.10833597536112467,-0.03098002683232478,-0.06844039065070656,-0.1254966320900844,-0.05758129826181042,0.016986642595754657,-0.08332247386512441
HEBP1,-0.0038316214586739663,-0.007886805777827091,0.005537422306134114,-0.003749053199496051,0.018674805813043878,0.042947566654951586,0.07747252250272375,0.07583583047987051,-0.02450005721450125,0.040450129009289314,0.025981157690557817,0.02388259114464974,0.003987109600363035
WNT7B,-0.015439742256936576,0.03134657787225595,0.09852314037197665,0.09676941303939156,-0.014267905719443304,,-0.022224368015099243,-0.047355756686574886,-0.02063831712709838,-0.03946415574237367,-0.01976903509825717,0.007684279127647136,-0.03226826251375213
PTMA,0.021657770783524943,-0.08757835878190534,-0.0609894799586523,-0.03356002997543883,-0.015728574298389055,0.15894990588755514,0.008872465517496778,-0.08794856474079402,0.05367524388812719,-0.026278274736289915,-0.052697397048809304,-0.04482676961428975,0.021382029529474364
FASLG,-0.01543974662171216,,,,,,,,,,,0.019491015290614238,
CEACAM1,0.08537565436558664,,0.08760843337236325,,,,0.014786346320378004,-0.02653576614581456,-0.025394812244075287,0.14689223845401214,-0.013120996109637881,-0.015455342739601731,
PDAP1,-0.04521590512739294,0.04898554450526701,-0.047113022995229556,0.02113849719466155,0.04269941752259299,0.013281610810099728,0.08236311034338172,-0.03155276705713398,-0.05689239461421453,0.013337422624668728,0.015664493019012134,-0.01820655242549784,0.004408035076400033
QDPR,0.06024083219687603,0.06731327874038595,0.052812440585896264,-0.04244866570167403,0.01445000736981243,0.03921226478160962,0.0020904500636170532,0.054540103739558955,-0.004455197059953533,-0.11263465271650976,-0.01572493450544234,-0.0019481722120020717,-0.06950304516248966
