,UKF243,UKF251,UKF269,ZH1007nec,ZH1019T1,ZH881T1,ZH916T1
IGFL3,,,0.1583915787006349,,,,-0.018602405686000106
BMP1,0.02082726306013985,0.056718171273728586,0.06941213796931829,0.08496091067372605,0.06140486463731729,-0.02617880762686839,-0.02825531740683183
NDP,0.06197272105856326,-0.03691235208450316,-0.017037071976854896,0.027877350772575516,0.1293749295079381,0.016646213240389958,0.05030069961422815
TNFSF18,-0.01157977236265717,-0.02528979802809401,0.03095342540840386,,0.04217618374853039,,-0.03137893262352801
RTN4,-0.08344805799502229,-0.03572343693175294,-0.09576516928663543,0.0902335024100589,0.013863254445285843,-0.004151542346512876,-0.0641036579751208
HEBP1,0.00788961512384166,-0.005403107012992295,0.014714919295654444,-0.00866352777890992,0.02422455709806074,-0.004175310139241521,0.048784708155091054
WNT7B,-0.037291153713183894,-0.015709238582761135,0.0062461222046289715,-0.028075425114819582,,-0.022338906329593837,-0.03970526686230937
PTMA,-0.08839980373227546,0.003715477898989409,0.042379646108087865,-0.09634288030128535,-0.04098356458380553,0.017334883148267873,-0.1280923894779498
FASLG,,,,,,,-0.01613386010516549
CEACAM1,,-0.012055895765191327,0.10937696831780881,0.10955596600379129,-0.016422364391019396,-0.014826657021313402,-0.022447896703613832
PDAP1,0.054902947111415704,0.005493883498445552,0.05868962073356974,-0.0807733314707712,-0.030310212085157363,0.0743241595128304,0.0221817123367284
QDPR,0.016509262421815607,-0.00631947902292165,-0.02611219271829352,0.0628891454857915,-0.011676767678506268,0.008437408091367346,0.026068934126020613
POMC,0.05316765787599596,-0.021421403345818518,-0.010446300372580812,-0.06377704668416655,-0.012702377787610781,0.005962998037397333,-0.022564061903394633
CCL18,-0.0410714346218338,,,-0.04880089909109183,,-0.05105923650779948,
CCL17,,,,,,,0.0994231062966359
VEGFD,-0.007202576089267736,-0.017267651916911243,0.025756381110138744,-0.015217914774022883,0.09824360066183263,,
TNFSF13,,,,,,0.027380195419637588,0.01225080096167869
WNT5A,0.05976834861746673,0.034299164824075266,0.0484324750866793,0.013085541862784666,0.041706575281890944,0.027199295940697102,-0.009535032831769446
CXCL8,-0.041870769952556924,-0.016168405768625736,0.05064489540892238,-0.01557778878955652,-0.03915104270486901,-0.03225568541329148,0.0024055443706240826
GRN,-0.013567969907700924,-0.00010269109228850191,0.06158213013500428,-0.04980875676792832,-0.11354459206102496,-0.053280054524632435,-0.02756548650767973
MIA,-0.03741276307744389,0.0056706561296442,0.029827657502851917,0.163518049835577,-0.0511527933546961,-0.029651986177133934,0.04446178039174281
COL4A4,-0.009810366542821242,-0.025825297987401127,-0.01744234743746745,,0.0447363384229849,0.01911565424857622,0.050161318054465436
TAC1,-0.05834329050358798,0.02451147811082186,-0.07671267492358878,,,0.0032526881504113207,-0.01922411984505915
RARRES2,-0.01573254489865724,0.039126270997268287,0.05693681839519233,0.08335405352723095,0.11353034583698501,-0.06469501631116316,0.04158225902392401
FGF7,0.08672275496838275,-0.019489738114043084,0.022232764955205913,-0.030161619035659448,0.1468016850299057,0.02231275991187903,0.020121589279072833
HBEGF,0.04923866468774135,-0.018125544100865868,0.06131463671362112,0.08089564070915074,-0.12299229375696769,-0.02416723446837571,-0.07746363770062238
CSF3,0.08546449422469186,,0.06283759623656142,,,-0.021256038141621435,0.03776906560898591
PI3,-0.0551860881847863,,-0.020779073578427162,-0.004564978272467639,,-0.05433914311433582,0.06528779509710071
PCSK1N,0.010917192122663823,-0.006829072591511976,-0.05266487373432987,0.07772585203207913,0.09766388263255958,-0.043950094602659424,0.06850103512604948
NTS,,,0.04380432552791957,,,0.12998420518489912,0.050938555458597434
SFRP1,0.020963862489864305,-0.044441477584885064,-0.06020268002053828,-0.040857591396821685,-0.013131452581913129,0.01882070695883227,-0.022270044452646465
CXCL13,,0.014717483341103408,,,,-0.034673021502721384,
MICA,0.02592390447642439,0.004856868174328426,0.0751874025000373,0.03096911866493422,-0.049238854859118386,0.07288628246375913,0.0459612888655499
TG,0.03962801065272876,0.0038866209888971863,0.011763236490785572,0.10423005099056905,-0.01993006068849551,0.06673288136764921,-0.0027019872213514236
ADA,-0.013819174601569392,0.035106822470984185,0.05033104673328502,-0.025466731877834596,-0.017542268119834305,0.0029369281034373525,-0.06392366704059145
LAMC3,0.01802699487004956,-0.029152190383947296,0.09656074916487381,-0.08844969022908111,-0.0706616468571923,-0.038299525749573314,-0.07497342840884001
CCL7,,,,,,,-0.016133854368157414
NGF,-0.02683855800620178,,,,-0.09107073444242633,-0.03649197243122523,0.024082384816774053
TNFSF15,-0.03320264579713145,,,,-0.04871699365443969,0.07009493414570822,-0.012281919075494476
HMGB1,0.07859024696073161,-0.00799535849018836,0.12062149740656357,-0.08379262639647883,-0.06700816623898923,-0.05704073051650292,-0.02510096735240734
