,UKF243,UKF248,UKF259,UKF269,UKF275,UKF304,UKF334,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.010702180090359307,,,,,,-0.017359021921476425,,-0.0027128328623835076,
BMP1,0.05258980064591746,0.05382087173408973,0.017601703675518755,-0.0005097332121583244,0.045759676618572435,0.061310997997979205,-0.03186196025589887,0.044988804840603934,0.044093005983299884,0.10059965340954247,-0.0380854897554449,0.08067915013713031,0.0128167715284872
NDP,-0.037884055770915116,-0.04556011220174454,-0.07057366477231909,0.05104147304886291,-0.022142048651021512,0.023976663482511144,0.07138568601751036,0.02847018293543204,0.014448589163074255,0.01904424568359155,0.0380174320635502,0.04442074789135268,0.016165546293468534
TNFSF18,-0.019285637042543106,0.02945450718240259,,-0.015892416145932987,-0.011533387295684816,,,-0.027681451002858775,,0.058133552127309696,,0.10841960770164129,0.04951406824766202
IL36G,,,,,,,-0.01956199822613482,,,,,,
RTN4,0.006128315022254275,0.04016175789413825,-0.030107607206579245,-0.05446313899936811,0.020178951464499727,-0.05403407596424598,0.03972925913623741,0.1246249787418158,-0.055929178182296355,-0.10601598479841347,0.02638833094840861,-0.01836966077621751,0.02527392623261653
HEBP1,-0.024708919314558965,0.016833190573363688,-0.05514816846508149,0.011074491171375336,-0.02940272199079753,0.06673873415981141,-0.03172367116425921,-0.024779048565550344,0.047390833093883034,-0.013257040481529257,0.06702735892220245,0.04911590332102122,0.04298721760749307
WNT7B,0.05400534768363733,0.00497483472120375,-0.0227539941892686,-0.003242713321764064,0.004834372947952306,,0.04361656942019768,,0.0228691705962936,0.038893891818347286,0.017872178502552107,-0.01709278035827702,0.0515721343810835
PTMA,0.006716257942806238,-0.06534127967427722,-0.01817723063030961,-0.04059461298886786,0.02334974391007289,0.15683121214884085,-0.019685921815354824,-0.06330233179266308,-0.004661492489143355,-0.08399210108862432,-0.0852079682938296,0.08053093285175583,0.017364172113747828
FASLG,,,,,,,,,,,,-0.02668325919814402,
