,UKF243,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,0.08856277806408315,,,0.06144759019150722,
BMP1,-0.08773092186844207,-0.016678763094208595,0.0176176770660686,-0.02378613728619063,0.03951536129440057,-0.02398908344662968,0.09536268377657028
NDP,-0.04488148800000647,-0.027092065198724605,-0.03249354677852562,0.0011105649484469862,-0.02171869815903614,-0.00029067584288820254,0.025821729254418557
TNFSF18,0.1274664262891143,,-0.019900359282339342,,0.20279661171017352,0.0168543103963954,
RTN4,-0.03914768283419417,-0.027109994524223236,-0.07256616925640301,0.007133329996823249,-0.10816835895899873,0.09093904652066247,0.02590933731309706
HEBP1,0.018443857699422646,0.04394145758364792,0.0017590680524059096,-0.044076939532302024,0.013480340841330122,-0.02239543398429934,-0.06705480613438648
WNT7B,-0.04638284506113823,-0.029509532386593415,0.0075065645662441135,-0.020366673885378588,-0.012768281209069735,0.07752155728896229,0.05379702914782198
PTMA,0.08682504184358991,-0.004640997407820346,-0.03911942078843218,0.10301083281831537,0.09038565039285608,-0.04573849878980894,-0.12710476878039653
FASLG,,,,,,0.0062187882061728985,
CEACAM1,,-0.02646462130875333,0.06106783450443148,-0.01351765766452986,,-0.024129528112885244,
PDAP1,-0.05569480764064585,0.018435612469033913,0.016572772243598186,0.0936685540256188,0.0365931699168668,0.026802324710765574,-0.056905663556778535
QDPR,-0.07063836524116139,-0.05181569398806493,-0.0426383090918315,0.021293177514693225,-0.02970332286896315,0.02596303510091934,-0.008776425767938457
POMC,-0.03752276565783537,0.020813024984840632,0.0603243070802722,-0.02211311218353496,,0.024455240600375527,-0.057808266403835185
CCL18,-0.02665077667782368,-0.018763851628019836,,-0.038103764808842595,,,
CCL17,,,-0.025441601124563104,,,0.03616575671867131,
VEGFD,0.1710689424925389,,0.046945516679773765,,,,
TNFSF13,,,0.027319530359722687,-0.015179423569579693,,-0.02561283036085194,
WNT5A,0.006311364240466596,-0.08404785979908826,-0.018397227420557438,0.008869924303928875,0.11516997128568035,-0.027951264817207992,-0.049355169889610855
CXCL8,0.10580814104743438,-0.033036715032596975,0.01818476668355428,-0.01588713400893519,0.0735237436117783,0.048265647568143666,-0.04180366490330019
GRN,-0.02285884108261761,0.03530826378663748,-0.001557552715733599,0.011393323196119666,0.012169030445785095,-0.032943580881093656,-0.05257172059407506
MIA,0.024084094313504768,-0.00673836943014284,0.03000395771165845,-0.007788856838705626,,-0.013486833554574697,
COL4A4,0.049433560721858456,-0.02372337128464383,0.013568585112591163,-0.012796924449255726,,-0.026213534381636584,
TAC1,-0.037858283261279706,,,-0.02332181041532054,-0.039881396285368874,0.12299863195652695,0.04062948589404177
RARRES2,-0.09311868952631033,0.047397351365037386,0.019549087920366387,-0.016616192722675383,0.16092189298205356,0.10559247972563558,0.10303459553258935
FGF7,-0.029153975341374466,-0.06187943239325263,-0.006014652903285172,0.019718086995245656,0.038012255641782455,0.061834146475226615,-0.026463311292102314
HBEGF,-0.048156846207230646,-0.029121180105102954,-0.0808689215185041,-0.04513688793628236,0.09579854592608074,0.07940697930876915,-0.021243540270902864
CSF3,0.0074818143688751065,,,-0.019379408756106446,0.05502492832578888,-0.01654970265240052,
PI3,0.03167690414897314,,0.023748771638102007,-0.0063218977378071,,-0.03595700576396166,
PCSK1N,-0.04680083680328584,-0.0625291856912474,-0.002198147998370034,-0.01860846104573756,-0.03525205919940729,0.004902292792023661,0.1445276511278129
NTS,,,,-0.026147389891086135,,-0.024507852890602453,
SFRP1,-0.01915488078049451,-0.010973259560768821,-0.005945205602589166,-0.011015188085285347,-0.07988827473950898,0.044389929788083336,0.047627552006591536
CXCL13,,,,0.0532525964539464,,,
MICA,0.019334297415220636,-0.002447730751625412,0.06016098003037346,-0.0020042174538434992,-0.01934240837251957,0.0016440803006817978,-0.05740757062597811
TG,0.07560033235516679,0.05864899258913514,,-0.01594955120152648,,-0.03227507690184488,
ADA,-0.019665177141884982,0.022312715836686176,0.038973116291205166,0.01900110566211276,-0.06542517941220838,0.009512051928923732,0.06655893100793456
LAMC3,0.027542463616903597,0.04601971205011705,-0.03868445671467112,0.011066627869937779,0.05627560478088483,-0.04203815905380126,-0.05286582775090974
CCL7,,,,,,-0.017342484139415068,
NGF,-0.01741522842734741,-0.027884268177994196,,-0.03327020987398998,,0.012984786941041314,
TNFSF15,-0.021544811044458285,-0.002036724248155367,,-0.012034280134144542,,0.015464833862764558,
HMGB1,-0.05612299076232134,0.011410048610092642,0.0008999611502983343,0.027187335248057543,-0.0553741483684635,0.04703849563123396,-0.03039853182402968
ITGB3BP,-0.01926924439040735,-0.04766687796465489,0.06625311851860632,-0.049893652042995944,0.06450807207471676,0.03609351683058053,-0.02886855267326425
AANAT,0.04770863844031695,-0.019543338016348357,0.03666462844909274,,,0.07201868465291436,
RELN,-0.03002762011461956,,0.01072124441489252,-0.014536106219093087,-0.008424701150753113,,-0.04821930155627369
IL15,-0.01231338673938853,0.05749064976759104,-0.025631278647830907,0.03770099935071344,-0.036308662377938936,-0.07235664879261838,
BSG,0.04669223193555508,-0.04433853984309296,-0.03795906956104971,-0.05559157374532709,0.009487104766607753,0.03178963668862472,0.2089089369561885
ADAMTS3,-0.05712191969158615,0.0671285760723893,0.016289583048607614,-0.047954780463040414,-0.04174434089027396,0.06261116369096466,
CD34,-0.008366084273300012,0.05274947996365964,-0.008235531720543308,0.034849609465385976,0.04598935833702737,-0.0724195633271261,-0.01856373520862481
PLAT,-0.025603029029409675,-0.02030359398485766,0.00469437693739014,-0.0015032142010972828,0.05276631479104191,-0.011094719901163841,-0.03937442675133062
NTF3,,,,-0.06040369391281251,,,
LTA,,,,,,0.04300486268909291,
CKLF,-0.04266880739868852,0.01737713720864505,0.0352050272390537,0.015869088478371096,0.09657307985697153,-0.027406910369215786,0.04477026867060425
CD24,1.412527212747667e-05,-0.04891708099803824,0.020900923177209044,-0.015697749731292062,0.13862575609667147,0.09104619941115201,0.05501852102574511
HSP90AA1,0.07785020805843103,0.07179004504084976,-0.07003316731143837,0.027597894375372564,-0.03250466489431907,0.06840427819759022,0.08669834932830646
BMP4,-0.03769081430627705,-0.0020420687873263154,0.03616705209313796,-0.032085694754921866,,0.03075456845279447,
SCGB3A1,,,,-0.009637276927377614,,-0.010847529357925344,
IGFBP4,0.05420535759180437,-0.03545964383146264,0.00756411942643058,-0.03445030965400758,-0.004855332975757317,-0.014862507603230898,0.04095330093931687
RSPO4,0.005500974495446809,,,-0.016830646003687517,,0.021944598786222777,
LEFTY2,-0.03563490334096355,-0.02497472969026146,-0.023694314905260312,-0.006149432950521308,-0.056218717859245905,0.04386767665161773,
PF4,,,,,,0.02589543163685271,
ANGPTL2,0.05599305744141233,-0.08670904095915248,-0.02536383688212416,0.025853314592345047,0.017999012046355862,0.028111758724231054,0.014574663128204907
LRIG2,-0.06851119425175715,-0.033640813059406006,0.09032397274824532,0.020777741428756418,0.04869401104983883,0.10897089414902415,-0.06028111219076875
ICOSLG,-0.035170506767502364,-0.0604919121808455,0.021195453326007103,0.024071028258680523,0.07300886279525004,0.011986433968992329,0.0692766589880785
WIF1,-0.049509131412360664,,,-0.015645715708879966,-0.03694721005715223,,0.1277501060820319
NPPC,0.02578404490490795,0.03544629236113394,-0.029856273712927324,0.00035451360797430375,0.027626755246571197,,0.04985665149744557
LYZ,0.0884063777896015,-0.08255354620867601,-0.03295570153758448,0.012298795180435486,-0.045275709233702575,-0.018444117428365166,-0.07505732240221243
EREG,,,,-0.02096285336347065,,0.030479260140078884,
SPTAN1,-0.06432618813413232,0.011832716240731626,0.01387844630679703,0.031524929761814806,-0.0019205948123010774,-0.010120151597493238,0.11757193236507138
PTH2,,,,0.002595996255750345,,,
LIPC,0.055992273583501215,-0.0013349786124147633,-0.03664706991883662,,,-0.0043636279709286475,
COL8A1,-0.028063026257217693,-0.036119527287234506,0.04347947330676069,-0.036709953227001116,-0.05264811190572562,-0.02195548074087852,
GSTM2,0.008701295346233243,-0.0022476213426397963,0.03635355381705575,0.04137553741083368,0.03251765567076201,0.013799379146601277,
SPX,-0.032765164083838526,-0.003665668734549466,-0.017678934962700718,0.010302884423764671,0.06664528664632512,-0.027071675404326853,-0.0807075818390715
MFGE8,-0.04063291135364561,-0.06249789143598169,0.011708306689182971,0.00282592520442211,0.023858623257113094,-0.07285039954378607,0.08361883980219491
TGFA,-0.0028256641184588828,-0.03739706642326841,-0.02533686255734036,0.008514792034279326,-0.0007716237060254488,0.027685554719988334,-0.10289952000161486
SLIT2,-0.043114185007172,-0.02646458897362055,0.05166471408400967,0.012430428095059865,-0.08189165716734328,0.029700305631592462,0.13161618334805078
PLTP,-0.030241875915963064,-0.10080293029958799,0.056545839260914756,-0.05013143102689515,0.06551341318136403,-0.016678698676215513,-0.06755140219026237
APOD,0.02239771384014577,-0.007209021012458234,-0.011123581939136123,-0.01775586836902494,0.018462706172609252,-0.010724082387205342,-0.15584122009005108
B2M,0.0076739932146458354,-0.08046500286872481,-0.020577154541487317,0.004974604099940913,-0.013986558910324859,-0.06247143540476144,-0.23624869752680774
OMG,-0.011545321019102474,0.00506468215886585,0.06452013411124835,0.007893673071008548,-0.014118560275588903,-0.012246760746059078,0.009602786542238548
