,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.07685509002877557,,,,,,,,,,-0.02237272107378944,
BMP1,0.03549060088160735,0.02912255845846478,-0.028752160352816032,0.03622653930820736,0.1371547882793857,0.008818672025896184,-0.034131017394393594,-0.04355304367370718,0.020533594361130825,0.010472508460726334,0.031241308916989577,0.016464890748262018,-0.0649305945822126,0.0727181694906749,0.013070474537920014,0.07220674112203557
NDP,0.039567458480050235,-0.018158293815099372,0.07987568861015196,-0.043827294986366096,0.06861862844762452,0.06182596024582603,-0.006437710969437583,-0.009751321081649177,-0.054990146504062795,0.04521437630553491,0.024771267633482426,0.03226846803416632,0.07001376241208844,0.026456397555827404,0.009092776743327586,-0.03021017147509317
TNFSF18,0.09296662816808887,,,0.006499325901309056,-0.024952098560671206,0.023672782462649054,,,-0.025257711380729422,0.10751359041434143,,,,,0.06406796493056632,-0.0020873302092094914
RTN4,-0.004900817686133858,0.02400593266413808,0.07614552369998956,-0.002579978901486869,-0.09858732509369984,0.016028797498668174,0.02751927483649011,-0.06494668848618436,0.0345806431522595,-0.028801855158200038,-0.019500513136430305,-0.019604834001874544,-0.018377915740727717,-0.017537599231365723,-0.06453840100709281,-0.014414488902666082
HEBP1,0.034283782730058346,-0.02391344479375893,0.015639746856211875,0.025346988778030512,0.043080118742397935,0.04129542756836705,0.013903300296882878,-0.01721856009908784,-0.013177252076662888,0.0407415223768837,0.07450629391354487,-0.00043526295266507075,0.053581107756146655,-0.007790646686431559,0.026384003755726377,-0.04805624969469183
WNT7B,0.022342883214948817,-0.024950399184458325,-0.0015457877808398783,0.044850540477762005,-0.007274271532782195,-0.04110186655760528,-0.012626035525769243,-0.05450402726328872,0.027211782595833393,,-0.030467317817659323,-0.019067502707635738,-0.0588143582755779,-0.020366673885378588,-0.012516218866715282,0.07701300166619332
PTMA,-0.004935427847093897,-0.01929830654004617,-0.04728164588344155,0.006208827871028423,-0.10383455543520341,0.0065423396282177195,0.026677136484187944,0.014941730084634992,0.10539045611877172,0.08057774674075961,0.0160926675349213,0.05690028818602332,-0.023651001331459323,0.026476793203501055,-0.03743266746754646,-0.07376412587968091
FASLG,,,,,,,,,,,,,,,-0.019403853354733498,
CEACAM1,-0.027557967931559593,0.015733001267734085,-0.01389737099126239,,0.017482804631178517,0.0018783398961732057,,,,-0.03565900279063562,-0.02732357862451601,-0.01821211121809298,0.00019248890655498783,-0.01351765766452986,-0.026997612035799944,
PDAP1,-0.0026990105703506937,0.016001944753287672,-0.05214435606334524,0.004387686942408236,0.030820787091722094,0.032853722592593025,0.014763777783198956,0.04321242625702939,0.010419557424048133,0.04165195614702619,-0.028790640484525683,-0.04918581521457831,-0.014415417999022942,0.03013785099086314,0.07894636786691869,-0.036882491348331596
QDPR,0.0634540183871431,0.044729077948637536,0.025380679525236496,-0.013743313187110605,-0.1144321069028315,-0.016448126847251714,0.020602975167984896,0.02202885343230454,0.01651479329608969,0.1412686073001265,0.007512755962864507,-0.04058455450417411,0.06185489475454012,0.021180443343369,0.02710122779862058,0.04888991724420845
POMC,0.029124850036030138,-0.026829560451599503,0.03716529247409168,-0.03406170464348177,0.033620772051818446,0.05073904734763213,0.03130617525184231,-0.020109257906797517,0.08133073786204563,0.0308308502549034,0.049310998965683736,-0.04372852577893019,0.003026352850860555,0.010862292371047034,0.05491242816858774,0.05629930067133691
CCL18,0.008192308841936221,,,,,,,0.07907104450260326,,,-0.019372866487508578,-0.007538717539146941,0.03599216477910476,-0.01167645863155738,,
CCL17,,-0.01669895569328328,,,,-0.017883723927799054,0.07527134289495466,,,,,-0.01292061141827593,0.030269104008388524,,0.029531495360931616,
VEGFD,0.006092851733505976,-0.018604480703326952,-0.01329621772088578,,0.025413717493741494,-0.00485947487263947,-0.011462954775449412,0.18238528731900608,,-0.04847763286862195,,,0.028228230023025377,,,
TNFSF13,0.01530083478861092,-0.011518565903562625,,-0.015773595742335438,,,,,,,,0.028237751751202963,0.08318518734430358,0.03286868353001651,0.030724874154813033,0.08278003078632741
WNT5A,-0.01337812964245946,0.00042833916096108655,-0.03770491245569402,0.021125077661585546,0.0756929204885171,0.05707380593125074,-0.0269963927642851,0.053626045624299463,-0.022886741457195076,0.0468759656293808,0.0427824189582141,-0.011614965761582725,0.029547136088953745,0.06909078421779219,-0.013577805055603947,0.05624941359525774
CXCL8,0.013862524880325949,-0.03739513848918816,-0.021562286904483422,-0.022436916881371637,0.004801961559927292,-0.0037149675682059927,0.12143732734900506,0.03471706524029521,,0.053037989827849644,0.04654249039620828,-0.09204054721651263,-0.050919490394825635,0.013765355444618422,-0.0010135577861269522,0.007848712395794056
GRN,0.046213761639293825,-0.004235067864694628,-0.046120797431975724,-0.02547200288822488,0.0994185016418853,-0.010013939920662738,0.017794957684418748,-0.0038635962336896947,0.029996916384293706,-0.05371139749106826,0.00806139207954248,0.025798292961004825,-0.04252299369138213,0.039457400879323895,-0.016532328840046774,0.031236329266687967
MIA,0.027207305500454766,0.0010293227110089714,-0.03151715100508717,0.009967761825881357,-0.02150813450466384,0.021490011666688097,-0.013036696981276111,0.002120349292015403,0.19990480422284543,-0.04694420914094335,0.09454235696356247,0.0008222164710658486,0.02967541898705543,-0.033221379792582606,0.07713263352462682,-0.0018442068041551556
COL4A4,-0.006772505314937233,-0.006370527028996783,-0.06244678089753423,-0.015007879464812727,0.07548839919316254,0.08591368666597378,-0.008851216179645623,,,0.06326537374287801,0.004943818175784039,0.07909567562052006,-0.00023821923252059763,0.026225643235319073,0.03929561545466578,-0.039598022457909006
TAC1,0.020529681586796723,0.037050210006206855,0.06355428599460668,0.04349128402667152,-0.026726640880173014,0.008497914591380636,-0.030459160011615777,,,,,,,-0.02332181041532054,-0.02312044358361093,0.03801147660243957
RARRES2,0.007894265533698562,0.02411997469701727,-0.0832338594239115,0.02830192817080219,0.08747107534520349,0.0022357738800274068,0.04946418574738577,0.03714318611301933,-0.02626318185539283,-0.07346790755332833,-0.061367975194875905,-0.07286537559490668,0.009090266800466188,0.00649063620940575,0.02185575735871292,-0.013332939321879799
FGF7,,0.010440171868207612,0.07624312257918803,-0.043015106423993046,0.009548220425236864,-0.042563298870982647,-0.045461174457597966,0.07022441763044267,0.06794710770631426,0.06290464678114831,0.054302334054258716,0.10426766648409463,0.05536511012120391,0.03734799468416602,0.07577017769490854,-0.03604342310784553
EFNA2,,,,,,,,,,,,,0.020459938599759628,,,
