,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.028288008710702733,,,,,,,-0.028667307289882246,,,0.14541439078363033,,
BMP1,-0.042740293087175134,-0.06569366318547833,0.01283063809724228,-0.15595457768374393,-0.045258623501064014,-0.03671581396471009,-0.1406635683752084,-0.11723202976331733,0.01091795176632845,0.022816499518906675,0.024858644202514525,-0.02242710961594084,0.052954503113918215,0.05840620698820271,-0.0645787083471096,0.016696038614249446
NDP,-0.03414680974236452,0.04215708660950708,0.04365637329940067,0.008802891644494153,-0.02511130700387343,-0.01424153102952168,-0.0637334651265908,-0.029433827610126116,0.03113994406930873,0.002765598830624897,0.04952596741275171,-0.018086463411993783,-0.030575025279818452,0.051012806772762216,0.07473038081850182,-0.08877083238599331
TNFSF18,0.04325000984135357,,-0.03295087762598147,-0.0047286410930826115,-0.010647508906761256,,,,,,0.042043258122319425,,0.05331044053056201,-0.002312132671928593,-0.08483500348443421,
IL36G,,,,,,,,-0.023858987511354984,,,,,,,,
RTN4,0.012379857259434237,0.04889712940260934,0.07953310189671955,0.14872819960931957,0.0423216591566748,0.14274634975926376,0.2298698255436266,0.24908357395759975,0.06399912487274581,0.04246648270664073,-0.04649496985671435,-0.009831422175496549,-0.009462734584527807,0.023205050578669072,0.286910316989262,0.008649130037249063
HEBP1,0.03423607562821592,0.020093764688551008,-0.009616032510449088,0.0033657498115203274,0.0003045829332238366,-0.007140397777581356,-0.07347516923558024,0.002474250851607783,-0.031635865862627566,-0.036264852249196435,0.029899532877342302,0.0434353989635242,0.04314665520321197,0.02923670500639186,0.006878632734232536,-0.030956292780549413
WNT7B,0.022291975071366727,0.022522438040749493,-0.031606552960115324,0.029826957054979904,0.008469391113096721,0.1565803548588108,,0.05076964914644593,-0.039821369524054906,-0.03492188491242736,0.013809205679934504,-0.04191686557590962,0.05602955393338326,0.056055907449114456,-0.004554524156626928,0.12149504809208032
PTMA,0.0008082150924169621,-0.060480111936266276,-0.025081094047705487,-0.004711095008903249,0.06323239081710637,-0.07215849022442068,-0.37437916002962696,-0.2154782679883192,0.12408662788973085,0.03784961037387337,-0.01563393509404561,0.05933801986426404,-0.06340660462842429,0.011954416982434971,-0.11872131556147353,-0.11093690481423878
FASLG,,,,,,,,,,,,,,-0.015403991234860689,,
CEACAM1,0.002864757764334076,-0.017528505111941213,,-0.026933995926244975,-0.01674599491130014,,,,-0.028914553751836564,-0.03398501829355191,-0.018992306367644752,-0.004593718649856889,,-0.0024304055667025448,,
PDAP1,-0.046429670101773825,-0.028500009987532587,-0.01979900913373467,-0.1436636418246493,0.02547103347414223,-0.008809227239760728,-0.04520931139293567,-0.06878464431786656,0.0987872666391038,0.09691162733211854,-0.0012187382097756199,0.025539651815671867,0.031660601148909874,-0.019803490258486583,-0.011648377219439895,0.019621245645698778
QDPR,0.01965903109335299,0.08198392320598281,0.0383766438163455,0.07301605370773555,0.018878742370596124,0.05796552912575864,-0.28470128044249743,0.06689324347919219,0.015136475067406254,-0.0003471807424119679,-0.028123157149856432,0.018300133773598688,-0.027097235228594647,0.023403008322266813,0.20771694479933991,-0.017772503465709844
