,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,0.05985655868499059,,,,,,,,,-0.017996414671789994,,-0.02501855470909794
BMP1,0.08628844714218767,0.03354240672878029,0.036331350184420415,0.05345516696369276,-0.06714814597220094,0.03046597079031482,-0.003644992828310934,0.12676465297775102,0.03521853931866343,-0.0386106818233046,-0.004260075235215147,0.00988858442818396,0.0066960979730862685,0.07262714511622503,0.05345136169447679,0.10374511480546972,0.017008922524458226,0.01256302188082616,0.09921747401557214
NDP,0.018435694834702955,-0.02558795349403784,-0.0020345103002888994,0.008063869036146382,0.0339719805467477,0.02300068054397742,-0.028021146442607146,-0.0007851622348857848,-0.01627914588583491,-0.0064164197385971275,0.04124730101855988,0.014627762631029944,0.014902991577740993,-0.02598851515500873,0.01779988341003283,0.10140436938479157,0.022877124002809914,-0.06420132412016934,0.03047711572274223
TNFSF18,0.0003641905265592242,0.0576776323317768,0.018126251129031698,-0.0011706213720564667,,,,0.09670957337195876,-0.011533387418672351,,,,-0.02038532052225312,,,,-0.01855938479564374,,-0.03228421698904746
IL36G,,,,,,,,,,,,0.04634699323820365,,,,,,,
RTN4,-0.005201600881326452,0.06028590601020388,0.004406090573612871,-0.019894647079029038,0.024803152230334632,0.08885627493721238,0.061244247801960756,-0.1070246425849321,-0.067543671318288,0.03698018720820006,0.048103536399097584,-0.027831981795131435,0.013543976739128452,0.03185320361442727,-0.02180384179860454,0.006084184344472967,-0.009201233887115141,0.028108496829857204,-0.015417209984359602
HEBP1,0.04790585236926876,0.05144270704883328,0.05380725065459077,-0.0027442195733923306,0.08200530219897925,0.0004387410639537391,0.032206439423665106,0.09015653811014092,-0.04098781485508927,0.05452201905143113,-0.016590908546690798,-0.01744847040131314,0.052287386863274686,0.05244379633882178,0.0365647323715153,0.030530143025598273,-0.07828691630717427,-0.007805981193302946,0.029488612365835203
WNT7B,0.0298429088809115,0.01127185154623846,-0.027686175426292068,-0.02298345438584251,-0.01694614518030799,0.04503351527403183,-0.03951076306353176,-0.04093734147710253,-0.014938532001128131,0.08698434772959372,-0.035319417342297744,0.026652565174758388,,-0.03849384925277648,-0.03667111205668842,-0.04460009578450088,-0.025340338146074025,-0.010826545921005414,0.09453196016191055
PTMA,0.009614985655564368,0.03241885030465851,0.015438426802037747,0.01905350259698215,0.012610039805718804,0.0041178919888276155,-0.0601936308509569,-0.10568775331556021,-0.024109164557562852,0.030721723046348865,0.03892701856139474,0.04688788023002524,-0.026091820782129453,-0.0356278996722534,-0.0688222909475087,-0.05504997789989768,-0.058903831387572,0.09234074662997324,0.020952463311024936
FASLG,-0.019083067214060997,,,,,,,,,,,,,,,,,,0.07575087256205829
CEACAM1,-0.02649700583575891,,0.006609025942379542,-0.01763841887943653,,-0.013048144599223642,-0.0199252771897725,0.07833832981834064,0.027616158461798126,,,,0.03437707377242844,0.051947965546493995,-0.030441301744917666,0.015800872182648664,-0.02666789832534171,-0.022144392302052562,-0.015997402003470225
PDAP1,0.014124491382970138,-0.07158394003468108,-0.029448399508745914,0.03728253182444524,0.02316305533047098,-0.05528331215421536,0.04157452165423851,0.12830435607619983,0.0021093115584331136,0.06440364232859357,0.0816688283551994,0.014704989064301377,0.0458377335545613,0.124119244653671,-0.039065228509401376,0.023183080591948346,0.02915890310939205,-0.07287222513280132,0.025973661745677012
QDPR,-0.07280955428675145,-0.023351279540775982,-0.006247185016255155,-0.03930617510524933,-0.008454950779215058,0.015462434654973484,-0.06324832604148736,-0.1457339868171609,-0.04015512188913771,0.0016274563127962997,0.024771870441116634,-0.0001959556920148224,-0.01698299006399783,0.004595852111634916,0.013159787271632868,0.001314676268850945,-0.058218971795506634,0.0026830293638270583,0.015598307252236997
POMC,0.0012267059021371666,-0.03921877789289314,0.0386562176431559,0.01960650612853119,,-6.559695844475055e-05,0.03429702928326417,-0.017724410978922665,0.007240922341901442,-0.03111048945157417,0.02791129614874763,0.018527130380336192,-0.043669143210628196,-0.025850869207736445,0.004453269257167102,-0.04236795270625491,0.03267282690178014,-0.03622531679407841,0.048654031915066835
CCL18,,0.0585982457988598,-0.029457566995743468,,,,,,,,0.0835271780537842,,,-0.024476595105200904,-0.02239258436480507,0.024726053339091475,,0.003928873664788507,
CCL17,,,,,,-0.019226239264368845,,,-0.01438437959264254,-0.014316633960676813,,0.043006635449963825,,,0.02047727484109145,0.07607022466980501,0.06411810921801034,,0.02390467265586754
VEGFD,,-0.040604425387341686,0.019773808096225094,-0.025263496259993752,,0.011703152136647582,-0.019063377082671445,0.0009673605378943626,-0.015325339808395642,-0.010501424147303273,0.0629711097982996,0.0462601241168534,-0.04160521709547232,,,-0.021606669994513855,0.014216199346283164,,
TNFSF13,,,0.04164353139528242,,,0.0398841229539262,,,,,,,,,-0.030753045417527252,-0.008638827817251603,-0.025444389107582826,-0.02486666838189134,-0.03204627134443064
WNT5A,0.03719354982523329,0.09251124445701972,0.04783848345395451,0.05769177078518283,0.03578381125202645,0.02329617929451396,-0.04700547617821799,0.08462806397547776,0.00789155157345072,0.05015314266277494,0.03232543545186724,0.06258422153783641,-0.03527730117232926,0.09986844769185474,0.02191557884623217,0.019055110741557607,0.030743103695435908,-0.011777788719612143,0.048920027427197456
CXCL8,,0.07782611039698294,0.015701466637322872,0.03356934637737354,0.03400262400219693,0.06170086675374903,0.05234850125106827,0.0443582719976358,0.04231318042940695,-0.009779382783071094,0.019981734163878336,0.03613853480878471,-0.04065814725914505,0.09502492831688608,0.015994419816332307,0.0008211396857651777,-0.03368749894590739,0.0004586174843394965,-0.06495151445420354
GRN,-0.10003573057926371,0.06379645219847074,0.050335678308042746,0.0680032070868631,-0.04268689920245318,-0.032747623280484355,0.03505021401641775,0.10867757916121273,0.022907842522067224,0.039688722618438685,0.07028938869113796,0.03041674125710825,0.06273180015006075,0.029052605604697454,0.03892972445651362,0.021313939229487204,0.06524173447866621,-0.04179008316929623,0.06152709618289794
MIA,-0.0061180929153953865,-0.021008994896428542,0.09441388589036558,-0.022467586826014067,-0.020118443080841163,-0.028518874046481946,0.045800508525894214,0.13080760978488404,-0.028272688364599678,-0.011943158388224667,0.09923459571350644,-0.0005273440393731371,0.07093134657762848,-0.022571984241837897,0.18358075657328798,0.0037285131094381336,0.057980572477825516,0.05872324857557286,0.0863905584332341
COL4A4,-0.022100517093236884,0.1197205943489446,0.0029243498978103037,-0.001388998655133086,-0.019759717228972094,0.02008281223421569,-0.018062371691464362,0.0851109824533713,0.003364045448766764,0.03832335232790527,,0.010050224759730178,-0.03257770436852876,0.014382876664389324,0.033452200590166896,0.023564350705785126,-0.03654988472461941,-0.04462860429901684,-0.021956741400804964
TAC1,0.005354247068929929,0.04297150790064339,0.020231476926094904,-0.04522752872777881,-0.022298176425890846,-0.020072203117140246,-0.03864525543487692,-0.08487093941856393,-0.039783401226729104,-0.04495321038532316,,-0.048414074927819344,,,,,,0.0682001335518188,-0.02585470407409891
RARRES2,0.07207675347902853,-0.029230659178494947,0.01456349511445662,0.07454884828257981,0.022527174192669194,-0.045081542829592085,0.027541419770116125,0.09314031609137423,-0.016597922366612904,0.025747940214779885,0.009948981988710541,0.03283356495410971,-0.0019122480861214083,0.046073680001817344,0.04055213889161542,0.021381949910528112,-0.07021590809702065,0.0415311684324025,-0.040204241441639775
FGF7,0.08381801683708927,0.06828260455785937,,0.038724376941667346,0.04080989367911435,0.02665756900417849,-0.01586030683899897,0.15695715257723494,0.11342377364795157,0.05899678305595092,0.11609498364435998,0.003177027959335224,-0.006211610996409184,0.10105651494149213,-0.021157961705558694,-0.008507149230915006,0.01694708460143903,0.07199946858749526,-0.04236509310797581
EFNA2,,,,,,,,,,,,,,,,-0.02053569384494183,,,
HBEGF,-0.036157024511793034,0.11257495530641423,0.015020351325956813,0.0038422867686312896,0.05484127530043194,0.03303115734894725,0.08283116634211524,0.04485413022202848,0.0029614487948397394,0.005477842082181327,0.02951891946558151,-0.004598163408426776,0.0514630262493395,0.02608147892473047,0.006267938966838432,-0.03912513623536021,-0.019336555870511356,-0.002638700289038346,0.054372322101645054
CSF3,,0.060057266984429675,,,-0.03096497967038709,0.04160960232650132,0.09419155974403635,-0.013100304491841273,,,-0.027610771916850838,,,,0.027786863414387034,0.057612151008787985,,-0.02014494766616274,-0.020706663589944208
PI3,,0.14152518450607407,0.07234859845046053,,-0.06471283814487722,0.03601068085245852,0.06866640131545601,-0.03108739375172398,,,,,,,-0.04031823631286888,0.04632070468203133,-0.020160154412004413,0.07497775824446203,-0.044988700866359234
PCSK1N,0.0006784083045461311,-0.10176877655273973,0.021854588707639806,-0.058066427662913436,-0.02708107731581544,-0.010770868144389668,-0.026441796222121457,-0.012962597528615762,0.04224099484529649,-0.06377783768329616,0.014431301119138106,-0.03588873731540653,0.04848819776678469,-0.024768940752962373,0.0027961906412415634,-0.06789763411198563,0.023580474664351266,0.04660957008097492,-0.007408670783365681
NTS,,,,,,,-0.007397644386040759,-0.033934012953285055,-0.017156019197470063,-0.008458296808035068,,,,,-0.05038269010131735,-0.025018846026486925,,-0.004779396557851767,0.01181865319410852
SFRP1,-0.027766329724145087,0.08815778016040911,0.0166369235076914,0.000371023042576718,,0.05525608872961009,-0.021748011916155403,0.021253828359733374,-0.031855128437176146,-0.014316634104857076,-0.01915460581243335,-0.026602138541571684,0.005296847445158866,0.02297954653783218,0.0447305992291453,0.02451575704879049,0.04447754934497854,-0.0007273154012576482,0.028156815541919948
CXCL13,,,,-0.025740726986322363,0.047858552223147346,,0.04565557441484623,,,,0.003500467961371092,,,,-0.048510459330944396,-0.018268006631645926,,0.026185122652353916,
MICA,0.00017499300209529304,0.09009191329842366,0.08473857229860703,-0.028853491545373942,0.052108173106896236,-0.026269987429984307,0.03100976923957151,0.07732869936689289,0.00292453964718793,-0.021062454581649664,0.007254519834984713,-0.00383100147203781,0.0717360842714342,0.022397566506646337,0.03872514941539335,0.008086210967147919,-0.036428191635018516,0.035797953253029695,0.09805558510847287
TG,-0.022100512112800265,0.04119537762396709,0.06260636827569989,-0.023984695811461117,,-0.027447355754302443,-0.003420971368999166,0.014982658785163297,0.004584590872101161,-0.010360885825624682,-0.028485126832346636,-0.01156614828878105,0.029155838238869664,-0.02189307152407921,0.0025871688066888155,-0.030813443852451102,,-0.02612827810953149,0.043980764149447155
ADA,-0.007806861134019757,-0.021334902425645046,0.05088022912454114,0.041186613404957405,-0.03141400814757026,0.0016258241472999271,0.03190602954262665,0.0971430434106008,-0.023398951762525728,-0.01682691180380716,0.04487687696191323,0.044942683137315476,0.05449570728758525,0.0051912785822643215,0.04226456212026499,0.035226522259520214,-0.03751704472672865,0.025670894654796023,0.14623715046888996
