,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.012843346583770099,,,,,,,,-0.01731273191245104,,-0.017974686852321554,,
BMP1,0.06293332987815473,-0.0235488965875071,-0.048084611508894336,0.04501042218674494,0.08758477833845904,-0.06291347976398803,0.037502639983738185,-0.052108025227519714,-0.07940204373989385,-0.006924389732114408,0.05773201227060063,0.052249355687712024,-0.027459586750760285,0.07066965097610768,-0.01538542578600572,-0.06680167166307142,-0.08436340505615188,-0.052320918819918974
NDP,0.06070086349891928,-0.01199536473908443,-0.016987997152309302,0.04550861093678399,-0.003308690837260947,-0.00743678931302498,0.008853937922057731,-0.025449481138698753,-0.024982988118999266,0.13151264986260675,-0.09946873055062466,0.09273269753973913,0.08116961835929917,-0.08495421110465451,-0.06932469926680815,0.03539718593607622,-0.019333053277428312,-0.011350435159256858
TNFSF18,-0.02944834075286734,,,,-0.02072728549793335,-0.019071984109068425,-0.01433915972666538,,,0.1332415530707775,,,,-0.017854314833646853,,0.027323319354852892,-0.03441678422026,
IL36G,,,,,,,,,-0.018081041873416387,,,,,,,,,
RTN4,-0.015792495185910978,-0.03604449878944454,-0.028747349786731255,-0.03330119428489183,-0.07769909459843809,0.10161553688940975,0.04961089098946758,0.10468870400883197,0.0428233887636093,-0.05045769179503555,0.04574625407016377,0.02946624409030437,-0.010604760682214403,-0.04433010869320011,0.010083569375420586,-0.018592094649089216,0.061324702012789264,-0.04544230895368935
HEBP1,-0.04266499036048626,-0.003125474462450886,0.04066056664502807,0.03869788293513102,0.005553399085232125,0.009173742760867513,0.08072355495271792,-0.06753066286771774,-0.02227161533346086,-0.030589799942006005,0.061602787637957096,0.0299776434502113,0.05223482563775536,0.006002822101103534,-0.051554116851765086,-0.005998493651783884,-0.005117523233182101,-0.017095444536785572
WNT7B,-0.017262950138910188,-0.024004805985963436,-0.015051518794217095,0.048442695571132365,0.07069355206519393,0.03276778369463709,-0.0007393322358572502,,0.030969673180418777,,-0.012217528347540313,0.06932830817295094,0.0018609190469386812,-0.03733481669364244,-0.023395452990638024,-0.0011866750719176195,0.04002678374612213,-0.04192617377630584
PTMA,0.0072560830529174005,0.028397738203747972,0.0291932506273512,-0.05323176026626076,0.09221091423866891,-0.02646693025392168,0.014735069145214814,-0.11029264904405453,-0.09256793461293694,0.060844432525039835,-0.016165923598131283,-0.08997763413464512,0.01393785154656211,0.02805956222802574,0.027550245170581286,-0.04169847198814641,-0.07055593669921953,-0.10812282990833542
FASLG,,,,,,,,,,,,,,,,-0.015589439774865453,,
CEACAM1,-0.018743061836894732,,-0.03032900719869628,0.02364038992414196,,-0.025097644828541717,-0.022552082174129753,,,-0.03363199907213383,0.06326364044768053,-0.01607684075975617,0.006524182243167345,-0.025654786400252535,-0.015527902406346578,0.11461776160183614,,
PDAP1,-0.024696007085228587,0.04789458055203388,-0.024832383110291935,0.02202913120341627,0.022355852609680853,-0.07047059046086045,0.027917831928287194,-0.014567148930197896,-0.04308373154368138,0.08114294186588879,0.013280730291725577,-0.02599502476501571,-0.0020804719163533404,0.033328252102399036,-0.007199721096802443,0.02149135053888627,-0.03844221509196209,0.008009594627000823
