,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.02038194495787128,,,,,,,,,,,-0.0029846602387476554,,-0.025623657966861946,
BMP1,0.05026734353548537,0.04745902505417342,-0.004955603489483142,0.030538988604421762,-0.027492357970160922,-0.05787047029259302,0.052013563588544004,0.1386473814506941,-0.04086518946857602,0.014894809294703359,-0.09886975652385119,0.021706165013397068,-0.01937768614378753,0.051603763248172826,0.06298860568163225,0.0825663862232719,0.043943432374080785,0.01240077427947579,-0.004147139083770617,-0.02644935452693065,0.12721368374700223,0.03160312364364485
NDP,0.0037821933642514832,0.03827403896321325,-0.04134345223608723,-0.05607115634183989,-0.02941688445007658,-0.05035543542824362,-0.04029511475843874,-0.005745459669457938,-0.021003721368858374,-0.01846882455038002,-0.07831653181063707,0.05431227164412583,0.012100926878407532,0.0005424812557168386,-0.012775010133043052,-0.03786551782834733,0.04670987557899139,0.09871935781359166,0.02275994320229675,-0.0022609610810577522,0.030388184181246437,-0.004940738111180983
TNFSF18,-0.0218121036268854,-0.030876046803322104,-0.02201353752373673,,,,0.025820495644667815,-0.008335494852643283,-0.0009347194475043063,,,,,-0.025257707605219323,,,,,-0.024960639067589302,,0.05691200594233932,0.04255295853509521
IL36G,,,,,,,,,,,,,0.029774104040268666,,,,,,,,,
RTN4,-0.056446584770138225,0.0011407965089707713,-0.002141089760510712,-0.03585563490994383,-0.029212265248772247,0.052772624111603605,0.059222297829819366,-0.17373585451544837,0.03193227428893409,0.024156082037546937,0.09324952893596695,-0.022507651504555484,0.03962710797746162,-0.09350473071555379,-0.01828689258385997,-0.053801249835467475,0.04266807671304453,0.04710608318389169,-0.03099120274539788,0.14163900431285004,-0.006498753431553426,0.015515181469352372
HEBP1,-0.0450082425523831,-0.056158234039938346,-0.02352037885889197,0.03597608197615756,0.013924197994468847,-0.0026199692551097283,-0.00915282675192615,0.09363242194155473,-0.0015498477821144978,0.015533054539202128,-0.07657173705835355,0.027638874835879845,0.07341244527335586,0.015261974332682669,0.08791086865233864,0.03819819361964853,0.027228819215190485,0.08145019094618917,-0.044904996009654696,0.04118146193008871,-0.0005485347511388715,0.008537751178612876
WNT7B,0.04830877165782901,0.046082799575390056,-0.027512548319669143,-0.028305647665778588,0.011869194662386137,0.018694046277584416,0.03947943766798127,-0.05931897915790979,0.010987592382880888,-0.01666802310824527,,-0.020632042977108998,0.06377697583672969,-0.02780627078444345,-0.07341016376772383,-0.033189166534876496,0.03828877109715245,0.03958976761128192,0.012968825913824042,0.01941049271510111,-0.003254959430879194,-0.050889621333371604
PTMA,-0.02245416798088656,-0.019577116696810285,0.05517020881728612,0.022169221936866875,-0.01159143484086318,-0.0022451927280697508,-0.01855205686357634,-0.03565291662184139,-0.004093304864652228,-0.07007893599931533,-0.13681220889746,0.016903129203329884,-0.030625379045777827,0.015640659989733918,-0.08936543312418849,-0.06779478942236596,-0.08390127727626158,0.016093173103618307,-0.004520009185796737,0.04446167377895703,0.0815296610506162,-0.0967636187588986
FASLG,,,,,,,,,,,,,,,,,,,,,0.01787836199917119,
