,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.036186983916460566,,,,,,,,,-0.015471719509742079,,
BMP1,0.017223472220752184,-0.005477424087637206,-0.00348031788950137,0.04902134169478809,-0.04144561344540421,-0.046271726015834166,-0.18404113497547553,-0.03442711206201815,0.020806509578955298,-0.08290297614544166,-0.12228077970703088,-0.03602536845833642,-0.004873417345578398,0.04689188906553941,-0.04261649283091487,-0.04662840161420537,0.025202118202762237,0.014613921989438769
NDP,0.006179489435721314,0.02509970295651243,0.05994835074357642,-0.011964513536360768,0.07034796062621383,-0.010811480232171922,0.008214123680245327,0.0727034187985272,0.01041117127624618,-0.020997474353578335,-0.06209884174082969,-0.00969620215854772,0.012264866547871634,0.03420183091015776,-0.078480390818606,0.07766076038783433,-0.05139763415673758,-0.026351727099185616
TNFSF18,0.040124684886551,-0.02941955486070111,-0.006645045729509585,,,-0.0016094544272839612,-0.023774674509468154,-0.022154135240091043,,,,,,,0.07749912629874706,-0.026098024753416167,-0.040238799750323746,
IL36G,,,,,,,,,,,-0.028196070050482084,,,,,,,
RTN4,-0.02268792505730688,0.12651684470072957,0.048704325928621936,0.07870699199241868,0.12783931944189147,0.1572535204061995,0.26056591050906386,0.0686689892360602,0.10940104870009039,0.2626103558329907,0.17263621644133198,0.03773281586720384,-0.00024177455942542086,0.01855718320710023,0.042770679416520394,-0.004762874852766648,0.08753305458911112,-0.029089477761917504
HEBP1,-0.04748881573875834,-0.020237904557835203,0.03523248648334029,-0.03643038731370805,-0.041653625911978236,-0.027005231385168443,-0.025733833713450085,0.02188721231030155,-0.0191090796985235,-0.09935622621615792,-0.020200564239281068,0.0454844440243316,0.05995631702430863,-0.009190681996360266,0.08400925147130259,0.03770562129022878,0.009562387800746874,-0.05862258889866793
WNT7B,-0.019736372663612257,0.23824989231670643,-0.008883408409399385,0.10038608614343882,0.0017495993451390264,0.03708899926931413,0.2687289905966814,0.01037909117385573,0.012703971459595727,,-0.03099073034005241,0.07353484640060601,0.01730931288633803,-0.02313555488152776,0.017637042933340976,0.02100939698738261,0.08773012848245329,0.16056073669552176
PTMA,-0.024069443487743345,-0.12584720480795086,0.03173408720635824,-0.020676903591119063,-0.12749182913449542,-0.10601022034230494,0.05799509866344611,0.006978955432606832,-0.09196696088452978,-0.3209953147339467,-0.14519133840095494,-0.03816450944424937,0.00014875117934819336,-0.05127366871984682,0.022581563072169145,-0.002867634921468679,-0.06755747722151235,-0.1134181897619804
FASLG,0.09991416751853012,,,,,,,,,,,,,,,0.047779047749168344,,
CEACAM1,-0.027404133917062055,,0.06328274412946128,0.006275574669974675,0.02023921558359787,,-0.047640458455807805,0.024613945741021614,,,,0.008694989517132934,-0.016687429845197072,-0.015355404251449845,,-0.01867003479250834,,
PDAP1,-0.057975399896222864,-0.03749541485802647,0.049934145015010194,-0.030985252415989012,-0.03370649423208323,-0.11283016359263644,-0.13464806238997934,-0.04442748091300468,0.03827514829042902,0.027493240957127286,-0.09353704063309898,-0.04002428292731051,-0.042591679149112674,-0.03480026739102769,-0.029826366246874694,-0.009550272049100155,0.02789929751061103,-0.014526423477352873
