,UKF243,UKF251,UKF259,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.13020188310913572,
BMP1,-0.011338715848067425,-0.022218238410892682,0.02438910800318197,-0.008576619007467744,-0.0055186271719916075,-0.0754079011064679,-0.10570627756695407,0.02653574119581155,-0.0008223525336580736,0.04955124857917253
NDP,0.11931248199713156,-0.004327622016016284,-0.03511795988658694,-0.007299539355742649,-0.023663561721949933,0.04747177247002557,-0.05762690763085775,0.057347455090850034,0.10911057578747652,0.14734618520782844
TNFSF18,-0.024816101366923946,0.038457316453213715,,,,-0.02488530984369066,,,-0.019774194086026528,-0.024774836624999373
RTN4,-0.018131098040037555,0.055792268844564626,0.017770064727002616,-0.008174932033778861,0.03562262501776571,0.15586617064957822,-0.14697630804220976,0.00402037047863952,0.055913505217536345,-0.025160919561362936
HEBP1,-0.034316148063055496,0.0028785800649036024,-0.026057819042328238,-0.006344066558204613,-0.0029751677450331085,0.036809768931769064,-0.014149286613962522,0.012548892471236238,0.11602020731093719,0.006254010511523316
WNT7B,-0.015260983623483004,0.021436723350535994,0.01132449206950729,-0.012479995573460497,-0.025094445315503724,0.028968538069176375,-0.03642078838220827,-0.03570515578383074,-0.08380442243862034,0.10113494046226819
PTMA,-0.035564978400690006,-0.011031626611602818,0.03920155177760482,0.005503990145448712,0.050552378526353324,0.026148257684014457,0.0022812777725482935,-0.008974931992027138,-0.05256720044651766,-0.024241008551615737
FASLG,,,,,,,,,-0.021143368039741463,
CEACAM1,,-0.012898470378099098,-0.02846148830671319,,,,-0.01606513282620715,-0.017297485679213142,0.10328302884546185,
PDAP1,0.017047043138884003,0.044336901435851596,0.0629174522069284,-0.0013719674028417831,0.01227160151883255,0.03348625582451292,-0.08929725496519873,-0.029862932483794805,0.029428209912135846,-0.0401141849850289
QDPR,-0.014736404320658007,0.022323727980839345,0.04078010652144275,-0.0650897123000796,0.05291197960390724,0.057649934035551055,-0.07397698038678763,0.006230441340506194,0.07505677584206583,0.022598755485659934
POMC,-0.04685694085768007,0.07813914692319748,-0.026504492694077758,-0.015216946181180259,-0.024535743435409256,-0.014297280526721584,0.023533343803049035,0.03514147254137178,0.009719339339792483,0.13713071582276426
CCL18,-0.033280432417786325,,,,0.013463929420960138,,0.05346253273193604,-0.000830237510094179,,
CCL17,,,-0.016496630646253042,0.02169567416756872,,,,-0.024970006504302884,-0.0019541651810673043,
VEGFD,0.07641789453104789,-0.018474471004691132,-0.018379068258236878,-0.011330367680687379,0.07582565017444598,,-0.0403643246378202,-0.017297485679213142,,
TNFSF13,,,-0.011379006614289429,,,,,-0.027141543372815328,-0.024697844186185983,-0.04120522681125423
WNT5A,-0.014112699998152544,0.017483106537342582,-0.03159257551831978,0.02014865769106729,-0.029674674021839556,-0.07122533539928992,-0.07553705624709336,0.013757029542453721,-0.010082090663864968,-0.08629414259394225
CXCL8,-0.06593217397666253,-0.017298399631974253,0.010642066155035998,-0.010551331045021485,0.03711834042493077,,0.05508338862774094,-0.036780351192530744,0.016108135937574736,-0.09723359992365539
GRN,-0.08114374384946024,0.07149982347843696,-0.02140987990844954,0.006576008500883733,-0.003550582828996357,0.07139382616889534,-0.0344745994965409,0.06388178974039897,-0.10447535970900418,-0.044472824284330595
MIA,0.1119694079542504,-0.01642990253965268,0.06267737125291156,-0.012885907083566463,0.049925834964369836,-0.013572970321703563,-0.0550265495960037,0.01784480095042808,0.08007796918584857,0.028894976299375173
COL4A4,0.023611063214978384,0.02322147157307037,-0.006034595980619591,-0.021647299118196302,,,,-0.027695979188473042,-0.021792048424719903,0.001596039325284439
TAC1,-0.04727592192759007,0.007478026337047508,0.01140874313259504,-0.01832551102283657,,,,,-0.04057563108926796,0.033708459618711925
RARRES2,0.0006051437159122834,-0.0017146176135250035,0.0031753642838698443,0.0396107383769974,-0.042779413459304506,-0.014685320680060253,0.012624592085916467,-0.01303165038816978,0.06116847477237993,-0.04182786257208373
FGF7,0.037348818876060376,0.04158446606962617,-0.008821345957965415,-0.008973724612811804,-0.014221217184489326,-0.06113897069299465,0.07885472094950906,-0.041617442067084745,0.04844474584628844,0.12972426290572336
EFNA2,,,,,,,,0.0327634040875956,,
HBEGF,-0.07766406331490362,-0.023395527794183035,0.036318654806233655,-0.02909747058919969,0.01544782257019102,0.01358122030706583,-0.06709447393571064,0.044868716551857486,-0.05113937945921316,-0.05364159638479769
CSF3,-0.037747566735198704,,0.053616446968667644,,-0.024904572985756147,,,-0.04705107679961401,0.008547234732901981,-0.04844257113311927
PI3,-0.03082497020564969,,-0.017348404838395958,,,,-0.019927368150038333,-0.08347496291659656,-0.036970369707539114,-0.08188573497763507
PCSK1N,-0.04164511168597264,-0.022589695602164134,-0.042720023075235564,-0.025568837548901636,0.00949290761945505,-0.07364542542778468,-0.0997836546564093,0.05270517337072555,0.11647974476092902,0.06939208056053521
NTS,,,,0.01925704807966563,,,,0.0009367954182428656,0.16387462939771144,
SFRP1,-0.04793153108697927,0.04911341640455806,-0.014393947892861223,0.0034349533229912034,0.021179557399224908,0.05211700087571053,0.028965423470188916,-0.0354939429060518,-0.027823376374523506,-0.006024539981268427
CXCL13,,-0.031189607975488157,,,-0.02962029437955783,,,-0.042239309998763276,,0.03876471085013381
MICA,0.03415977302567904,0.021005892402967297,0.015047207821101955,0.07172746610285986,0.01651480922637511,-0.07477635890979453,0.041598466197172355,0.06640643027703826,0.012003676292312526,0.017738460618777718
