,UKF260,UKF269,UKF275,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,-0.014860837021574104,,,,,-0.017771223288830695,-0.01901018524017617
BMP1,0.0238294836200686,0.01455944394847321,-0.032256536889434244,0.08540555254994983,0.08893885627565588,-0.012665882034076436,0.06520610218164677,-0.029105579070333336
NDP,0.004809050053395113,-0.007806226284591336,-0.01646952657522345,0.007131827776105171,0.06565236037612014,0.038663224637329796,0.05185309644514296,0.08596543343165611
TNFSF18,,0.01220398092854898,-0.010647509681371023,,,,-0.018327148897259147,-0.005762267326351602
RTN4,0.01932795517238844,0.013057117155925063,0.010802608206407128,-0.043711988206687216,0.01837107164471836,-0.040247407938835716,-0.04042917719540501,0.03193985212688001
HEBP1,-0.04823808664808355,0.02884531335297005,0.03364903293897005,0.019982069727424827,0.02198574293286078,0.011175649962559578,-0.0033917093141688317,0.03173940143986812
WNT7B,-0.07679124007313202,0.03005389499037569,-0.010944221178664549,-0.01340304671869918,-0.03847817950323512,0.010976028839290787,0.05538028627856537,0.00695409227478438
PTMA,0.023582303171550315,0.07812735517105825,0.01945024248461936,-0.0906954826806878,0.032604034910599156,-0.014664211145614107,-0.02629863234988346,-0.02902808307546967
FASLG,,,,,,,,0.033843874260519
CEACAM1,-0.01620797514531824,-0.01613329594383111,-0.016745996129576765,0.061050456567298746,0.017619749524299223,-0.01788812530271244,0.12580388481059582,-0.022939972484805882
PDAP1,-0.039782829003226314,-0.01641722787775113,-0.03696821728732389,-0.012645794720712913,-0.027843597321144366,-0.01723936932077496,0.004730239232711025,-0.06085491566605665
QDPR,-0.018225326407506424,0.06415716954645889,-0.009380367525579443,-0.10171103054720906,-0.029627200996625167,0.08108907759684351,-0.007286911592009764,0.039704988514764755
POMC,-0.032614278726862005,0.029022437608270838,-0.012354528249030876,0.10835343250330078,0.08333058340129929,0.06843150343230754,-0.004882019196251181,-0.02703615228287325
CCL18,,,,-0.02192263062549804,0.06460970598370154,0.04843851630448411,,
CCL17,,,0.02827871433564124,,-0.015296643268464643,-0.025822631880845315,0.20926835946889352,0.09346382725151535
VEGFD,-0.015506872953334102,-0.024895888338005247,0.0649557376773305,,,0.07104698668525082,-0.0033787617261594985,
TNFSF13,,,,,0.029691562958427873,0.06158293590781066,-0.025126000290910753,0.04504036643135299
WNT5A,-0.036324874055803216,0.002513240475119413,0.04431962211007157,0.0005302767171056844,0.023567543538962198,0.012489449844336217,0.10025010227745604,0.004658864623005916
CXCL8,0.0701719713338831,0.0756084148172433,-0.016997400127393033,-0.038598242786035755,-0.037861077232748126,-0.12905778607313442,-0.033265963066988105,0.030036978387894313
GRN,-0.037339459914642305,0.00046700801625988405,0.024261166053539417,0.09321501217234997,0.046361279684988196,0.020103721368466165,-0.005609093994909885,-0.023673943413794862
MIA,-0.009922711577672045,-0.04245135250851622,-0.00504558789163718,0.014342435982013024,0.08945317122244645,0.08710328402551329,0.005278619315717876,0.007636273063731474
COL4A4,0.04498312900712199,-0.014644251836649642,-0.013864227203243833,-0.027717054908287925,0.0823877874489769,0.00021620022429246407,0.06463353733199152,0.02850054379541374
TAC1,-0.06225699067222415,0.04860680469129634,-0.012877881052077229,,,,,-0.019645527868954956
RARRES2,0.056809350223757056,-0.03746154702385371,0.01767660407029922,-0.04635045515157243,-0.017053499657487724,-0.0652834862377856,-0.03201093786043847,0.028421387483703143
FGF7,-0.029691151873204487,-0.04173388802539149,0.006395031400060115,0.026632023853200553,0.04482658382579335,0.04921692254506183,0.05060618736365936,0.030609020445315115
EFNA2,,,,,,-0.017001465971837985,,
HBEGF,0.02468826481401597,0.02488105560882551,-0.012500201871971761,0.17173730435493795,-0.0009612734463057171,0.009820062787530339,-0.08772309915852101,-0.023478686336626985
CSF3,0.07485686276758853,-0.015493336576328903,,,-0.05582557710133055,-0.04402917371244679,,0.03671233847339967
PI3,0.004809126961168635,-0.017445701474855045,,,-0.02280805542629109,-0.08731703008797471,-0.019907887883614802,-0.03418437024555043
PCSK1N,0.005771456683455608,0.013355537570644546,0.0031642258634640547,-0.004472003829045473,-0.031946354135185394,-0.025357669773925007,-0.018407463694654343,0.08509821485090187
NTS,-0.051946131661186314,-0.01904317436691023,0.052203477888516946,,0.06541070117709988,0.05831455392088828,,-0.005691920421071912
SFRP1,-0.017690656608685115,0.0723775082963698,0.04987232393455018,0.018435734882340557,0.00822057468208679,0.03118461152835753,0.02880064957166209,-0.02275822157079284
CXCL13,-0.01753166661921202,,,,-0.021838052369020672,0.021601443641951625,,
MICA,-0.0018543625749824688,-0.012295078612771133,-0.003294183060496969,0.06557016939479798,0.04489495960682304,0.05840600219933264,0.0235530537012294,0.03300268278094776
TG,0.006280086227262537,-0.018699071090173776,0.027053413881567488,-0.035695168122354244,-0.02032541452379021,0.007377572957927337,,-0.03068395588216851
ADA,-0.044806518855139026,-0.009005189865258738,-0.020753128692019212,0.037755441623237365,0.06295907074204964,0.01937380590838636,0.05321489376631103,-0.03282857120971195
LAMC3,-0.048408054785397475,-0.002724004267202083,0.059095491694277955,0.08709197783471186,0.0690426276065129,0.04868329379795319,0.05428544789515771,0.019268580662273722
CCL7,-0.023243753116184002,,,,-0.02292614237364273,,,-0.01648752131061852
NGF,0.019871648766010355,,,-0.010606942092338131,-0.009724585056654016,0.006939450269963547,,0.05015820203832195
