,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.059349901767142235,,,,,,,0.03234218655536879,,,-0.016880317022859918,,
BMP1,0.061528113549093585,0.023327998692764806,0.021520185785448693,0.026909494708161525,-0.040452921545311604,-0.04324629167716727,-0.0879323390210653,-0.3471473249708043,-0.11627976101163309,0.03312887353558425,-0.149031300640768,-0.2648989523755166,0.01449484354896601,-0.03289268226735988,0.0023254170487291064,-0.06483900706683335,0.00396878986571571,0.038779222755100956,-0.11200671655976648,0.07869270036194996
NDP,0.10420537983533149,-0.05405643282542662,0.1073952921033908,0.02733894181183952,-0.04007166635743422,0.11617019732597926,0.02662086351460992,-0.07836092421036894,0.07512292068475061,0.029951188582317503,-0.13088014974304527,-0.04601789133575396,-0.02473803788536445,0.08295080341326402,0.011733221940424192,0.18510174426629566,-0.02380472101088324,0.01141967409776357,0.052897566247391455,0.023651025142124398
TNFSF18,0.14003606013046238,-0.05130091016147952,0.06690338258523572,0.04345564530218952,,,-0.004654563314551793,-0.04771669534923206,-0.04211306049881899,,,,-0.03158892048710953,,-0.017022274295856846,,-0.008634848497673174,0.028911163620791484,-0.05872443085021941,
IL36G,,,,,,,,,,,,-0.043837458465680164,,,,,,,,
RTN4,0.0629673445755947,0.3447181540486385,0.06644662299951791,0.04723311677391893,0.05597054259004868,0.1442179567694855,0.28480401862658383,0.4337770198298492,0.10957916792489929,0.15594500495054797,0.38209040586769905,0.3887334116479614,0.02651132399515615,-0.019644440344686105,0.033419694811274554,-0.08174347900361438,0.11588633792891648,0.042686506467757616,0.35249559108889544,0.0249750121770403
HEBP1,-0.06799069324934962,-0.09765808447902964,-0.001320803099268288,0.018869749981335542,-0.036604698040413525,0.022629120380407514,-0.12177265456604107,-0.12000266217741928,-0.030190937748073073,-0.11960228567234524,-0.21162700779306165,-0.00021293683699679205,-0.056228600695046996,-0.0396286588481806,0.029843584732645104,-0.06683872738636468,0.017112660898566445,0.013600954118409558,-0.0038671278026505503,-0.008829061095246131
WNT7B,0.1045605929671206,0.40917473084287387,-0.033858310103500364,-0.019936824472943437,0.005033673116091527,0.08450677788596377,0.13013284124082766,0.28355598265933296,-0.0391361972365024,0.10404694327263872,,0.19995859292218324,-0.0347763182067763,0.05453910604143439,0.0885138656129461,0.04230268690370346,0.019599402348111906,0.04357939117298802,0.019601497717604076,0.19511636498442717
PTMA,0.14048917154258728,-0.014018423923629097,0.041246039193074666,-0.05533577267969325,-0.0037168643270215343,-0.1523686245831686,-0.29294969702844126,0.09676267027799779,0.12443385157547235,-0.07177251897056228,-0.519681912839397,-0.42005212866136055,0.066433694485129,0.07084139700642772,0.003013914926376161,-0.1728422795483895,-0.06619954510420863,0.043410108883029756,-0.1745132927762729,-0.19093278679271425
FASLG,0.04309388358727122,,,,,,,,,,,,,,,,,0.04109025270866733,,
CEACAM1,0.07767976258675081,,0.012552591314597059,0.09023706841262655,0.015987467223801285,0.0003117642779215079,,-0.06642776864912106,-0.006133886533428812,,,,,0.07059421426892053,-0.004721887001970877,0.015821552720163085,,0.0008705683011496195,,
PDAP1,-0.03173306934812378,-0.12353077622056369,0.0789980313357231,0.0015449362829459822,0.015303446042660287,-0.11859822649170942,-0.005790080463680003,-0.253461380858764,0.012699041808342205,-0.05056096660276659,0.027685157852949113,-0.20385959956697144,0.03856218581381453,0.06389242857109559,0.10399967542926705,-0.08113346925470005,0.0009732253862891156,-0.011013192078164074,-0.05214916278929757,0.0014533805471707707
