,MGH258,UKF248,UKF269,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
DCN,-0.020929295522827334,-0.05390376579759641,0.09637136766050969,-0.018992162083258525,-0.05404688760762343,0.1325372513454161,-0.025263430106086705,0.023340825051503894,-0.018553516516883615
RARRES2,0.10112473751485786,0.04897027339506917,0.10559977102277651,-0.04267676417147226,0.018425461741376718,-0.12439412631317093,0.010202043440679993,-0.027657286495917147,0.016564210617256044
SEMA4A,0.11516968844191153,0.02454112815701457,-0.061139109982451194,0.011982465842584843,-0.0830775004521729,-0.04571110056216009,0.024664576094729534,0.031033668494216664,-0.022882070089808585
GDF11,0.011427845543772358,0.005360390985330342,0.05174551453655788,-0.03226043743053876,-0.05391771260362709,0.1004937604110659,-0.004672549403183251,-0.004042004230607955,0.0014254131308435805
GPC3,-0.022689658385190745,-0.048739740503149644,0.05195699567176773,,,-0.039449893853086594,0.04941542963767893,0.06236459689590627,0.04393541234455613
OSTN,,,-0.016300597594415288,,,,,,0.0745227129294929
GRN,-0.09450850550872252,-0.032080229674823664,0.07001333009199062,0.011469599667363172,-0.19618791390544882,0.09244587622684411,0.010079886921030063,0.028240899235904983,-0.054999000228300385
CALM1,0.07498837983481882,-0.002625348777409185,-0.08770964304774524,-0.014641502329650707,-0.05591983802889977,0.05152083274663519,0.08032554757659106,-0.00570347399429417,-0.050783134822205714
ANGPTL4,-0.04581908763361899,-0.029720056208150682,-0.02216850946295702,0.05823024800067498,0.04004207218346614,-0.07282754865129827,-0.04320330992658878,-0.052834707058595616,0.025063733137247284
BMP8B,0.017315351250442246,-0.013926331071388772,-0.04410708232877373,0.016456853185958475,-0.04078197036968214,-0.07411877481560732,0.06574434140687141,-0.005217377434284531,-0.055920291008411956
TNFSF4,-0.011980018548256617,-0.0036358463282452733,0.037718853954236076,0.007516391419679216,0.046186194610290776,0.025466327377480925,0.060845470592993854,0.04851097813542968,0.12076004454270038
RBP4,,0.028381677707910734,-0.06221336772862686,-0.04483456374231422,-0.04677242308449214,,0.08296610766627642,0.02742189456663124,-0.05121140001422146
DKK3,0.02922932304344112,0.01406873524877534,-0.06649019626986413,-0.043669957190049444,-0.0022717174101814764,0.01375402178674743,0.03452836319278063,0.0605328642405091,-0.06714634486932511
COL11A1,0.05784434102466348,-0.024046972542313104,-0.028591630211911395,0.14789033807974347,-0.07051146759115189,,0.03237932713812146,0.008958705937123248,0.1277041384601835
COL5A1,-0.01899453981338959,-0.010474025543029073,0.036077820470232135,0.06740584934167704,-0.005320969296158647,0.06756987873255352,-0.053863480337412194,-0.04876680842412302,0.06371832205386393
KISS1,,,,0.011203215365480242,0.07556340379765505,,0.020029821356870665,-0.015995256898835387,
MEGF10,-0.025432677712166778,-0.004104499202283761,-0.029638069578307707,-0.021874111142289657,-0.06028106959310965,0.019561820578218765,0.05460340591437399,0.06903335581966277,0.020540225169344922
CEACAM1,-0.004980475516085745,0.00785090577935084,-0.014631684810419746,,-0.044493152356873844,0.008735234174994699,-0.02340051319145292,-0.015621292895894994,
EFEMP2,0.0695193586107294,-0.00722360810831912,0.07383074391667885,0.030170895544925753,-0.031621399752045885,-0.008519739502055115,0.04879303927676916,0.02469881767608668,0.10866536871570628
IGF1,-0.031389528857976766,-0.05630025382127214,-0.007792483239706162,-0.024196525515575655,-0.012962838701628883,-0.0759007664803458,0.03568205083734377,0.060416701369339895,0.020991713127861016
COL6A3,-0.03451698463830157,-0.05926517695551759,-0.005381416122432964,0.036760425827360776,-0.04883519249867564,0.040185778075302346,-0.06953733234727134,-0.02848955435982099,0.03650037092792331
RLN2,,,0.024631442185829407,-0.011427843665223432,0.04380048706579426,,0.07901351397502529,,-0.026310150556431763
WIF1,,-0.02296918492177765,-0.05144219889888742,-0.051437434961165755,,,,,-0.02202799951584024
IL13,,,0.08348973892065997,-0.015894845917824765,0.08509197653669727,,,,
PLAU,0.02902155390272321,-0.04846939819849128,0.10887234148940202,0.07922518456093001,-0.08288162083978458,0.0064074270931019665,0.039476930590359234,0.02534358196116038,0.06463617119724487
CXCL12,0.05226313050925507,-0.04885535080453471,-0.015591622071600163,0.015050095725807856,0.03941599660807921,0.11596462998611354,-0.013617580815439479,-0.00047520060057238144,-0.07494550892231654
MMP9,0.07289253087339402,-0.062249546113998626,0.12109723407156167,0.01861529270932438,-0.10468238115378903,0.024018953435039053,-0.07691796998196876,-0.0454289856466283,0.04207753843782147
TNFSF14,-0.0296797716669507,-0.023545622669873565,-0.023917889937148253,,-0.02020927182424894,,-0.024675178376486126,-0.026584596385399773,0.037193661887177924
