,UKF243,UKF248,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,0.07661248116537372,,,-0.021486809464346897,
BMP1,-0.05885502190532595,-0.021533175956530832,-0.03713518125649284,0.027564040697446224,0.05489945861171043,0.03904097336131638,0.04312386833826381,-0.037894817507134596,-0.043387993860405885
NDP,-0.014224505647667562,-0.004701013854055394,0.004374341381408271,0.018100347120951144,0.03231175523560986,-0.0483756324657745,0.022436682115474782,0.0015764262708444824,-0.03411904766009216
TNFSF18,-0.021274495159364942,-0.02944834135564846,,,-0.025833179820878273,,-0.04234970885461635,0.011073916831540182,-0.0390224447410372
RTN4,-0.07692683897091368,0.008782362822889075,-0.01957701071927592,-0.012561943339905051,-0.05868278731290451,0.0035865934255373735,-0.05428727112291908,0.026063447042205246,-0.06596015760680633
HEBP1,-0.04069581322855376,-0.037232463227175695,-0.0435492496664882,0.028556213330429635,0.006997254332952674,-0.026195281148055204,-0.0029209901725198374,0.018409320087238525,-0.03264705397719622
WNT7B,-0.037213097726245654,-0.0073076200097660655,-0.00755572300546973,-0.039633824925488594,-0.034857015499528916,0.020874030703710512,-0.017469744334544204,0.018529936501153324,0.03134475135983205
PTMA,-0.002938901896580771,0.08873600857171283,-0.023869029322410886,0.00882610651126487,-0.036959792283666415,0.000391951919217102,0.07077104660507122,-0.05220456196196508,-0.08542264192557479
FASLG,,,,,,,,0.02622652962595533,
CEACAM1,,-0.018743062220548397,-0.03165002788787787,0.024278101053097408,-0.008080494799092447,-0.012503581373872684,,-0.02592856469681705,
PDAP1,0.06010449056761282,0.04479153477001518,0.026397897326170847,0.030944703731835155,0.041000346829792096,-0.011201807776409188,-0.06135346800376489,0.06110213998160562,0.024557788517932964
QDPR,0.022341174241047795,-0.020104072531847456,-0.02099662625683248,-0.028764934165284563,0.020558668099383504,-0.09569465010394967,0.04850731684532851,0.03062467957297423,0.002352123567535429
POMC,-0.025463184621410853,0.017483749007656667,-0.041202963023947325,0.0050062576843631895,-0.05052422821936633,-0.02045421658679216,,0.009249560736974659,-0.03894117269144336
CCL18,-0.008077627031697222,-0.023389570731244334,-0.01993939621321122,0.08181814897329115,,-0.03341125245995408,,,
CCL17,,,-0.022454162882038834,-0.0277174778951118,-0.033026411606807804,,,0.031933010981294405,
VEGFD,0.038994695926431726,-0.023389578158528542,,-0.019200742974255326,0.024204062455457108,,,,
TNFSF13,,-0.017650526245586055,0.01700651235852453,-0.002099613290256623,-0.021052073967733946,-0.014040683861135623,,-0.012225266780002195,-0.05385917805747264
WNT5A,-0.006873605105012903,-0.023740454366111843,-0.008224326427400196,0.02492348759595057,-0.004564482706856878,0.041615432193799,-0.024868065780753335,-0.002288386179280785,-0.06901010566156103
