,UKF248,UKF251,UKF259,UKF269,UKF275,UKF304,UKF334,ZH1019inf,ZH8812bulk,ZH916T1
IGFL3,,,,-0.013038938941640862,,,,,-0.016603060026284925,-0.00851373903103147
BMP1,0.03606426031415324,-0.00586072106409529,0.03517167548021958,-0.0014589527835195699,-0.017489548476522482,0.008527090391861438,-0.060177755099305785,0.1122473406282306,0.058643681970367234,0.07794011832068144
NDP,0.06247485808089347,0.013019839394132331,0.04052927171825044,0.08752950360609404,0.020723567306148525,-0.08225160689609218,-0.003016123703010932,-0.002840859719103116,0.02248037571806085,0.0053513758478856
TNFSF18,0.10411519515424578,-0.025289796944407413,,0.059235626216535046,-0.011674764661574738,,,,-0.017122442743888144,0.04569673798746082
IL36G,,,,,,,-0.013349798127669208,,,
RTN4,0.017359266128949755,-0.017105594771419447,-0.0021954249659876445,-0.026452775667014025,-0.02419361695208397,0.02743159162164055,0.06001150965239,-0.09078375601179003,-0.03551304563925094,-0.007608255239979782
HEBP1,0.028266800067519214,0.03962974366010702,0.03672820183419115,-0.03241481299104397,0.0019128125489883039,-0.053268166725477184,-0.026553535157282506,-0.024199422590250923,-0.08085015828085543,0.0059711208676717165
WNT7B,-0.03200087065416198,0.026734248101137656,0.05177674377622354,-0.024161760629868426,0.039774230073358785,,0.008258639986985318,-0.03732873461677933,-0.03580441294704551,0.07797446139808292
PTMA,-0.017974388781259003,0.026263694092218032,0.023468638742317575,0.0766817522389957,0.0016008031760233491,-0.028023068376942167,-0.10719103750814968,-0.06540779969136214,-0.06130508650778147,0.04205786676538541
FASLG,,,,,,,,,,0.05401900856027067
CEACAM1,0.043739492279001285,-0.012055895248587255,-0.007327364190575265,0.005000867328244874,0.012857362647206981,,,0.03257523877896719,0.016193637075128203,-0.030380086813078456
PDAP1,0.017079909206574543,-0.020835524203006644,0.011710898583737162,-0.015321733337845264,0.026380355984778843,0.0153574499892803,-0.009510716120146518,0.033121078218009956,0.0647491891033418,-0.05213383614013487
QDPR,0.014949961806298206,0.02136278274699441,0.012835697901992916,0.0441233720810397,-0.0067743829752201536,-0.08262369050996875,0.030794437852272608,-0.12288151262046494,-0.07793706652658194,-0.05683562535262241
POMC,0.012490079786958333,0.04155072026490207,-0.025842660476836296,-0.0328449506928779,-0.013546473694648937,-0.03022201096327718,0.037088395499452004,0.0014543817997499499,-0.010164311487116388,0.06795542224205298
