,UKF255,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,-0.020120864723517897,
BMP1,0.017267442392066682,-0.0093716919889668,-0.045970314165420766,0.003003520958205601
NDP,-0.05022454574164443,0.05087417209271013,-0.027598982064576255,0.025668069815986863
TNFSF18,,,-0.020750292635245197,
RTN4,-0.03529057767230056,0.03325375453765884,0.08948649539662956,-0.00019332010808754667
HEBP1,0.01832438777730625,0.033688505293675945,0.021211127713160444,-0.031477818626854344
WNT7B,-0.01560223423744183,0.01943602236051252,-0.017579705338236627,-0.0012063603723467846
PTMA,0.05753508043373449,-0.041236411306159425,0.02728219912093207,0.02702296894428396
CEACAM1,,-0.015399751345296819,-0.029816004156974652,-0.013517653025630003
PDAP1,-0.05961672424367961,-0.031563734410823684,-0.03693732535658326,-0.02363682941732161
QDPR,0.012123260875004836,0.02733603976182471,0.01852667384814267,-0.04327815810890215
POMC,,-0.03607611917939431,0.016833022188812025,0.01341142161605609
CCL18,,-0.03760517301942011,,0.01780416042043772
CCL17,,0.03381692369522552,-0.026528197855823287,
VEGFD,,-0.015399751345296819,-0.027979060827696297,
TNFSF13,,-0.0073345854447394564,-0.028448061491311728,0.009090575348853967
WNT5A,0.026920737279560875,0.01335360957204921,-0.039134429983262116,-0.035707247455841654
CXCL8,-0.06821433584330078,-0.016254964684100495,-0.0376642582162081,0.04129891688515551
GRN,0.019140885350391875,0.049712193081256593,-0.05338156327622287,-0.03749647130586672
MIA,-0.04338308242690321,-0.019499294144108812,0.007116202992298206,0.07300518988379337
COL4A4,0.033988221352048195,-0.024657409792196005,-0.02724419033458168,-0.013520814925171553
TAC1,0.04306071860237692,,,0.03934619372179926
RARRES2,-0.031186210246332252,-0.050868141098997614,0.044032059614689006,0.10277663776201722
FGF7,-0.039257214861438426,-0.05006811286600917,0.0756574206444164,0.05149592871467108
EFNA2,,-0.014636433054956832,,
HBEGF,-0.06280323301422942,0.034555249683641084,0.012400074499927381,0.07787056709598918
CSF3,-0.023107235015985682,0.0047684766553977055,,0.03865080251394965
PI3,-0.054744271484153166,-0.04687007461873378,-0.022540030729844632,0.09906570105124392
PCSK1N,-0.015042233612073273,0.017648913987646845,0.09943845007052322,-0.014544889652167999
NTS,,-0.017831716217815763,,-0.026065544156240055
SFRP1,,0.03430757732834394,-0.05689415444567877,0.039018143233501515
CXCL13,0.013472236857149614,0.017698480746719914,,0.006989733133968965
MICA,-0.023959370644453172,-0.07140803482009443,-0.039088766892990345,0.03882321013486763
TG,,0.016142602245834806,,-0.015949545728065572
ADA,0.014415047263295084,0.056654172898301956,-0.00690285946681041,-0.037959830939528275
LAMC3,-0.015971104106632345,0.04756158631180448,-0.056075923802304375,-0.010431955718547152
NGF,,0.09759895623694931,,-0.03327019845654062
TNFSF15,,,,-0.01203427600430032
HMGB1,0.0012505334285050117,0.001379904906963785,0.051987695148356536,-0.013808742997387893
ITGB3BP,0.011515598094205682,-0.036422525459571684,0.0642701588942324,0.0552256133952316
AANAT,,-0.019696674677977796,-0.03281452966793967,
RELN,-0.02602227724201197,,0.04992150280640036,-0.014536101230688827
IL15,,-0.03570988799047452,-0.040864539210718934,-0.016450925468775742
BSG,-0.0024695458653174623,-0.0015118279011555097,-0.06775200445574427,0.01939593721558494
ADAMTS3,,-0.004771127552540785,-0.02782275088764448,-0.03529837666718559
CD34,-0.024284465733366078,-0.058656918053679376,-0.09219631964979923,-0.013895832964304591
PLAT,0.08339567192941444,0.05342041858037571,-0.0847433632112362,0.035726646441504015
NTF3,,0.0858831365321421,,-0.04505233639874383
