,UKF248,ZH8811Bbulk,ZH916T1,ZH916inf
IGFL3,,,-0.01754461121161253,
BMP1,0.017868418715623807,0.03467696863014745,0.07363246014160373,0.03473223296110366
NDP,0.014070201993543741,0.0170340748087592,-0.041012564356174355,-0.018475158802130378
TNFSF18,0.04992157839193252,,0.026463579207854863,
RTN4,-0.029398309545550953,-0.02786948734584183,-0.0059899484378952185,-0.030036080404291055
HEBP1,0.08872440309887342,0.00033352660679690586,-0.027988715977797684,0.046544739815454955
WNT7B,-0.03566921474034076,-0.03132424331627146,0.03017198578056097,-0.03502349322123187
PTMA,-0.05680251714473464,0.007131383470053951,0.04272047268146002,-0.0898780393993056
FASLG,,,-0.015216435318400943,
CEACAM1,0.006899233625616551,-0.015175137547523723,-0.021171434858005544,
PDAP1,-0.03682935371647661,-0.017768201041754087,-0.0006133180378027261,-0.008643382576990304
QDPR,-0.050252801279260816,-0.036247677096592906,-0.022480614830365935,-0.013090728066221944
POMC,-0.0156424192987473,0.014628549031511551,0.002248643750586104,0.015218370615698487
CCL18,0.05034470571105709,-0.037056680999100186,,
CCL17,,-0.02190626373639497,-0.01379198951191414,
VEGFD,-0.019143686441451774,-0.015175137547523723,,
TNFSF13,-0.014446440106013939,-0.02381135973013216,-0.022472895739073934,
WNT5A,-0.027665220925223187,-0.02156205691477806,0.0016303543975134814,0.03588761706630691
CXCL8,0.06171258409062007,0.06975436055563189,-0.04673065955655227,-0.06837803344131675
GRN,0.03962638971955388,0.0777054593673888,0.026767193223301892,-0.0416644214152252
MIA,0.004718166245301954,-0.01500678750326555,0.018742924324532565,
COL4A4,-0.022991404577362956,0.009046057382637215,0.04878193179225064,
TAC1,0.043067126455793296,,-0.018130972641933047,-0.05458493831390007
RARRES2,-0.019294752614483022,0.008791243394593874,-0.017811168801016485,-0.04280629562033815
FGF7,,-0.04077250438209107,-0.07498346052574946,0.04475965028515757
EFNA2,,-0.014422952672020026,,
HBEGF,0.060494196058916226,-0.025503229880602305,0.04283938787479677,0.07310867018932173
CSF3,,0.061219193304316806,-0.014520837290537589,
PI3,0.032073498602335465,0.071316962401451,-0.03154895535707257,
PCSK1N,-0.05424449971338163,0.016653848045837725,-0.05660495023182641,-0.02090839207171954
NTS,,-0.017571630881975654,-0.021503379948234317,
SFRP1,-0.02430005193492142,-0.028556749149309665,0.07621460859476581,-0.030474963102355715
CXCL13,,-0.024951275748316168,,
MICA,-0.0631964237380371,-0.05710486540518022,0.04042337242583006,-0.05207523764619881
