,UKF248,ZH1007nec,ZH8811Abulk,ZH8811Bbulk
BMP1,0.0023253359689299094,-0.11850152049775321,0.05430710088457067,0.050987286673690804
NDP,0.016714004314317896,-0.0033655413760427105,-0.050145963626025226,0.03400342900017152
TNFSF18,0.12515275705879392,,,
RTN4,0.0014839090526035145,0.027904450700550074,0.02087783549525912,-0.07079339994575881
HEBP1,0.04450244203848883,-0.031186129909127155,0.015752672051268596,0.060833716797474825
WNT7B,0.020065922031478646,-0.0573118724363073,-0.03396801823059325,0.18277472452610602
PTMA,0.01928562440699427,0.032917834793476805,-0.028145475628019855,0.010254810705333224
CEACAM1,0.05652200770004697,-0.043157277145365054,-0.01903395598067428,-0.0003458612037356644
PDAP1,-0.0396791110253344,-0.03141803061249667,0.04924277581596546,0.04020216261006764
QDPR,-0.026599987032000786,-0.06697794121073823,0.028827265109043987,-0.011883460381590657
POMC,0.01737881991126743,-0.03918207605214654,-0.04570183131481513,-0.011752429315340299
CCL18,0.04098566567032367,-0.03700510889525591,-0.03483190596282081,0.058270882638018086
CCL17,,,-0.013503670498922708,0.0847374435994479
VEGFD,-0.022399659113560347,0.15024603044053972,,0.1375590792727295
TNFSF13,-0.016903501567937237,,-0.025911515405006014,-0.019363550682194766
WNT5A,-0.020863887561115516,-0.0640493503950835,0.00016840867524840175,-0.01425921531683188
CXCL8,0.024672577959395273,0.0457942528680201,-0.0011255396443821265,0.0010717195308923373
GRN,0.02762285413343263,-0.07310252334136089,0.004096815313561623,-0.05836094560436112
MIA,-0.0018862256597561304,0.009267396372289191,0.0636152970156504,0.0641178506463276
COL4A4,-0.026901800060815557,,0.016624386574496643,0.01719179017804133
TAC1,-0.04279646836785748,,,
RARRES2,-0.02284791650411708,0.01000238875366438,-0.015105024821422291,0.05450779501871335
FGF7,,-0.010124755269413971,-0.013541525829813567,0.04908407074790117
EFNA2,,,,-0.01942287699087166
HBEGF,0.06329175245624756,0.0422884026503487,-0.0009525196954568244,0.06241322274648321
CSF3,,,-0.016398384351682723,0.0368014969594464
PI3,0.03563440173388333,0.09083491764727764,-0.04989496953228929,-0.013639813656690682
PCSK1N,-0.020102304541074475,-0.052327223328780266,0.044064898859751296,-0.07980680734025403
NTS,,,0.010313968262631581,-0.023663089861738745
