,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.020688227838227387,,,,,,,,,,-0.03338214519996706,,
BMP1,-0.01862205760532757,0.06676280305954323,0.05663990163221244,0.01647060620838269,0.07636043962729216,0.10383956718450504,-0.12798199391435888,-0.021298026714883993,-0.07549602189203615,0.02076573946253296,-0.13755814874662078,0.013946792735615578,0.14417748406064967,-0.0014226512294152752,0.02986295567964419,0.0259705617718327,0.14973631572606236,0.12713750645561686,0.005445311790909377
NDP,0.024355357370247924,-0.0027770216426103705,-0.026518984388222477,-0.00038412562253775054,-0.03240498043683852,0.0075250305373267025,0.005549837940451745,-0.017018513992007104,-0.028485718840932334,-0.03278234360395107,-0.007310352603263664,0.10297516149440876,-0.04801567033563936,-0.05438437510602143,-0.0225111224099576,0.14358909599376354,-0.01806086630795241,-0.04920827177345031,0.010056381106911209
TNFSF18,-0.022337912741436552,-0.01758781336739712,-0.0007676099724099691,,,0.0824655928898833,-0.030721397262148557,-0.016503116616475633,,,,0.03150368903118337,,,,-0.03642675536025562,0.03458891610679653,0.09990593662041246,
IL36G,,,,,,,,,,,-0.016645190798491877,,,,,,,,
RTN4,0.01199615077133589,-0.003953339230659869,0.007445548605513822,0.005199064535794756,-0.026677856070247544,0.009083216464732,0.16699464055424817,-0.001572503804856189,0.014639916529460657,0.08878618610980911,0.15749366122667735,-0.060016042108202786,0.001862526036637799,0.043753521229077906,0.04857403124964992,-0.10120507547562461,0.023658922563573517,-0.05555460044437881,-0.07055952065314434
HEBP1,0.01605839091468969,-0.010324825500892372,-0.009805906950556545,-0.00453228632858631,-0.01073355949385844,0.031768165899824674,-0.06638468196380407,-0.022210851749130026,3.7116382243167716e-05,0.015617493276300057,-0.06369812038820968,-0.057467921506372706,-0.033437412057314334,0.024557831816123452,0.025829577720379162,-0.0028631885948887143,-0.005916587837292605,0.05705294052900245,-0.028514397675043584
WNT7B,0.01782836344961761,0.03355504839432222,-0.028577735834079993,-0.02697617596966469,0.0286296848859127,0.02427378863617527,0.1671088234047838,-0.034166286042930934,0.007282944373814614,,0.019204293526105278,,0.00012654224036686622,-0.03132424989156196,-0.012617341747912694,-0.036426717588446685,0.013456613547604739,-0.02330384718020672,-0.04128136480886338
PTMA,0.05442328171820273,0.04177320145129798,0.056199758856087835,-0.023092229199040793,0.037397868893837616,0.039431820861777295,0.05528843865543329,0.006509767978162534,-0.06338915651638576,-0.12661842687336247,-0.1487788897974097,-0.008999926828979838,0.002052635271358395,0.008270049453832416,-0.011902972299190222,-0.05866893624692518,0.10482738833397523,0.06931175027108127,0.05000582040325267
FASLG,,,,,,,,,,,,,,,,,0.09742699883398324,,
