,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.016106208142504866,,,,,,,,,,,-3.181312422433222e-05,0.011693329372123789,
BMP1,0.021220889973850503,-0.045289371195506134,-0.004124875869949987,-0.006890456824467394,-0.03522144722065274,-0.008115148902006363,0.07164947652358522,0.08468015264587529,0.01068292824801761,-0.011444943197171004,-0.003822223620880908,0.038554838975130144,0.013233430424344108,-0.009423554524352468,0.05968959042878611,-0.05339826237419983,-0.01665720620670513,-0.018537784033611344,-0.0033624600670441227,0.005328803034329533,0.05497164662783622
NDP,0.07283729881690804,0.029157460877240145,0.08071995249412871,-5.888276894659822e-05,-0.0717995801660771,-0.028340103054754366,-0.05569664276606728,0.010965424801812954,-0.012340344188235769,0.02322119544511485,0.0573114294058685,0.029862606527061224,0.0754230861609301,-0.05571726487963275,0.031416392672126425,0.09741284632034942,0.0132991019083735,0.04614994456808857,0.05710560332150768,0.11425931186435723,-0.00950507290824042
TNFSF18,0.19004545904970793,0.0024310671102148835,0.010502491169531015,-0.04183417971937616,,,0.037370226762741376,-0.019648796397044976,-0.017103081946088724,,,,,,0.04634082920604228,,,,-0.0008008465741558962,0.037274190189617626,-0.025685319699757698
IL36G,,,,,,,,,,,,,-0.013752909517746612,,,,,,,,
RTN4,0.011627274434507014,0.006637948052201739,0.01477700912716198,-0.08588141756874593,-0.0035576510442865117,0.006287709710135461,-0.01583627070690832,-0.10875284115987889,-0.0646357978345017,0.04971063066002713,0.005386101938962186,0.01714662149809185,-0.06790705450006707,-0.07177715379437076,-0.08805137080049254,-0.05337494074891764,-0.04740267080084146,-0.0345381958282839,-0.03222925461045321,-0.01664175604977286,0.014792685937990291
HEBP1,0.013497695479932943,0.06235799572058003,0.04943116263291293,0.05076477384180432,-0.01697094103180826,-0.004990917396005114,0.0007149170473813496,0.045237752447924336,-0.024981323596002008,0.04316835032127596,0.08196819700598068,-0.036572094649906246,-0.013902609881212448,-0.010016648285043546,0.025498878740282453,-0.03390418428199028,0.005680007163248758,0.05544466031528031,0.08668373321791835,0.049330632281807965,0.023302035339043795
WNT7B,0.05206038244353284,-0.04829924139321746,-0.006627223906308118,-0.02598609563412621,0.008210030598451712,-0.004747554879548925,-0.07315481099839179,-0.019965034113122983,-0.004881444908978183,-0.01721959274974737,,0.018044931905083324,-0.015116032464543346,0.03377642384187068,,0.005839411664808374,-0.03673614857804061,0.05508548922089924,0.0031053497638511554,-0.006661959246434686,0.10613570364958444
PTMA,0.06728016057605826,-0.046932633948145605,0.04405473634139706,0.027709611635273124,0.03691928906458175,0.030856807019001172,0.05968345062114051,-0.1037063201977135,-0.060307246613295354,0.055619642747623,0.0517377877465073,0.060721706324422225,-0.003597882110376834,-0.10197392206357127,-0.0150761065631112,-0.09967902616150606,-0.05850052201648804,-0.07274283361076553,-0.040685080129247625,-0.025107358536190765,0.029926737166303806
FASLG,-0.019520837454926093,,,,,,,,,,,,,,,,,,,-0.020435878370446543,
CEACAM1,0.04185240481281516,,-0.01733250514458667,-0.019942765440783976,-0.025649572189997624,-0.016207972327622205,,0.1165704527425495,-0.02689907336493323,,,,,0.005380313773067991,-0.05474322957066952,-0.031668954025497346,0.06281934709046999,0.09208754075678134,0.08661004326293624,0.0471429761665909,
PDAP1,0.028415607077555388,-0.027549680521846934,0.017430577422996578,0.025960296629049456,-0.018674818274764755,-0.028763679788051236,0.006769578668103456,0.04288185118075739,0.03820505024618683,-0.02978695987272621,0.016610803841991123,0.046464442502172146,0.02965477358015368,0.027581509760538605,0.03219668570926219,0.004921436583955078,-0.04544044828888643,0.040635050289900575,0.03183957579613453,0.04349739407533309,-0.05609794107621797
QDPR,-0.03555272895512718,-0.01141741940208264,0.047815323760818304,-0.035151936370219586,0.00927432376853259,-0.0035174897661839773,-0.010808706242205965,-0.13801149301462634,0.003942184303232452,-0.028498944024032802,0.032233612326599576,0.059168722965538524,-0.06527918136391224,-0.080436941275545,0.0015539231503774644,-0.11193682680528619,0.05126156521541466,0.013145762461309994,-0.03113156350903316,0.03374263927339784,-0.011504978341577312
POMC,0.10754350846589189,-0.05346809856023067,-0.0007721957318281189,0.003030329494931046,0.029668209198052534,0.018162536622956086,-0.01635376870152702,-0.03333071585302738,-0.005789875786993264,0.003551577895338538,-0.011153741099365254,-0.020848530013721514,-0.029465756047291243,-0.06262478036795097,0.02234251616746097,0.009960030671816647,0.06078382679550972,0.05252655747590749,0.021817543162487383,-0.017713226931419232,0.024565723003612688
