,UKF248,UKF269,UKF313,ZH1007inf,ZH1007nec,ZH916T1
IGFL3,,-0.013231781339424776,,,,0.0668228612033356
BMP1,0.1377674378732936,0.08285920437356258,0.1426798974468881,0.10557925621993959,0.1564175429839695,0.18734119487006914
NDP,0.018721752685175553,0.04167239280376708,-0.08467766292931111,0.05654363142959046,0.06763544729066948,-0.030562934683469704
TNFSF18,-0.005759410116005693,0.05773496452542182,,0.09235219543063145,,0.059626431454702415
RTN4,-0.006192996195349254,-0.08829029305203549,0.047417853774446385,-0.0038711628158635027,-0.07058884788451594,0.011795075781321607
HEBP1,-0.024081097219790053,0.029652958226522943,0.09868452148922988,0.04841138702596141,0.04794848715465421,0.04270428149215033
WNT7B,0.04686438977260046,-0.034129524070549117,0.15885886738366706,-0.03271637725866018,0.024486011908371713,0.1282173715343399
PTMA,0.01690431820898907,-0.01584086080627008,-0.09135914715247158,0.08441455559127405,0.12583460095401158,0.150926083192465
FASLG,,,,,,-0.029862179538119846
CEACAM1,3.7816527787139905e-05,0.09383325641801635,,,0.06128920327724027,0.012390070476401416
PDAP1,0.008035799334115145,0.05538820001419112,-0.1431090128958121,0.12069146940498547,-0.04505215439988367,-0.05497957526435497
QDPR,-0.054250408056549015,-0.11711805861123013,-0.016412765368784662,-0.1106549273601693,0.030226528905182355,-0.0637105103853865
POMC,0.04400507339186386,0.011831489450214238,-0.08628734823341855,0.012473824285973642,0.15047425729857752,0.1069757213110575
CCL18,-0.023145811297543027,,-0.14064824097233544,,0.09180916696964787,
CCL17,,,,,,-0.027066711642679736
VEGFD,0.0374031657008601,-0.02216678308637611,-0.0629510359692799,,-0.04036426377279428,
TNFSF13,0.06149540211332207,,,,,0.05346939608716437
WNT5A,0.06000680851169578,0.06874075189904395,-0.06146618885524839,0.0344518046329698,-0.0033958657763040498,0.06288074789510213
CXCL8,0.008267979051410624,0.022108368821579075,-0.15362552321790401,,-0.15179824761953853,-0.0321226309581489
GRN,0.17272970031817603,0.07230630140929012,-0.10325596749857927,-0.0142188686106302,0.13435280291298013,0.12813863604386916
MIA,0.041764244609398975,0.02455605041875775,-0.008906616913402892,-0.032563549155230256,0.06139004182275492,0.029959144837776456
COL4A4,0.0693677368137114,-0.013038938378821755,,,,-0.0016651161157917446
TAC1,-0.05830521208098327,-0.06589952066025519,,,,-0.022693758297958704
RARRES2,-0.07700146731539642,0.10062045317292571,-0.25188135599530287,0.08252892981536417,-0.1431686671737938,-0.053195496770926234
FGF7,,0.036692522532539955,-0.09044740906191168,0.07707884520540717,-0.07391613984347503,-0.06145703001768457
HBEGF,0.1610519428156883,0.057932991685927186,-0.12778869336410784,0.08493232515177193,0.10115138648768801,0.11702594002319765
CSF3,,0.0961082467067883,-0.1191967584821792,,,-0.028497071826637754
PI3,0.03145504714511371,-0.015533291085357132,,,0.020875381475408485,-0.03159597861201847
PCSK1N,-0.08967944808165991,-0.0483437382787209,-0.0047259752879127166,0.07719379030027748,-0.026060254827419943,-0.11211514071856109
NTS,,-0.01695564784579039,,,,-0.03192162529579925
SFRP1,0.01858880734420291,0.0009723886000495096,0.035085377576522844,0.031021769415583718,0.005856034740286258,0.08672599023859807
CXCL13,,,-0.04985575031233363,,,
MICA,0.13952304478788424,0.0573051467560698,-0.07513588719750444,-0.018179891156149132,-0.011423542795602041,0.07019343425971489
TG,0.0012875362787942615,0.0983482403134809,-0.025685659369528217,-0.01781621166211741,-0.01798474546774072,0.02202169199330868
ADA,0.15880098269887735,0.029528308324921874,-0.12357477019964555,0.03820729081416114,0.05498248491714934,0.14746525353648424
LAMC3,0.20791307175736476,0.11654314063825803,-0.05631693290364342,0.12004796540893259,0.26830193714759076,0.11538791838783495
CCL7,-0.014722691291650082,,,,,-0.014698158592281983
NGF,0.03060942788850346,,-0.0584328431911794,,,0.03940356967028103
TNFSF15,,,-0.03867370694715801,-0.012712101570573314,,0.10911457663880668
HMGB1,-0.01939373660519967,0.08895840879327295,-0.202835193018521,-0.04706607654057981,-0.04892973499393848,-0.06031605292011011
ITGB3BP,0.022112014297807767,0.07678947925805743,-0.09501660072199325,0.0034376940204544093,-0.06975759604867533,0.0024998080705587547
AANAT,-0.02136038516308927,-0.012443414462155973,,,-0.04879283197828452,-0.03159542003430499
RELN,-0.038606319809203656,-0.03651288227826212,,,,
IL15,-0.038915669792459494,-0.020879496340649104,-0.19020252955131034,-0.04735149566498388,0.06245363465118568,0.07771623866972942
UTS2,,0.12582677496937317,,-0.014533420603337765,-0.10724378098529033,
BSG,0.03459270140736502,0.019963205156542787,-0.14158992426936404,0.061032869646324456,-0.05947613089470312,0.05927928581392647
ADAMTS3,0.008436846418194761,0.05865259456405171,-0.09015299426490393,0.048304267785365514,0.04982289803613456,0.03422317629423005
CD34,0.18198338186332785,0.0746410088319452,-0.07796397164581405,0.03399600420796657,0.26381860445026906,0.1381367501319837
CCL23,,-0.014158630395897688,,-0.03312491726998346,,
PLAT,0.10860186118222322,0.11236428802100246,-0.0033500446424823216,0.08768206211088624,0.15373672415598544,0.1332064361477065
NTF3,,,0.00027122920517394305,,,
LTA,,,,,,-0.0425226738220979
CKLF,0.08139982513325254,0.11804791037828313,-0.14400250427730604,0.03680359251418982,0.0001968779984091222,0.008947097449112588
APELA,,,-0.10815519503245273,,,
CD24,-0.03714016796846709,0.09259756654262942,0.08075410095033222,-0.04507353469682839,0.10404180557803039,-0.05229283442857434
HSP90AA1,-0.11093511359527101,-0.09041021040773084,0.04612608795974565,0.008986423795582121,-0.05279621080945006,-0.10625147883854973
BMP4,0.12570971466420502,0.011407409754064502,0.1244522075652669,-0.014368725307167098,0.14387283529963618,0.05701886301419113
SCGB3A1,0.1437507879468858,,-0.08354536109984348,0.05680223296107264,0.30344650549363544,-0.008111119230521435
IGFBP4,0.17493593454828515,0.13114783628553733,-0.052929724416127935,0.07267573867438244,0.2052225537202584,0.18366092470512682
RSPO4,,,,,,-0.01799060521501956
LEFTY2,0.12290477584016733,0.13728614352928079,-0.0890799578183871,-0.10203029620730707,-0.004110131959607424,0.12359755628983816
PF4,0.0953246215654883,,,,,0.03778489325734142
ANGPTL2,0.11321044787455811,0.1311043607034237,0.3384432684009503,0.030880955943522238,0.08387286882477754,0.1140647351947113
LRIG2,-0.021942688504041918,0.021931644836682477,0.08193502921654754,0.01759781092418025,-0.02358630306732399,0.06742042755732823
ICOSLG,0.05880180063414029,0.04997839050329368,-0.03469852140171211,-0.0043036536115971845,0.14437663926297323,0.07223950434458708
WIF1,-0.02748025409847127,-0.0655087002246297,,,,
NPPC,-0.01646647397090195,-0.033503401034148304,,-0.029267001272501755,-0.05042626454973123,
LYZ,0.132300785726771,0.07543484468474634,-0.2338785834723373,0.0030782629737096225,0.007250209480892235,0.029997901875670672
EREG,,,-0.04790421502249527,,,-0.010952366876920075
SPTAN1,-0.009854371532463487,-0.032137927112656235,-0.17318954424740954,0.0065665052373264764,-0.06174132499894586,-0.05201677462269047
