,MGH258,UKF243,UKF269,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,-0.014688239356663083,,,,,,-0.01331715959020953,
BMP1,0.009798481583512802,0.057726363213843813,0.08970408649302541,0.038512798746906975,0.03084007156438755,0.05289640550422435,0.08092946697524699,-0.023129678503707635,0.06683734744836,0.08220249685353775
NDP,0.007630944451165745,0.22328734960482258,-0.027230432412621575,-0.006647028221025108,-0.012889521521924555,0.08240680423842675,-0.030055304291024938,-0.039291578741558524,0.03707889491651185,0.08301312875251077
TNFSF18,-0.02450430544503359,0.044556221093154935,0.0847506998592679,,,0.11437336791399212,,0.03993762412514268,0.024261082108737047,-0.036182616513557184
IL36G,,,,,-0.013950287214413278,,,,,
RTN4,0.04498141339709436,-0.0919708159538853,-0.11773277110811262,-0.09051316023571515,-0.0011086747051869208,-0.03478762132951194,-0.12731390440283152,-0.00939349144155777,0.008755603259759256,-0.0984307617512714
HEBP1,0.0766640550855876,0.011801749696290324,0.03779443470857261,0.057867576505406894,0.006176022593390408,0.01007740226853595,0.051359976494061724,0.026439612235173902,0.04867493094744966,0.03513918001605424
WNT7B,-0.021587525600885574,-0.07628150364988036,-0.032400189052287295,,0.0063891171996965064,0.008192462953871592,-0.06307296878137482,,-0.032330617810622755,0.03470718495428699
PTMA,0.012485356290221376,-0.195167581595137,-0.07343496403236392,0.0822769976282237,0.0023144549486805725,-0.032826628853064914,-0.01680678610332181,0.0007849095919160766,0.005814849616012997,-0.020603557785732557
FASLG,-0.02158753170362376,,,,,,,,0.05892997878333137,
CEACAM1,-0.029974476697806646,,0.012028721093001786,,,,-0.07874206915645163,-0.03149473477236575,-0.034662561583620626,
PDAP1,-0.08281641677569757,-0.0008882620998052547,0.06640482326893672,-0.003953130608053744,0.002729626347974164,0.038276761027464745,0.0035929965613061285,0.01941674896595119,0.01723722090371585,-0.049189548928624816
QDPR,0.08790802788968434,0.02206813539180588,-0.10710668250943432,0.08469424348355291,-0.048197228527651445,-0.015555646366051713,-0.06550686402190072,0.03677111082622057,0.023575078841007166,-0.026063672611503604
POMC,-0.0028393663168528958,-0.011913591872119988,0.036622107817326215,0.08524081790550403,0.016368605871732927,0.02328402053309001,-0.08933989030770607,0.09087575156248005,0.04994144240543422,-0.004647656970162362
CCL18,,-0.05490868395315826,,0.14318959872128284,,,-0.06751720767641624,,,
CCL17,,,,,-0.012743983418886263,,,,0.10391686173416889,
VEGFD,,-0.06186603784403413,-0.02460674095103188,-0.022142149412414096,-0.013658121753710511,,0.020689604189699437,0.05243489113281894,,
TNFSF13,,,,,,,,,-0.024460908845310266,0.040436626744762935
WNT5A,-0.021750144111839165,-0.0273855946011188,0.07100844105866683,-0.009137287024075336,-0.04230091418478152,0.014950191728335612,-0.0550515023365513,0.024715376747975294,0.06306378475796869,-0.006297626057015739
CXCL8,,-0.08646165539302791,-0.01580752644299733,0.061487837740333555,0.02484868123540157,,-0.09180041664421966,0.03262825708773709,-0.06578118292499086,-0.03685799237118449
GRN,-0.024421678215373107,0.04824908483511957,0.044265560851777165,0.06654223490348464,0.01121071615510543,0.1110044002407082,-0.05997516699302089,-0.09379247279345895,0.02699047529932793,-0.0350518537907931
MIA,0.08639901286125964,0.017328598241554964,0.03361138551907995,,0.01691848177911471,-0.010164632769527171,-0.037091393776422975,-0.06732013239794893,0.0645237023303315,0.04755231388635169
COL4A4,-0.025000992139523108,-0.007342648144736307,-0.014474169648970357,,0.05549886389110253,,,-0.03352608580859577,0.04210302158365265,-0.02021015067887627
TAC1,-0.021587519958736003,-0.023349092012916822,-0.079011022812782,-0.08201253300325148,-0.010610918576436708,,,,-0.0009170930249296533,-0.02251442546569732
RARRES2,-0.055478768990044974,0.0062002175770026115,0.0739614576202873,0.00535454622382227,0.007094010991247752,0.031523911530219044,-0.054915206757714344,-0.11229933215888109,-0.004787977678552932,-0.001810668401911415
FGF7,-0.04196840845240449,0.018314469834760476,0.04912201584205783,0.05099527201779619,0.010683176473761574,0.010283182927299614,-0.0774818245239554,-0.018815485176738655,0.03059001626281853,0.06427342396252918
HBEGF,0.0026469669966377603,0.016293123822262362,0.06026088160766158,0.028903130088867583,0.017614105019418812,0.07989899183295943,-0.02812950076649157,-0.0983299758019298,0.005700989322691589,-0.011315134848053422
CSF3,,-0.06227891470412694,-0.015313392895439815,,,,,,0.08567424211637853,-0.03523992090464644
PI3,,-0.06455386302227067,0.02698509744936125,,,,0.0068508833597010245,,-0.04353380236089307,-0.040124420754399745
PCSK1N,-0.012511689497603545,0.09817105395424668,-0.028835299087659166,-0.05506913420430147,-0.05906413111272201,0.03337706237376264,0.06683383093644105,-0.055806672193048544,0.021373934540628813,-0.04136222447560386
NTS,,,-0.018822001937426582,0.033245149577598054,,,,,0.12258779312935952,
SFRP1,0.03099753515728726,0.06507796117160371,-0.002704468448184784,0.029740734315075606,0.0011201833790984112,-0.0053652847057184296,-0.026274705006160984,0.0524037522246758,-0.03438793386756607,-0.05773183794092359
CXCL13,,,,,,,,,,0.05696237114806346
MICA,-0.06408107433327416,-0.07291380438251964,0.08827484172228314,0.03706258190292501,0.056534589630620975,-0.0039209653801327415,0.007217592131416131,-0.059877703607953275,0.0249826729636436,0.042389167457174345
TG,-0.006496237606311387,-0.03647225769053617,0.023726482105449385,,0.06921215495412945,0.038531979284907335,-0.015063324373595685,0.0834512749728222,0.04061347327918259,-0.04136414242701608
ADA,0.00666239109686674,-0.017505312225642118,0.07475539470733371,0.10000470298217841,0.048267331255222375,-0.030328304817386242,0.10151410444499538,0.003303841258124728,0.13925971360205325,0.025811532273362213
LAMC3,-0.005120128927344307,0.12936961358624363,0.06595479726996896,-0.026186910027343392,-0.016509605186667706,0.022563987821571554,0.09420591066537115,0.004241453095184109,0.018160605590428355,0.03070721405771083
CCL7,,,,,,,,,-0.02491283383923413,-0.06423749803153385
NGF,,0.00030125694202191026,,0.03296578256877968,,,,0.03456731522874594,0.0698038923657568,-0.0028863887348769247
TNFSF15,,-0.04438884595266053,,,,-0.03659076668118832,,-0.04817906399927225,0.014841607409150694,0.007741378369859504
HMGB1,0.05284830980672251,0.09874094955827521,0.025308967326707482,0.053940046525948235,6.099810055833139e-05,-0.013807641237656924,-0.06242785540923761,0.00788348433728497,-0.030499139712756227,0.02096289872643158
ITGB3BP,-0.015126605957264738,-0.03523322386181501,0.08061858629903917,0.0009700498344002887,0.0030879287646681827,0.010584889151223615,0.08695366108179348,-0.040744384538784754,0.07884545947033865,0.03607032509280327
AANAT,,-0.04464716302191146,-0.013813094801508833,-0.018741888413619012,-0.017094834781255456,,0.06491786764580304,,0.039089019488499153,-0.028255482269825955
