,MGH258,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF296,UKF304,UKF313,UKF334,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.017845839032555877,,,,,,,0.053535410030795184,0.056289574904387664,
BMP1,-0.02814827617681263,0.0981167942362617,-0.00813879977646235,0.05639530045259031,0.07014523163135085,-0.007803546017926282,0.08287173199500462,0.016172223839737973,0.03930593742722227,0.09822748323168877,0.03775931093936214,0.02745190884152791,-0.0025515083432323627,-0.03086588482089545,-0.02364057890279203,0.0342749506318849
NDP,-0.04285142034801745,0.04352434868350257,0.0028968242080761363,0.03264684110772527,0.06936126149167623,-0.017835032682463038,-0.008094497401840732,0.05625060817142291,0.010022561527194464,0.053491103490339094,0.06337359996183221,0.030596556519480102,0.030938947931069424,0.048509931553506414,0.11470928770365577,0.063211093798402
TNFSF18,0.0700002241258568,0.07838409206770813,-0.0063186287044162915,,,0.0028867314327948703,-0.026500535216576634,,,,,,,-0.026681272817508806,0.07784166925181378,-0.017356942304592
IL36G,,,,,,,,,,,-0.02445148011710829,,,,,
RTN4,-0.037455529313014914,0.017641765209843396,-0.047527704673257606,0.03146189234562886,0.11232692298550401,0.045665264002557715,-0.11965485045429487,0.043745161881634895,-0.05805139049370433,-0.009194460296601079,-0.06473574054416155,-0.05229712959465053,-0.061086620250080985,-0.048451159242718284,-0.002771901674123568,-0.14028366161061095
HEBP1,0.029743826734211307,0.015086229129814666,-0.03785166119519002,0.010549078872392354,-0.011978136316076856,-0.01728644217476807,0.016773302440704744,-0.04339890157719334,-0.07203274313643922,-0.054313371239890565,0.023005643725733185,0.02115633381270049,0.02818447306704287,-0.01642045190677239,0.09056667375868356,0.0050509771171535255
WNT7B,-0.024743156848306788,0.0723330675232658,0.016969437612880642,-0.030400214704663815,-0.037855336112186166,-0.024505575514838306,-0.03284227312337675,-0.014006903593788922,,-0.029360466097137758,-0.0015854129697068509,-0.018483098241293086,0.09806965690275268,0.04024628025203658,0.03503119294131279,0.025462298169124424
PTMA,0.02684087895549035,-0.1028943354850757,0.0015730561266492323,-0.04315819928625756,-0.04012347163937005,-0.05965907824932717,-0.016697444752815684,-0.013292162999537326,0.05879295958282672,0.013430083722242988,0.06020658350871057,-0.0542597673914893,-0.0307430493407119,0.026549597950269455,-0.10281847516200435,-0.03238582241222911
FASLG,0.012144799721810684,,,,,,,,,,,,,,0.026498681574095774,
CEACAM1,0.020324398807277256,,-0.013845180631771807,-0.0351035323762045,-0.01841754537454903,,-0.023812455377258953,,,,,0.12016813828179942,0.17869664402273042,0.017773149344952978,0.022796683494911166,
PDAP1,0.017636728448879854,-0.04221938067948943,0.015791320428569306,-0.014065681453930801,-0.021437445125957924,-0.06517441947122944,0.086886078933799,-0.008281010643366369,-0.024801430714317074,0.04788066999953465,0.01256741940235802,-0.03961143996698933,-0.026940953668490596,-0.039157721432384496,0.05184225322565,-0.009103968414106598
QDPR,-0.01641181877295534,0.10513931339064725,-0.02011009279613644,-0.01864792535821552,0.08900589295100482,0.00665484422521068,-0.09785755332885572,0.024326415935980346,0.0819089494047319,-0.06533229583253201,-0.006356770377806762,-0.026325771800778434,-0.015594024546565123,0.01977820004269843,0.07507544202494768,-0.06855891211481581
