,MGH258,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,0.018830999307791058,,,,,,,,,,,0.03256203779775807,,0.07031987625464715
BMP1,0.011415599982816846,0.046870947958901225,-0.021770158935871472,0.043536774367419394,0.0542773624101954,-0.011704650049671523,0.02537404118488095,0.21806144011251494,-0.013937625812758436,0.012923559981442328,-0.03646614758626073,0.03472661595360822,0.08490726906666407,0.07843553655605762,0.08426027056179212,0.023839810788043255,0.15548435526337714,-0.025584351526918195,0.039970319662657884,-0.002279352342949826,-0.03918090131894368
NDP,-0.006364721645625028,0.0040846165338272854,-0.03555171653339466,0.04768050449171683,-0.02956004251352076,0.012741576445600594,-5.137616245692498e-05,0.05451191381060543,0.008961052780453714,0.0004761857302774186,-0.0523837608295103,0.0542782680465203,0.0626925721976906,0.07959207293262305,-0.12009935520613568,-0.02542071115555301,-0.033299758636617535,-0.017374329517953542,-0.01359426022364096,-0.000472526880285543,0.08167159337673273
TNFSF18,0.0047707964118073876,-0.013001086399831227,-0.015459764550442814,,,,0.031090914850843022,0.11067194730545071,0.028172007461699084,,,,,-0.024507770299510324,,-0.025150850463636572,,,-0.01990035907593905,,-0.006200264738167409
IL36G,,,,,,,,,,,,,0.027992136952197873,,,,,,,,
RTN4,-0.09648413428321412,-0.17249373131965465,-0.0052407929479633564,0.06049581523860996,0.010601127931060439,0.06540321175550526,-0.10176360686829372,-0.3140664868648545,-0.030476246026181427,-0.027187995394868773,0.007634262903319867,-0.04986233764076716,-0.023140208907922965,-0.0429919404230678,0.048341204443399205,0.00924712300245173,-0.028505954645231337,-0.006615831480256969,-0.02113440953416206,-0.02272440668114597,-0.0018543941281211902
HEBP1,0.015892427737668944,-0.0014552205824075206,-0.00591231011623864,-0.06242195712503713,0.03789630472243298,0.010813101940462934,0.018746055708265517,0.12890303224994576,0.06423706297048061,-0.017247191026985232,0.030649777343343402,0.001580416401955814,0.09628388036255417,0.034103889525000826,0.037396771250576326,0.07118963138760945,0.016938815535305317,-0.004985797656907937,-0.005470480494768664,-0.005224128933749097,0.006207517718298561
WNT7B,0.015110600134577089,-0.07465277377987406,-0.0220820224333694,0.061443166457324665,0.004264757810375585,0.02114047441596678,-0.04426300587608618,-0.07737278652497073,0.04474671782049785,-0.019671245926686665,,0.035900931114208716,0.019152301406053014,0.08325928926056318,0.03421661597762321,,-0.02950955764988637,0.03524238628820266,-0.041613260724947726,0.01543592330207984,0.040794482733946494
PTMA,0.02586106933412012,-0.06748805739720694,0.0010456141357985732,0.08496836872593616,0.05082602679300704,-0.054341563263956914,0.12700367611591246,-0.1635643857949073,-0.02452564536256044,-0.045154301224915386,0.0015472430053294914,0.1523096121279616,0.02527966875743561,0.005919824472911443,0.01276613538084567,-0.037832046382865,-0.06625265299472975,-0.0035254379146356547,-0.03969787499585208,-0.025329234282110636,-0.07583379108312636
FASLG,-0.03686756919417663,,,,,,,,,,,,,,,,,,,,-0.022373035301412457
CEACAM1,-0.03197627660729492,,-0.030442453505422223,,-0.02380713737428281,-0.023376156126597734,,0.07174994051727232,0.0021200323191909796,,,,,,0.10027642609327483,-0.032791527575517544,-0.026464643965279103,-0.0187637893835166,0.11361719532695178,-0.01351765766452986,0.049117869892807066
