,ZH1007nec,ZH881T1
BMP1,0.007827195547517492,0.050488647973579215
NDP,-0.067936726959321,-0.05846903149403911
RTN4,0.021060303192798068,-0.030835522640156585
HEBP1,-0.06002833309329559,0.03159079855428666
WNT7B,0.05587074194559388,-0.025860407247953292
PTMA,-0.06513902179361021,0.06300253202992827
CEACAM1,-0.02258632653415643,-0.017163928396483053
PDAP1,-0.05230372446535669,-0.020885059702902015
QDPR,0.07451750445090015,0.010109589385758674
POMC,0.12404638559418918,-0.014274529977222226
CCL18,0.02109973677597253,0.025186596182979398
VEGFD,-0.044238829448604425,
TNFSF13,,-0.01927394121925446
WNT5A,-0.04620679467510008,0.03587664872252918
CXCL8,-0.08170865760460416,0.02570726694016336
GRN,0.006313704753248514,0.005621836541125959
MIA,0.04803755979171188,0.058372688052136384
COL4A4,,-0.03459124812164298
TAC1,,-0.017285182758985253
RARRES2,0.04148423419384448,0.05330156150775645
FGF7,-0.06062420093769795,0.007035443230191027
HBEGF,-0.02021490504034217,0.020901207344516323
CSF3,,0.037998462337112654
PI3,-0.04524217306542037,-0.002152038568948048
PCSK1N,-0.009269526455706131,-0.07181842435411223
NTS,,-0.0051188747259548325
SFRP1,0.05463913062314842,-0.012087844879518257
CXCL13,,0.02536025812542941
MICA,-0.04112451689001137,-0.017459476373909766
TG,-0.06204542867504759,-0.020251804090095804
ADA,-0.016698963153378394,0.014377747304209534
LAMC3,-0.013993805045756837,0.02812536376905588
NGF,,-0.012694297101518297
TNFSF15,,-0.015280422662845954
HMGB1,-0.04752639586374682,0.08636894730379409
ITGB3BP,-0.04636614036786797,0.04116865053201207
AANAT,0.10884760343253329,
RELN,,0.02137510509692675
IL15,0.15143600120644862,0.04575226207537417
UTS2,-0.11753811151213052,
BSG,0.010582985424425862,0.01775148530501591
ADAMTS3,-0.07292864186691866,-0.009987704832610434
CD34,0.038190323552483585,0.008113394586435662
PLAT,-0.05829952080300272,0.018042609555272166
NTF3,,-0.021519547968037206
CKLF,0.0930943679920652,0.028951306011081906
CD24,0.04044083687396937,0.014808103697602019
HSP90AA1,-0.037828003234515434,-0.01279419169125343
BMP4,-0.0404164360862021,0.06872600387476983
SCGB3A1,-0.044238786444469595,-0.03173261622464486
IGFBP4,-0.01905124086395272,0.07602935087353789
RSPO4,,-0.021370566561384606
LEFTY2,0.020333830670147948,-0.02906255865886727
ANGPTL2,-0.021324222149220414,-0.0013488671056176558
LRIG2,0.056446067553719684,0.018546860953303265
ICOSLG,0.020656432541599913,-0.05322486453155741
WIF1,,-0.019866011612618067
NPPC,0.00904749981075937,0.00870845197879897
LYZ,0.023375476795327952,0.030587387516142747
EREG,,0.07647252983939726
SPTAN1,-0.024770862065118388,-0.05683002880033293
PTH2,,-0.03398632026463856
LIPC,0.04352083039254062,
COL8A1,0.006912554070212693,0.030891089411906263
GSTM2,-0.03035575866887357,-0.04537056121198214
IL4,-0.038088320148664194,
SPX,,-0.02245242533343431
MFGE8,-0.011104633976532866,0.09381660143546793
TGFA,0.06976157098542993,-0.01975612712354125
SLIT2,-0.025448239111379535,0.00584711271687205
PLTP,-0.00651725206004527,0.07594543922927763
APOD,0.07560072439764859,0.012414029106251112
B2M,0.020740704222866908,0.026279004879795547
OMG,-0.08001339942017921,-0.007698524500046117
CXCL3,0.01063553646164588,0.008743258396307598
CXCL10,-0.05486655850942699,0.06687429468509913
RSPO3,,-0.045125356032168
CORT,,0.007713174690995149
NCAN,-0.05809054445745382,-0.02786621385984008
PRG4,,0.014380344068657768
TGM2,-0.030670903723265187,0.086757470097233
VEGFC,0.0068194831608439565,0.016599433064597546
WNT6,0.22194245383008485,1.6023163177759223e-05
NRG4,,-0.002211586378771028
PMCH,,-0.0162481340375146
COL9A1,-0.052768315060726365,0.09951194699484038
GDF11,-0.015878801583325945,0.009408902974466385
SORBS1,0.049840194066425154,0.06953719579595176
DLL1,-0.10056880076888795,0.026332670461532502
TLN1,0.018849673545428783,0.018677743198015757
COL2A1,,0.01163195454910714
SHH,-0.06849176103628954,0.02853982682085048
PON2,0.003080363908994433,0.03707098373000199
ICAM5,,-0.0040527457229326555
HPX,0.03659140223002293,-0.008396055851222632
SFRP2,-0.007452049928013483,-0.011832755386611335
CD70,,-0.010162654849296213
HP,0.0651134578267031,0.06473625891986244
CXCL2,0.07631833958068704,0.05607580218051813
NPPB,,-0.024284515639380715
CCK,,0.0025895683621313496
SEMA6A,-0.05974910011703185,0.03852250083108568
IRAK4,-0.018485441611586228,-0.03296325228813624
GSTP1,-0.02912923743091901,-0.0033450247655343727
VCAM1,0.026732900109794486,0.05990165967434395
NXPH3,0.06375135542166013,0.004621800726979043
MTMR4,0.1678484397593436,0.02163797625885546
LAMC2,,-0.015771348431845234
IL10,0.04141231780497931,-0.029263814535589187
SEMA4D,0.030491915297377006,-0.023239913148654815
TRH,0.09134836375701126,0.013220921119197081
SEMA6D,0.02240807555879707,-0.0231936362573236
CEL,-0.04878694449015828,-0.03992391893182613
PDCD1LG2,-0.03671633102145319,0.04924017149495403
SPINT1,0.08056580590997758,0.001453372880445936
CTHRC1,0.013757055959732048,0.018363787783770073
PODXL,-0.04625237734918013,0.07983741116921188
JAM3,-0.013933368770751775,0.06882636984180766
TGFB2,-0.005834455391782968,-0.0026034229634414358
COL18A1,0.013004729376741837,0.07721463632580308
NODAL,0.02703064536392458,-0.018035719804809246
INHBB,-0.03248439295819506,0.08757329642574098
ARF4,-0.08464849488556728,-0.0036864473146498693
