,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,,,0.06795553232216858,,,,,,,
BMP1,0.11690182866887074,0.04614113814628654,0.10292260139809536,0.05070494675994225,-0.007447466042880127,0.0745674657277576,0.17115658988095886,-0.01642504211518066,-0.03406757988772545,0.02842973477216062,-0.0015416599228406077,-0.0005866477114464515,-0.01542465855688849,0.012525852382335171
NDP,0.12377580233082959,0.11789070309701893,0.02227436093012273,0.09527715549932052,0.024080075657472638,-0.006032710880032815,0.0037814849440944284,-0.007962392643328979,-0.006311447368060595,0.042446859625454095,0.05351129451717718,0.0651364973286452,-0.03064750922029566,-0.0036108124360605984
TNFSF18,-0.049208675564258314,-0.012186154392433755,-0.05298047602254775,,,,0.08786942864844113,-0.015670681197124652,,,-0.013753349418584073,,,
RTN4,-0.10083843670657976,0.006945383879183492,0.028410195198872477,0.03754892722362049,-0.024555511389680762,-0.0457553609491601,-0.2774441977287877,-0.014564727097982932,-0.019014724249371596,-0.004781519244751846,-0.05078884266198123,-0.04653609785359315,-0.006042293225184252,0.018672477411356497
HEBP1,-0.06611552067794979,0.06030527828806803,0.03725022550546135,0.06762148681380303,-0.00914676733961582,0.05788474022901819,0.0818242724668894,0.036317429016071524,0.022454708082570496,0.024650420274901663,-0.08886143272421439,0.05141995651145571,0.04490745345885894,-0.0030182798787624495
WNT7B,0.0586152216448576,0.04750855990283644,-0.008524142997249705,0.0829670444601184,-0.03303836469311348,-0.010122969138451107,-0.08244234196245503,0.004685132036992916,-0.03051260646778705,-0.0012599303306154279,,-0.012722999638754904,0.01881416659039977,0.021845461548562047
PTMA,-0.08964517603724799,-0.05473474406848018,0.056314593784448704,-0.041128632594869784,-0.0014520773299404235,0.03772670598459253,-0.10758313043667087,-0.014034560701117485,-0.004571079166744233,0.03671851783028129,-0.017830119462526023,-0.029909582169372628,-0.0005267687492192709,0.07112381702797026
FASLG,-0.013276826724069019,,,,,,,,,,,,,
CEACAM1,0.07576764905551929,,0.013655880434973804,,-0.013628039467586539,-0.019199663163455304,0.142430378642826,-0.024646248233426368,,,0.03629598520165486,0.07148341119225964,-0.0037126348201470655,0.05943385147957855
PDAP1,0.15766471820400743,-0.06699474569339517,0.0559855443115378,-0.015416766650588184,-0.0026741250992490047,-0.006583912763536199,0.1840698641915334,0.026039547525844177,0.030484552853121006,0.024462893242159067,-0.01058387625847475,-0.049300149337576815,-0.026635932380925702,-0.014061389199769986
QDPR,-0.21336181935013532,0.040926401866675094,0.022336448896496917,0.04900781692198533,-0.019333356183666404,-0.049045220631099506,-0.2712795041300576,0.014434106434863642,0.0414454230156198,0.03308906511640795,0.005037689579792656,0.034944740917805736,0.03449354764110135,-0.03528588489859543
POMC,0.009457879285963311,0.021685216570885908,0.007663924824692116,,-0.0025181517689598703,0.026826189062348533,0.03363895022511226,-0.0028023567508831063,-0.03386907965460934,0.06609568177813677,0.07946943214198779,0.002797263508726998,-0.016636489752328,0.018026934743658313
CCL18,,-0.04366370417714845,0.018078459833033356,,,,,,,-0.008536656356967742,,0.0013795337044424719,-0.013144014065955764,0.07215734460165593
CCL17,,,,,-0.02211211869237331,,,0.022785797374691535,-0.037766053270455756,,,-0.02184455779053473,0.06354232737575803,
VEGFD,,-0.06162707379545777,0.06856183263204503,,-0.024635342058390103,0.006938412648800727,0.1253727511902233,0.09934149711187257,-0.027701856794832575,0.03841893468003778,0.007300397736508957,,0.0714950121444038,
TNFSF13,,,0.03224118229657564,,0.004098716931172264,,,,,,,0.039551293160210554,0.0259237348580195,-0.021603859072730252
WNT5A,0.03740211638694127,0.05717339681753265,0.026689538858362116,0.10031209897770094,-0.02424775755304799,0.053541217282986026,0.18224340348058793,0.01725749495376136,0.0186890591104575,0.029379760356600646,0.06871183352782112,-0.029909471315840458,0.010532229177253279,0.0146864847717215
CXCL8,,-0.07174650680366106,-0.043950955923189594,-0.08394117262788779,0.042492364552565845,-0.06187148922913662,0.07469114401839368,0.018041002289126192,0.12449180095819946,0.048626850555401516,-0.04259911478860683,-0.015981819249520596,-0.008136608279338896,0.0060314507496906635
GRN,-0.201360085788764,0.048318010861931056,0.044911318275162586,0.05432427049358792,-0.0409904406513979,0.04946755129544005,0.202336485076478,-0.002981377986075239,0.0034905672926238023,-0.03930682910715012,0.026101191215406983,0.015204343347806145,-0.03156921901757499,-0.006626345552089427
MIA,0.0472875497611123,0.016934769243105892,0.021003467808213702,-0.06101030547977105,-0.015084304556263929,0.04085715117285717,0.07540858776448067,-0.008353325724670669,0.00789661921856355,0.07175333276232142,0.05032049633137976,0.1377114495052292,0.10158907166984502,0.0540327117225614
COL4A4,0.05361556700925952,-0.03997093946757493,-0.031113098701267074,-0.04059603161010513,-0.04719467570801555,0.09318748820272538,0.048608163505194035,-0.02040494829759681,-0.009841616515964767,,-0.018465580104549538,0.11310574659766646,0.009761617140441319,0.05205534061245727
TAC1,0.027739714381424196,0.012140920217803884,0.08204560378352328,-0.0072193414467201225,-0.015758749140064254,-0.006425160373859203,-0.137939459394696,-0.005201699267775478,0.02131832475484307,,,,,-0.011179191955787643
RARRES2,0.2552516771285638,0.04342416168311172,-0.046251251538794266,0.09198991584408046,0.035209140555372595,-0.013065714577841142,0.26032389372649195,0.04399957268176405,-0.011938025934496815,-0.010541867224773144,-0.057559615701111025,-0.011249417869183232,0.00245990855859857,0.012262279878473817
