,UKF243,UKF255,UKF259,UKF275,ZH1007nec,ZH8811Bbulk,ZH916bulk
BMP1,-0.022224199490875503,-0.09631846587258444,-0.06165381093014713,-0.03449409324760302,-0.016722389036982806,0.01709458210684475,0.027063097791441115
NDP,-0.056729952739049704,-0.026170319185443602,-0.08965516240027332,-0.023482406244261716,-0.11968314197010767,0.04162267748399118,-0.027088529124728034
TNFSF18,0.0706520268250634,,,-0.013868992070519847,,,-0.026996767011480505
RTN4,0.0577798255295227,-0.07382254195913251,-0.10074446013932846,-0.028040468924719796,-0.000974883908788791,-0.12004699221546829,-0.015478023438180133
HEBP1,0.012701128690731,0.00497773256180335,0.05428490855401228,-0.0024768535836857085,0.031042861609862412,-0.044427745709256575,0.033963212441504305
WNT7B,-0.04926493498221077,-0.03658296684095963,0.06522650987273884,0.029822907915626674,-0.020029355268025194,-0.03132425427509126,0.145655551310598
PTMA,0.15702898309916746,-0.1410318408183278,0.1337450444944818,0.13142179504461832,-0.010782598734471694,-0.02652078266154646,0.025739549091481732
CEACAM1,,,0.016817045502647513,-0.021812620460951816,0.00949720226445763,-0.01517514285656171,
PDAP1,0.02728418139909365,-0.030894603623645697,-0.064220017859014,-0.07766498189174531,0.010437178313811623,-0.04861447345436036,0.030893672924571722
QDPR,-0.042709043869630425,-0.0568464311630965,-0.07612945854917777,-0.0831908900684149,-0.11573914624836296,-0.034716704900761196,-0.056833563897087894
POMC,0.02664105354547858,,0.012809169579333802,-0.016092481664572618,-0.060744707255801195,0.02493980860931161,-0.028615491346501
CCL18,0.019848736543843237,,,,-0.037005158862626564,0.1434709652530202,
CCL17,,,-0.03148451322374161,0.01486961745648377,,0.11542529811420989,
VEGFD,-0.0033719309972022582,,0.17632370630699268,-0.018428845625748376,0.011762324305747288,0.22537698707378107,
TNFSF13,,,-0.021717312577523983,,,-0.02381136806056165,-0.029368631698116036
WNT5A,0.07450829080530559,-0.051335801236290515,-0.060638501177407295,-0.04995796613652789,-0.07363682348807879,0.014338706058918658,0.011919218964403101
CXCL8,0.20043598935041915,0.17608800873174385,0.26160912791753804,0.07163880878402884,0.12197078502340139,0.09402129031331223,0.06640972056162339
GRN,-0.10268947515364502,-0.12943879053842716,-0.09472220353317258,-0.11613408520335346,-0.13660992519998766,0.030901028623735224,-0.06969500890797095
MIA,0.05327818684507924,-0.0015251373545680904,0.12148017538568287,0.024411451326271767,0.0056122168169413615,0.09114543947568356,0.0853427994841287
COL4A4,-0.04083386701879325,0.039175112718380464,0.013838940654989482,-0.01805895114442526,,-0.024297776482192023,0.11504723668494084
TAC1,-0.06517543252810776,-0.07722309251559123,-0.01889302818446908,-0.048534773702009024,,,-0.02988278386408118
RARRES2,-0.0027461769243946055,0.08212224688123579,-0.12189627801610806,-0.0761031768351918,-0.0018038403092340526,0.10640766085998486,0.1127622768182031
FGF7,-0.03040465333381197,-0.008114656808839627,-0.0065063866468897886,-0.028074012416852624,-0.007680115372933967,0.02686296317242695,0.01805744045575872
EFNA2,,,,,,-0.014422957717905338,
HBEGF,0.017644809914196202,0.03108476918779858,0.10707496685992374,-0.008479301847548424,0.03021063233706531,-0.08129312322247852,0.00914347146936096
CSF3,0.21758552678608625,0.09489582700791639,0.3314145239951666,,,-0.004008769455710316,0.1966501923243356
PI3,0.09711373303210076,0.1392703093499218,0.24319014525179056,,0.022008177429441174,0.024989567815249795,0.09006211438839871
PCSK1N,-0.061743414754752514,-0.10577257881893436,-0.169615342625013,-0.06201422351763598,-0.011794985128276618,-0.04673521991044295,-0.11035314290406
NTS,,,,-0.02063025246391908,,-0.01757163702942938,
