,UKF248,UKF269,UKF296,ZH8811Bbulk,ZH916bulk
CCL23,,-0.013315042368818962,,,
PLAT,-0.05577321153025242,0.05657528548451619,-0.010788142319056098,0.06185770834607097,-0.09056803086806996
NTF3,,,-0.019540617935639305,0.00306310578240035,
CKLF,0.03711074624581275,0.08597917325531876,0.040343574297307776,0.06200319761220187,0.03721557818647335
CD24,0.01033542319531993,-0.014998452947170181,0.06031353715066261,-0.017582936150923066,-0.044258427331965014
HSP90AA1,-0.03520209409160614,-0.08751265893853011,-0.017385785554023044,-0.10240751568254207,-0.0850177700079259
BMP4,-0.031648738364162314,-0.0035266246810961304,-0.01306518985456718,-0.015579261763559431,0.0009278153832552538
SCGB3A1,-0.013758076373368958,,-0.010210821878369459,0.09776403342584966,-0.009885331784773398
IGFBP4,-0.0032299151468837906,0.0898820319552893,-0.037120065147377486,0.03274540436252057,0.014319271584434062
RSPO4,,,-0.010210820384805775,,0.18164632955487772
LEFTY2,-0.024701669332304946,0.061245653253414176,-0.011196289433016685,0.1288814135324395,-0.08457835868566345
PF4,-0.014271795743070376,,,-0.015583023060920636,-0.02574183647783568
ANGPTL2,-0.018650103441866506,0.03450838032638494,-0.002097735584741765,0.09147637523626258,-0.09224806492395456
LRIG2,0.004120928613549719,-0.024227778998174625,0.02627535299964723,0.04082786874425412,-0.05581678139195223
ICOSLG,-0.01239835393226898,0.018520697210635834,-0.004740671789475498,0.061388629126964904,0.0033227707795903667
WIF1,0.04288724207885549,-0.06160561400557006,-0.019214649862215945,,0.08396294985725528
NPPC,0.036468235218895466,0.029206831406293255,-0.01419054153026966,-0.01581379948625156,0.08730504842420525
LYZ,-0.008871541153316656,0.006565063047468427,-0.0006213290583434746,0.0166285620403655,-0.05115304619936468
EREG,,,,0.02135499171402619,-0.02963647936202847
SPTAN1,0.03372055888593219,-0.010474477406473198,-0.02106377820860218,0.06574799910040531,-0.016886878208456472
LIPC,-0.017472429256699538,-0.00541760688469325,,,0.011478104640257137
COL8A1,-0.016752214776057817,-0.010999742350439117,0.017221841992407474,-0.008495333894080154,0.011177111360201318
GSTM2,-0.02966792330324006,0.041021476055196585,0.04628191023991943,0.06220215657012665,0.06930624452609649
SPX,0.060068125469905476,-0.03179339009623727,0.019844806980054787,-0.01934831493012322,0.0596235588351148
MFGE8,-0.04105173288469686,0.03335335581976917,0.033009395222102805,0.034235523815613,0.013801808947972598
TGFA,0.06116299690181772,0.03509057307355666,-0.016168853142875483,0.05252613585223283,-0.008051770552940854
SLIT2,-0.007284744449389914,0.0019589228716722844,0.014715826114322048,-0.019237860535418448,-0.015756803960307226
PLTP,0.04479145280394245,0.1140464609313084,0.038286770166799045,0.07789155199626178,0.010211531702890214
APOD,-0.002981524454987437,0.026064670709509685,-0.03745600152551896,0.13210931136480997,-0.004463560780506569
B2M,0.003095538160218449,0.12315899969335255,0.03206892059685676,0.09781503009439674,-0.13479374304794553
OMG,0.03669125053320974,-0.03815951151298704,-0.016997094473923894,0.05183640947587372,-0.07197118022248972
CXCL3,-0.03524376991028645,-0.01536419423739606,0.014575915961819475,-0.038270299220263704,0.004801390017460224
CXCL10,-0.019376008867143017,0.07349167843449068,0.10166075622975301,-0.02090135138836066,0.003451701566022919
RSPO3,-0.01868859865129172,-0.019215339038419925,0.019221539142027205,0.011788882938997094,-0.06305280346009626
CORT,0.027377194554345067,-0.03325644928978288,-0.018425412954540275,0.15634749839844944,
NCAN,0.014911401059166907,0.06327682209809916,-0.03193344845397856,0.07485306436252757,-0.018235862888572787
PRG4,-0.020690505869203485,0.052179572209401386,,-0.007226234484265283,0.020290083430619717
ZG16B,-0.019078299477331962,-0.017971712595870312,,,0.1387820817903664
TGM2,-0.014748606170176426,0.007162257265277221,0.05053058633042964,-0.039373014821667045,0.045858062879173184
VEGFC,-0.026270713420448556,-0.02194631582510762,0.07444625615616693,0.018234951581022566,0.02488465310166618
WNT6,-0.02219835429848932,-0.016368870383497013,,0.12118405943163674,-0.02269170927448409
NRG4,-0.012671672619175966,-0.020733280509335338,0.014025582208129411,,0.04350197935186179
PMCH,-0.014604784631408147,,,0.10246677316511595,0.025329620221307542
COL9A1,-0.02007518634012413,0.05740382654307397,-0.008678760495991198,0.07372433987456184,0.08651684861271337
GDF11,0.018975597754312446,0.04079096371699097,-0.009204855456742659,-0.014728641996681155,0.01770352519927941
IL24,,,,-0.015334559680914486,-0.03815044743493426
SORBS1,-0.030416543539536125,-0.020947662943244176,0.056172081660306024,-2.3420583535522507e-05,0.06049272645502097
DLL1,0.016297052313975956,0.08921159891865449,-0.0320843752696361,0.11286901334044154,0.03654473497930803
TLN1,-0.0071286948976215505,0.07437590788747937,0.004914913521089156,0.024344895586816854,0.020326392933942786
COL2A1,0.018025355963390315,-0.01536419946600164,,0.048931318697505714,-0.030744658503464615
SHH,,-0.012078127628139333,0.036005317680524423,0.03515212380362934,0.05445609765265158
PON2,0.04503653810238565,0.0745503726133335,0.04001435105150422,0.024601574290858203,0.019723217206129944
ICAM5,-0.027382729400532532,-0.030023147190266747,-0.028663935313628066,-0.021916863927631206,-0.055857494188635996
HPX,-0.02456321484902695,0.13264467710512381,-0.01021082083740076,0.003849291246551715,0.08802412230022125
SFRP2,0.05828996004650128,-0.012262059322186557,0.014559518838132803,-0.012931009841278816,0.07556025629797834
CFC1,,,,,0.003433151879682578
CD70,0.05817594207663552,,,0.038510840106771735,0.03357646984945762
HP,-0.012590490287697657,0.1043749582545936,-0.040490438504349587,0.01845662149287733,-0.05145864510837485
CXCL2,0.011135435932320251,0.035837984572706594,0.026040124761900187,0.010582625009569895,-0.006510887168672584
NPPB,-0.01774925009172154,,,-0.035451467051170804,
CCK,0.02812334237004589,-0.08126330857271767,-0.06474777484058013,0.0223590179712445,-0.09080047731345635
SEMA6A,0.0393233240762026,0.035481131185391694,0.026846836968609192,0.0577960113015958,0.02310671776863382
IRAK4,-0.020139565194193708,0.03514221188053166,0.024804657115968038,0.035817511693226785,-0.020152836757127045
GSTP1,0.010867544364566637,0.08658117772929413,0.023156514569550313,0.04626902514033806,0.08213065583504196
VCAM1,0.003359280433012391,0.06361410490619879,0.06738020618466557,-0.021155663644281213,-0.015080079355799742
NXPH3,-0.024322938972007623,-0.03062316475281221,0.022413910539356863,-0.008364037832094731,0.036011875762603104
