,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.035694404132324206,,,,,,,,-0.02242928353085083,,,-0.03702084694781976,,
BMP1,0.040603361936973774,-0.028557184918253,-0.007524418688968157,0.01902407897113608,-0.06241094499732379,-0.05714095238821678,0.005321299373343582,-0.04971805027870972,-0.12849453031092337,0.014836679273611318,-0.029588842056437116,-0.0926819454164007,0.06701895114941905,-0.13614729244361853,0.09509225933834413,0.007094390013622005,-0.04990121911132547,0.00839715012809194,-0.0401787942127283,0.021708749113372006,0.020288107761227442,-0.03397561837555053
NDP,-0.01543185974834333,-0.0845264692658025,0.0007886975556226424,0.03127711965788839,0.0026168365266357996,-0.014529620296237618,0.04475832161863332,0.06381603896174447,-0.0807280157716593,0.0647821158581533,-0.01782417470941354,-0.029584808646373334,0.028809029552442685,-0.04424817425400809,0.10791606003068493,0.09297881531183608,0.05611219992490067,0.031524095357541804,0.09392933195517421,-0.0064541978930524255,0.005026077790602577,-0.028168915743268477
TNFSF18,-0.021409010545883053,0.08541671693294124,0.07173318268983417,-0.011933662906653604,,,,0.01907931023868299,-0.037756061679523646,-0.015781899433360173,,,,,,,-0.0003408167967216685,,-0.015243837166356853,-0.036327124338017616,-0.034680335008783154,
IL36G,,,,,,,,,,,,,,-0.020458399476901944,,,,,,,,
RTN4,-0.048418441962154224,0.1617837591072857,0.03674070536545694,-0.0021686255500461098,-0.12189285192827062,-0.0007724172040293999,0.0645695024871447,0.11673143641503671,0.1755844273801028,0.07830310384409771,0.05335996415193382,0.24278974437325815,-0.025560329206848868,0.1910149606738401,0.009153622200197869,-0.04042104155873108,0.0057612224874020795,0.023917605759130187,-0.038679955580172655,0.0035292369623199944,0.12574930160783737,0.11708834636057563
HEBP1,-0.01217359831041306,-0.001029587253193182,0.017311007418093827,0.00959385291504733,0.10663219881127671,-0.0425370514354644,0.006485944154300538,-0.03625708348873825,-0.05930026539806591,-0.01675564307507813,-0.04136257497809314,-0.11304861134978156,-0.00374534652126484,0.01894448821955015,0.03483922488691314,0.03340882000517631,-0.07178032132925415,0.014007957544688419,-0.03324166928959972,0.03023377486030609,0.06941306109697702,-0.08143092882549254
WNT7B,-0.018860667742066097,0.07049168010028174,0.027217799976192027,-0.020649631868913294,0.04615113040961188,0.033885608391126976,-0.0054267798510505534,0.031928886433333276,0.1248102143125029,0.017807143196985717,0.006517383992112568,,-0.02316405243963271,0.1304542534996517,0.0022581392716192424,0.06264675290312115,-0.04836863375628253,-0.05986698356630106,-0.03419852960568627,0.10466329140083289,-0.01669043599646769,0.20880152404039778
PTMA,0.046396358597721045,0.06529703962864483,0.026500372645790356,0.012717959364794485,-0.12175466318484394,-0.004963460564423673,-0.09768745249327597,-0.1157921579219323,0.0052708402077699746,0.007399689200697481,-0.0166946762884503,-0.30546775852402314,0.049752603386682026,-0.21890955002071524,-0.0606821290488539,0.05635279577795622,-0.06629939595175999,0.04265990770993126,-0.07472984349343574,-0.01773686454080184,-0.002721837291354776,-0.2356308869675901
FASLG,-0.018860673073928552,,,,,,,,,,,,,,,,,,,0.08889418537044406,,
CEACAM1,0.008682527796794194,,-0.04059118703032216,-0.015847350467665694,,0.07977737566713526,-0.001465948242855056,,-0.04155743498946502,-0.023899698803019065,,,,,-0.007397730413210079,0.08862163004693031,0.01249533944609854,-0.0027472990577644147,,-0.01258547892457593,,
PDAP1,0.030501958045794475,-0.0363866715942816,-0.017585980156563093,-0.006410453346765999,0.1768833187774604,0.037739320017867,-0.02705796482784795,-0.06784415086683536,-0.11532853372964766,0.03095055010537691,-0.018042046683174787,-0.017169720246954363,0.07721174882307123,-0.0887439950805328,-0.08122587235854636,0.011285531943615281,0.055113937301137006,0.05403873678805131,-0.019185613292394266,0.054713493426617556,-0.036643265146622084,-0.016418059602796662
