,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.021066327150842428,,,,,,,,,,
BMP1,0.01541481567656557,-0.024911969887682794,0.04304018409378574,-0.04492673360128234,0.020475472609028034,-0.14921926811133837,-0.027328806656497295,-0.023518620701182415,-0.05084961221833576,-0.1538197808486859,-0.067662594971771,0.018306535686434772,0.0016899473292252627,-0.010027876015051932,-0.003400253261441641,-0.059788816915222046
NDP,-0.010079248988978405,0.12209062577647285,0.0028847225498519107,0.09578751516649053,0.014122640383167974,-0.07727735256156636,0.03459402459239796,0.014558398466787166,-0.006818753295428026,-0.014327392128646343,-0.07660173732900497,0.09249642192653622,0.036021483062227376,0.05295757873298221,0.045802274889470515,-0.07856338536146099
TNFSF18,-0.01596421368853859,-0.013230946323787757,,,-0.01964579036119776,-0.031282863390529485,-0.015882542521870806,,,,,,,,-0.007490492870293836,
IL36G,,,,,,,,,,-0.02337562843982219,,,,,,
RTN4,0.10152694428999769,0.0035935628487598504,0.07000732894416992,0.07449414098120173,0.009641668260278064,0.20633392099168732,0.10150932450881285,0.02433775542164254,0.2312135204090259,0.20899373841837043,0.058193676671659325,-0.037589099849885475,0.039235163003074766,-0.14724560998556052,0.29394597203613293,0.05771643133980183
HEBP1,-0.0942859516431042,0.008213481427593592,-0.004864737345475751,0.013156467571522872,-0.005031370683713012,-0.08557877818777607,-0.012711544352831323,-0.012991887394438784,-0.10158145055163713,-0.01986518125309381,-0.10236116903701141,0.020832318888651648,-0.0031174740789793516,-0.026192979079546392,-0.012678687796683234,-0.10071025353136223
WNT7B,0.055427353361948595,-0.008577762266894549,0.008716031500760337,0.031102689996036787,-0.03818725156656779,0.10711204148402104,-0.01076914092377373,0.051965572705951354,,0.1370204816875242,0.0076687674061101906,0.0020069270510662436,0.02725996498531621,0.036717639189113416,-0.027642712479282464,0.18731299890530348
PTMA,-0.022465470831194753,-0.05985472951863801,-0.018229303414208895,-0.09657405912221659,-0.004951935202798363,0.025482907103868604,0.04280940983070104,-0.10298660386543218,-0.2871380270933675,-0.229943487854065,-0.09043623668393809,-0.011479662657441037,0.03204515101740315,-0.006295320808794538,-0.09868272214759173,-0.28777369082737314
CEACAM1,,-0.02198276815659945,0.04937017958917707,-0.02717292537339525,,-0.041166466483263484,0.07712187323177547,,,,-0.025703323504045444,-0.015127374514891436,0.05223256163012756,0.10148491444380307,,
PDAP1,-0.038649904332264756,-0.011312768234617743,0.03068094081213926,0.010703307052062109,0.013474555099069769,-0.15205581175661478,0.03440572528608356,-0.03165936359447024,0.008250716610725758,-0.12637129205590036,0.0522644152839385,-0.028198264017820805,0.017992180958359173,-0.04800901207932628,-0.05960948667846539,-0.025343958093620982
QDPR,0.10239679480240442,0.06180819692681595,0.0528505698663415,0.0958631346818946,0.04686503145212978,0.03496908507882308,0.04424869481487349,-0.010070388985730691,-0.2242734557105344,0.07904131594979688,-0.07954271216002365,0.02237724589231635,-0.011374434036791534,0.04972877904791505,0.14219717375101268,-0.10420685973389553
POMC,0.06144598030952817,-0.006268508960123865,-0.03374696076412458,0.017155719917842614,0.024527957193345103,0.03518610084394571,-0.018428846380501296,0.06703966549709402,0.0012079258865875888,0.08961129991643076,0.04556595637786566,0.03122391382964535,0.012415106838123836,0.001985873718716051,0.0870101466587498,-0.036352964738610424
CCL18,-0.044903074853804334,-0.027432417638972372,,,,,,,-0.08919793118434856,,-0.04194786855658047,0.03702151725960347,0.0046787994048230475,-0.04749546506142221,,
CCL17,,,-0.02100440682208378,,,,-0.01980862276082066,0.02870957077427827,,0.011765218269385891,,-0.03642115138971343,-0.025589542894030502,,,
