,UKF248,UKF259,UKF269,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,0.1915260909296168,,,-0.020120867421295492,,-0.01619048947672233
BMP1,0.03808702764356727,-0.02504851173355754,0.046546490848458286,0.009306871547158398,0.014453785728914339,0.02784806825723812,0.0008212889307364031,0.0548231549805719
NDP,-0.005823766704802584,-0.010292023120168936,0.02615214915141241,-0.029632056889060135,0.06896642617561714,0.0333843675849922,0.04190489838270072,-0.011290239516751607
TNFSF18,-0.003060964557858189,,-0.019648795763506144,,,-0.020750295417415614,,-0.027310461184832283
RTN4,0.02385732680667381,-0.022462963791510648,-0.016702972369297856,0.01123616964170683,-0.0316908069662267,-0.02500676516649219,0.06510030111173772,0.062469232704143875
HEBP1,-0.07123875412146732,0.025557429128933943,-0.01871225210192309,-0.021051341240656257,0.03524982538952153,0.03571046862370292,0.011116386569111963,0.009457330530440422
WNT7B,-0.023800987769316245,0.05271426433929651,-0.02140849018979088,0.02056948075459996,-0.025971376147911625,0.008043225693651995,-0.030236267321807123,0.05858385986835195
PTMA,0.053764794863396664,-0.02850320496944039,-0.028558478560442614,-0.03787391947189329,-0.00046786088079135306,0.028046740081148,-0.03239438053281916,0.002937747923076076
FASLG,,,,,,,,0.0727399586587222
CEACAM1,-0.017746282655050863,-0.023472158028063374,-0.0258566961130464,-0.01876377932372706,-0.021442931476069294,0.07523084411998769,-0.0015000811097518748,-0.0195373889532971
PDAP1,0.07584442205840444,0.03511987143189555,-0.028955054524751982,0.013558633668432215,-0.005108895651840239,0.018621465250236485,-0.014925864708494578,-0.023577014569812597
QDPR,-0.000750560737445414,0.009974291378685628,-0.06251216704932193,0.01684264030319959,0.054134277933959724,-0.021917033545515913,9.402147371791047e-05,0.014026589485174351
POMC,-0.00934921347191391,0.02978487824514559,0.01833212717290056,0.019301050639663142,0.12419851750348276,-0.06448593689077481,-0.032829021324806494,0.03312952342278741
CCL18,0.04062883638312794,,,0.029603697420504352,-0.036898784068921595,,0.023413442940528478,
CCL17,,0.010471048377993071,,-0.013311993237736432,0.03994883928727882,-0.026528201412687212,,0.05104258855272907
VEGFD,0.039768983385726625,-0.007387304169107619,-0.02216678049549199,,0.05779070952372187,0.008732883132735448,,
TNFSF13,-0.016711849114023753,-0.013205444505269568,,-0.025543715531155885,0.06437599013472474,0.06088765253077829,-0.022535300139030028,-0.02073840095892974
WNT5A,-0.036676845607019594,0.024209986370234967,0.017092379906585763,-0.013424669818251874,0.05802618887423227,0.04699320288604806,-0.008224394302278002,0.03566403264940366
CXCL8,0.014226891582983993,0.013179621454609344,0.010952469351738253,0.011103886243247508,-0.07429495287553327,-0.01084617015279168,-0.012202111834696085,0.003243549483185901
GRN,0.05248831062266446,0.05033610669323105,0.05267896411773886,-0.02028105187970289,-0.04955127058704801,0.05055833261114123,-0.08185721352563768,0.0804040027380348
MIA,-0.028154632080739567,-0.02491567483011079,-0.03779780018359568,-0.004629812802572424,0.06625677676899488,-0.04880639277257547,-0.033402081056302296,-0.009330994036846717
COL4A4,-0.0012430874701646404,-0.005186101370453813,-0.01303893685481269,-0.02260442926405335,0.04831164093599103,0.024602227606505045,-0.002293509867232515,0.011965783476629249
TAC1,-0.07062075471451268,0.011975456995155861,-0.03723759283153807,,,,-0.0346234489791866,-0.01673159457461567
RARRES2,-0.03857828178502404,0.03231456983335753,0.04125535681521633,0.056825405049724324,-0.05604024254738457,-0.003744094779193385,-0.01933469033651222,0.0135346768768409
FGF7,,0.028858126371870112,-0.016205348735446566,-0.034746156362775275,-0.05805740819388769,-0.03915492689883531,-0.04327956297645872,0.006423229164752197
EFNA2,,,,,0.06168769019804853,,,
HBEGF,0.07712712768258125,-0.017410479877106047,0.03412924156259712,0.02992980643586765,0.04712672716593985,0.02092527243674902,0.01760069731492252,0.09808555067267848
CSF3,,-0.02281856932752518,0.014095465326871011,0.07762640027026774,-0.01572430212469973,,-0.02877057819975557,-0.013400095363186905
PI3,-0.02329819328282602,-0.03937796151884523,0.034265599848690084,0.007557008783273688,-0.07810100336945683,0.06560183222162312,-0.04020170424847908,-0.029113955478943836
