,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.05634133373333082,,,,,,,,,0.009442949649115465,,,-0.0031052932113689873,
BMP1,0.05750576141718581,0.0848690709259306,0.03131689928816701,0.007061213064833288,0.021446630023309043,-0.040432593498658166,0.0009825106483968653,0.0066743887281816095,0.1401364346735736,-0.04358485220361166,-0.026909820749394745,0.017509678285969995,0.020420349227991755,0.09652556325749134,-0.09763258094157898,0.03936163214811404,-0.0303834178069757,0.08268864622329959,-0.014380401284981637,0.041715484573626914,0.05075986159083696,-0.0003015446084166695
NDP,0.06171966661558499,0.08244197984318888,0.0190075541341588,-0.013962269304187747,0.023628096706845087,0.028169478588440305,0.022121254293350146,0.01427204676301477,0.05100114672427038,3.74082389885908e-05,0.0456609892072679,0.07375016115389642,0.04853520209799081,0.07945064232637122,0.028009422903822998,0.06704198156747088,0.11274303700994152,0.0853915252092339,0.011227190776446053,0.05539296930069993,0.03716298704919845,-0.0031313862506504382
TNFSF18,0.20372347446138336,0.029124937211487414,-0.0319509631878117,0.0018782486316260341,,,,-0.014292937066674517,-0.015463943229470664,-0.022850208510861385,,,,,0.028401760054527284,,,-0.02034570220365036,,0.08225082597790598,0.02232885801076081,-0.046987437191300496
IL36G,,,,,,,,,,,,,,0.04162980069284127,,,,,,,,
RTN4,0.012662591183289768,-0.12035315267991745,-0.030261825559194964,0.04705700686029795,0.01810880634746457,-0.041202036614978885,-0.026700557165826914,0.012700033413743247,-0.19876590953249368,0.00790774055113647,0.03002737292053063,-0.004431364876895834,-0.03532829824080667,-0.14496036250812544,-0.04334543545610449,-0.042734671529278324,-0.07476352175671695,-0.07613970639864613,0.15778302695047855,-0.0250720044821884,0.042101625577847565,-0.062385904018379554
HEBP1,-0.049535181277066354,-0.03891275471921415,0.06574003341449906,0.0013845065997780898,-0.019890136749749942,0.01855536815004643,0.0801421754391649,0.04951741592614958,0.08214156624971794,-0.03333450966151668,0.0024671970934303194,0.0843918285570882,0.0353797967862718,0.027937517161152448,0.03563570427205403,0.05603626974739729,0.07856848946722797,-0.004724804556273755,0.0026084441833583434,0.03884461821563546,0.028715981869345965,0.04588377908967816
WNT7B,0.1434266269289648,-0.042389928766993164,-0.01386728001994527,0.003168888952264927,-0.0488005208702663,0.051226499354336784,-0.020829683575514454,0.04464147141073356,-0.08813989033158745,-0.024138427343812476,0.10031967383364677,,0.07363562163483595,-0.032995077787064446,,0.05159122505350894,-0.012956588098823532,-0.003202273377458046,0.058027661788658605,0.021376746583193277,0.021899392229552596,0.10533211936033869
PTMA,0.06874863331456996,-0.062415885156235446,-0.04353936969852334,0.013402555376269812,0.02013942432066622,-0.021877731919335786,0.05957089989816013,0.030000163993853,-0.11924668069336564,-0.02511449521868466,0.00242427894092031,0.027140096266456703,0.07027462576664517,0.10703140479109437,-0.019150078806231447,-0.11397669970549514,-0.03955585129354189,-0.07490014040093966,0.0229282397656619,0.02930749293156268,-0.07589632305045396,0.07320220586768948
FASLG,-0.01973637193065001,,,,,,,,,,,,,,,,,,,,0.03728987754887743,
