,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.021683678902840686,,,,,-0.02941802028814948,,
BMP1,-0.003188604993037378,0.01793046974953704,0.01995308240934553,0.017988775462964915,-0.06040751222624223,-0.02777136813398082,0.004633232703547336,-0.06877013487323766,0.0353861754182256,0.12698222700924708,0.0369269008030297,-0.061071746677454006
NDP,-0.03784732740784197,-0.006799134440925391,0.029820680617083945,0.015650880277522407,-0.04187943011944285,-0.0029053549594050118,0.006864103530024758,-0.11108639769648092,-0.023766770069298407,-0.009441452983981599,0.004265897341404508,-0.0365851384185351
TNFSF18,-0.016405456414660978,0.03294649935685768,,0.07922736040536975,-0.007058528994030053,-0.01262208878819351,,,0.005011363268190756,0.1384315260986451,-0.0026061907912826865,
RTN4,0.17488464631156586,-0.05201558626325858,0.03361046285796915,0.008761154718545308,0.0530712732899601,0.010941353866860603,0.006842883253804149,0.16101308103177164,0.04123513079510117,-0.04736150469570939,-0.05071893000470824,0.07885271465965034
HEBP1,-0.02664392292976076,0.0017284949805910512,0.012695076255511353,0.004592111218559186,-2.8620544631945917e-05,-0.02783087975164533,0.009629833532436294,-0.034302206121359737,-0.029248540746220533,0.032157110352366,0.05458165184709043,-0.07041232796802262
WNT7B,0.16344118368832075,0.06408140893215696,0.08903193294409566,0.00780694376933109,0.036163840722826524,0.015731009753199666,-0.028729753891240228,,-0.026980671978573748,0.039899072932862496,-0.00029337489848752266,0.05371875736921378
PTMA,0.006575243887292417,0.006350862141593408,0.009301211689021177,-0.0034765728022529575,-0.012268829297348745,0.024094466369751866,-0.0016975819623758718,-0.13525478842659466,0.05762079060136581,0.03837511844289999,-0.012031180999609387,-0.13972413018757357
FASLG,,,,,,,,,,-0.009611069275438864,,
CEACAM1,,-0.020060546290942262,0.005342954966476279,,-0.0056132432863960635,0.037515097523145594,,,,0.0005593333585737892,,
PDAP1,-0.12669446330815812,0.030966995631689594,0.0056820146772447325,-0.016957086397960196,-0.00238346877582828,0.014198833353131789,-0.016079482561763,-0.03626490948269667,0.004662699774135551,-0.016886957952313816,-0.048192464704987115,-0.04726153104811256
QDPR,0.06928946483540606,-0.017562732722591283,0.07515717633413527,0.07124282016246823,-0.009548122299042379,0.026440825545976702,0.00556401805452797,-0.12020842486050856,-0.1096803874188648,-0.03759976749513387,-0.04650418230237173,-0.04633307517713873
POMC,-0.010708937230828325,-0.01798069378285577,-0.06741092084109522,-0.040585945091735,-0.0004167967128544937,-0.01464567369855005,-0.020177605611148636,-0.07467413624994292,-0.054380237039158286,0.03082354915691769,0.11288015715567887,0.08693015266652739
CCL18,-0.022001065978025553,0.03160244619701734,,,,,,-0.0689772739022053,,,,
CCL17,,,,,,-0.01574220216408139,0.014073454427066001,,,-0.023125791867470175,,
VEGFD,-0.02478877078108027,0.016179549333113413,0.025739463427839806,,0.0066456220318628885,-0.016771984912050553,-0.015947259260020344,0.006046288145639297,,,,
TNFSF13,,-0.018891213967207887,,-0.014919215682513417,,,,,,-0.01340369990696212,0.03332272789410055,
