,UKF243,UKF260,UKF275,UKF296,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,,,,,-0.017760860888991783
BMP1,0.07199096763250297,0.032509734096716675,0.0037222438602607173,0.007119178657463128,0.1285724035924787,0.10019972744617062,0.03354196549122873,-0.0021848848467297846
NDP,0.0007333061010942421,0.015750943285032192,0.012506079680443375,0.024601338280907523,0.10411866398915341,0.11406345120003533,-0.01895099432372204,0.010609226140609957
TNFSF18,0.005098499417970984,,-0.028156527670822485,,,0.03119285314458641,,0.024721205273334722
RTN4,0.05862235204995139,0.016431277317124342,0.007294425415824768,-0.0337582961141117,0.03290852502559877,0.15666056777444254,-0.0026291652924233942,-0.01860798963257223
HEBP1,0.061295640017566905,0.041647020857379605,0.09881573400096487,0.04953205050344511,0.0436720151283902,0.05656290817626841,0.023738947358856274,0.011859536217053183
WNT7B,-0.04965489481212321,0.014337342795871141,0.01310001723156011,-0.05413418009371099,0.008022774434373086,,-0.012081173875926813,0.022338521946392662
PTMA,-0.08841517052540356,-0.062021484635876714,-0.00895309333421458,0.07566478789326968,-0.06242612869340874,-0.16120477696000637,-0.12153703123748827,0.0011142914435971411
FASLG,,,,,,,,0.0378637583843643
CEACAM1,,-0.018590621451169402,0.014982200501807572,,-0.0037790484899632043,0.002299534003394047,0.0908823197251634,-0.021432387688619946
PDAP1,-0.007915579182998298,-0.012419093757179636,-0.010582067446255321,-0.014411924821501328,0.06864513105440916,0.06225654475837375,0.046411283067931124,-0.002721771067848339
QDPR,0.02509336468547701,-0.014449016647665444,0.0833007370463075,-0.023090660350407338,-0.0029531918065137737,0.04288636771139549,-0.02168222706779296,0.017546348979281885
POMC,-0.02458112049016163,-0.00765178268516623,-0.014443889628386736,-0.009223878427004941,0.0069753994020147515,0.0891991778417537,0.03747928862030541,-0.020082488875491186
CCL18,0.05306138655610477,,,,-0.04142330731243568,,-0.027926438948108964,
CCL17,,,0.049161999726929896,0.025161588877671164,,,,0.10440601715115547
VEGFD,-0.03214591709898569,0.06633110035259743,0.023041728965090623,-0.030060141794420583,0.09641913172337753,-0.08232787257146602,,
TNFSF13,,,,,,,,0.051837365209252084
WNT5A,-0.050114715406512356,-0.013891438726228179,0.03610839576625534,0.04298867958264826,0.0407516610709622,0.10134656390183384,0.04800884959170153,-0.02922489133126102
CXCL8,-0.04008793547443025,-0.06794310755444656,0.02288843247019415,-0.004371107856034331,-0.1348705160074209,-0.13236215317524072,-0.021200132133780063,0.027280422556105875
GRN,0.07992025902223439,0.08610745745743827,-0.03732540497022554,0.0586719981429428,-0.03440677014537741,0.10934229275027624,-0.033981207985528464,0.01864047853723316
MIA,0.03372194109387473,-0.006721999318158392,0.0350588299652108,0.005440069639120227,0.025811553370725226,0.047803824335490706,0.1878616341951331,0.061045939463114055
COL4A4,0.038650337320597576,0.005029783680272219,-0.03666289194042219,-0.011692319867956966,,-0.06446434560763299,-0.035307744537619874,-0.009085185205774563
TAC1,-0.04052897295602586,0.032015636518270725,-0.03200389390709279,-0.019523764568351008,,,,-0.01835444963649847
RARRES2,0.02043645428566443,-0.038945057323310356,0.07224984323839484,0.031811802004998384,0.00571828261511656,-0.15090184101771495,0.04322314996431294,-0.0007053875419264249
FGF7,-0.010564245970387498,-0.034055886683869045,0.018510348584602168,-0.051983973911847545,-0.03706012943847855,0.03199597190703996,0.12067993565204015,0.026134760495123307
HBEGF,-0.004953669571478116,0.02579115463274944,0.03991829895432206,-0.02227066592250657,-0.06521956210967997,-0.06906591394383808,0.013019120412562039,0.03131653865538295
CSF3,-0.03236045007667682,-0.03457488086384525,,,,,,-0.014699816826845407
PI3,-0.006673845414382451,0.026428695635075727,,,-0.03225081652210204,,,-0.03193781842934765
PCSK1N,-0.09338944040964897,0.004781988231381207,0.027591988989371777,-0.08122079557690902,-0.0205735865997067,0.019466349389529795,0.036243117022368924,0.0070176427856473
NTS,,0.12058136367024117,0.05137591567014776,0.07320718297991125,,,,0.01622776101190877
SFRP1,-0.010661443992500292,0.07110735856934011,-0.01840032128690924,-0.040400154056360306,0.07118574372205992,-0.05330461563841914,0.08211495124529765,-0.021262581205440046
CXCL13,,-0.020108901611933835,,,,,,
MICA,0.0008884376178865286,0.02208190379388139,0.050071833662111966,0.04578007360655699,0.06269705986467826,-0.001821861628681713,-0.006461562967179821,-0.007969810839192076
TG,-0.02579644382020933,0.04275192255758382,-0.03537871801487907,0.061692167059719055,-0.03295511922258265,-0.03534652593970718,-0.04547077174907994,0.02822166649882594
