,UKF266,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.0159543114586244,
BMP1,-0.05037663463146569,-0.06318369626818854,-0.03401743900166076,-0.03967901794002873,0.057405844850428274,0.05930731210748339,-0.023591520709720617
NDP,-0.010323678852901355,0.10262993032786785,0.09169412300292155,0.030276099570766244,-0.023906111128142626,0.024201700225190016,0.0029020816688321172
TNFSF18,-0.026692722861754198,-0.012490944022069246,,,,-0.026912071092596482,-0.009434686612430021
RTN4,0.054091164015954894,0.08812512258635492,-0.007164700824393015,-0.05649543076929305,0.041983295093145516,-0.0079523728208605,0.06168477487678019
HEBP1,-0.06682542084111127,-0.010698024664140344,-0.016654011816657155,0.024549900256461497,0.04880235686609507,0.04637883357250983,-0.006956871622718015
WNT7B,0.030424895728283878,0.01471728743576523,-0.04106806974491138,-0.0344458831973965,-0.03977612159466233,-0.03405313295289665,0.02818276870096974
PTMA,-0.030444298247563,0.03922904663257447,-0.0570903017478957,-0.00580116760838377,0.024753760186366068,-0.025778432096245668,-0.08080099808732255
FASLG,,,,,,0.01653291222714939,
CEACAM1,,-0.01964527917868936,0.03463728349574966,0.08002986286325713,-0.011364646425007893,0.13148502888111283,
PDAP1,-0.03441078001624905,0.0009739559848735234,-0.07653702414685051,0.05226851652668937,0.06651854794729373,-0.0918141856003286,0.036136306290790815
QDPR,0.009424095932414623,-0.004318221618063469,0.0716330417072569,0.005755575505948958,-0.02160775868811303,-0.014781710831073137,0.029819691182020044
POMC,-0.04841154692785657,-0.014493503682623268,0.0013357526842128532,0.05018402506361115,0.012517857712205805,-0.003161240082160151,-0.03980851953450097
CCL18,,,0.0246880369985441,-0.02029376859283807,-0.036652037236343984,,
CCL17,,-0.015578639107622742,-0.02018664445574277,0.04251845094936614,,-0.012541839408873127,
VEGFD,,-0.016597722309747515,,0.031248368227282858,,,
TNFSF13,-0.010465205479832129,,0.016373443117255075,-0.026184297821785413,0.03325141513749987,0.10030833466700982,-0.030398160804197584
WNT5A,-0.03569385513800613,-0.0201934985980974,0.04609160636827383,0.03078006495077145,0.024018575342295716,0.006562759583248599,-0.012777150248824651
CXCL8,-0.036821686282534356,-0.01933636991683376,0.006960423143258742,-0.02772862508132643,0.029887500670309493,-0.007553995293181707,-0.0274128300325167
GRN,-0.07522252526399256,-0.029164665392275715,-0.021481957907345597,0.01812659519272622,0.048106505088566585,0.10740300716494937,0.013551938854319318
MIA,0.04036690718678656,-0.03062002123884916,0.09454785527766522,0.02993870197331657,0.03496476984180056,-0.02573570252902451,-0.05568482876383458
COL4A4,0.038456088325234096,0.0008183919513629019,0.041877598389135046,-0.026719179435584373,0.037702655223921674,-1.8085406663025703e-05,-0.03397454752276136
TAC1,0.06397570220712,0.032426522539911594,,,0.03509485016540298,0.08344893542858667,0.06548702062693532
RARRES2,-0.07978547327450862,0.06596749753755245,-0.00011215221822650472,-0.049187592860582885,0.06462040418347031,0.05564309687837569,0.04126893832297616
FGF7,-0.027528362307872624,-0.004871256949286187,0.042798604533431,0.017571224583307864,-0.02317530221360826,-0.003969341407413856,0.1120475572243984
EFNA2,,,,-0.015860282340608357,,,
HBEGF,0.019708253217242445,-0.030114369027493912,0.0016625550861633902,0.026004326207443265,0.041932950517956584,0.05112042376520404,0.05261909964716344
CSF3,,,0.0022238665921788846,-0.06927023391562703,-0.037847992433803594,-0.013204622090451642,0.021432859923331066
PI3,,,-0.020010541339399845,-0.022064308178984703,-0.020086167819471885,-0.028689256996918672,0.0525278102104783
PCSK1N,0.021287314049657544,-0.022729402872756238,0.041970539145091204,-0.014595966968427163,0.029938667992821993,-0.04286110560332848,0.013622138992846693
NTS,-0.004243601747539865,0.04095229203275418,0.012280704915176908,-0.019322744330551454,-0.04008423824536609,-0.019554244717614185,
SFRP1,-0.051716970108313616,0.015491580752286425,0.08691486938268808,0.033888905871880544,0.05685600781188729,-0.01909985360991929,0.04927029054107003
CXCL13,,,-0.04534334228961675,-0.04074958662454325,0.010440572624787389,,0.07638928171369548
MICA,0.015410761044270882,0.05100118179716405,0.006496763541058503,0.018016243160851885,-0.004516128566100313,0.04854696451502059,0.04223855797145657
TG,0.008049575686937118,-0.015694889350804608,0.12166669030136092,0.07911787047407576,-0.005483405584413979,0.07315250422940439,-0.031944743781963575
ADA,0.03847656138842482,-0.00551993199871348,0.03561063162157283,-0.01733261294216781,-0.0031632336998472757,0.022341964105955858,0.025424084446354998
LAMC3,-0.0356464202164449,-0.03947557546740919,-0.024571173245973174,0.003949333724114216,0.03776691375796995,0.03728442115003571,0.020828187354278844
CCL7,,,-0.03025512700505808,,,0.07475674204569868,0.01096377726922012
NGF,0.002530380381603067,,-0.010481343468254554,-0.015647093462841825,-0.027867288692659937,0.06384803375130874,0.0372189276318483
TNFSF15,0.033801235223597556,,0.0595292779808622,,0.041809623749335376,0.0462082655073977,0.1018578705355622
HMGB1,-0.008195040840556835,-0.03827285727433431,-0.047519237973390194,0.09913802119940904,-0.037248669343866295,-0.09615284655546012,-0.017640709246303843
ITGB3BP,0.0166075306391827,0.014821018262804369,-0.002238875285236774,0.011021129751172089,-0.01720979794248308,0.01301684060253762,-0.0076378248984934755
AANAT,,-0.014114505714397447,0.0394724826992387,0.09602892625547137,,-0.014640296514679007,-0.021821173813478655
RELN,-0.011205849818919008,-0.021446065462528308,,,0.023250411796533418,,-0.029600883398748664
IL15,0.04878467652416597,0.06453287629812025,-0.04862655052271887,-0.006469869086717834,-0.050858754309599796,0.062348794206967255,0.026705554535648417
UTS2,,,0.0148336750908906,,,,
BSG,-0.007794330323383155,-0.04282445940835624,0.10222594415739618,-0.05395916744948634,0.009339209754517491,0.018390789859154204,0.04642926456852749
ADAMTS3,-0.01324714814713304,-0.025954805299506552,0.041605849370898056,0.0680469325784918,0.021078934007500095,-0.06215565949585348,0.0008502547295451022
CD34,0.0763235997891857,0.0634870581092416,-0.03519714740110612,0.02049364182458921,-0.014578463173078305,0.0023388858134225456,0.05980446140538345
PLAT,-0.06256717258675748,-0.08557088721923992,0.048903158561371306,-0.015823811701507935,0.0366398083212367,0.020771968820664035,0.018905918799502357
NTF3,,,0.04425953171165651,-0.009703224777668665,-0.0249540401504414,,
LTA,,-0.013593739964506869,,,,0.0638432800808004,
CKLF,0.029565983590552073,0.009958461632798371,0.0014666164254127838,0.05486210733728198,0.11233007407647921,-0.03357198693092146,0.05659681660459456
CD24,-0.07653189336229507,0.07779972276605326,0.06987387831645082,0.054800075133508014,0.0014903368681906666,0.02693873421662818,0.00881253030846487
HSP90AA1,0.04635453063098162,0.09516376675675131,-0.051263550314099376,-0.056258943719436696,-0.01850922016345652,-0.06746295301273132,0.003200431509088259
BMP4,0.005486772605573802,0.05273044456824889,-0.005937950565288638,0.07731941062454568,0.04799078294300501,0.027370659736182492,0.06250885052587472
SCGB3A1,-0.036526265196016414,,0.038825301656159376,0.06751864681855897,0.09051795954776909,-0.029012833363994767,0.0851615875729598
IGFBP4,-0.013647495873102392,-0.05471779971908601,-0.05472884615432163,0.030575616243535813,-0.0029299317430070537,0.05747081114718656,0.0045589415529567485
RSPO4,,-0.01581034714454609,,,0.04842821489670471,0.06860517870199061,-0.027515635822400707
LEFTY2,-0.014515921261807,-0.030742098574121222,0.024630424653885614,-0.018236475119900456,-0.036562478431119594,0.03377971898587655,0.09801468163738927
PF4,,,,-0.01453704682366758,,-0.01970362820355394,-0.02155455450338069
ANGPTL2,-0.07248131854484448,0.007185651731382305,0.044767430144216414,-0.014722175530853051,0.006008423217920154,0.05015286130349151,-0.019826575119070704
LRIG2,-0.02093285115024729,0.011194547014026411,0.08505418406582523,-0.009902148876821858,-0.07548582140390861,0.0263928233062428,0.10145376448904768
ICOSLG,-0.034513692885894745,0.012567200810177367,0.01531876462822453,0.016893795526302522,0.06725725085210256,0.056635469110095385,0.002337924932606295
WIF1,0.048878274529682735,-0.012200470412582381,,,-0.030556088538281217,,0.013912904782878826
NPPC,0.08769526854550459,-0.023799241237079015,0.07307569652423565,0.0020649322310281686,0.015514923696442128,,0.049292583521714194
LYZ,-0.017308591846151043,-0.008409442475755192,-0.007664563276303325,-0.023587221750591133,0.03971570155384844,0.09721793041750504,-0.012642077566035978
EREG,,,-0.030121259341972514,-0.01064752572646336,-0.031397693981230865,-0.02975704266553876,-0.02481567739920896
SPTAN1,0.04361063245014917,0.007186820441610074,0.10729860993658275,-0.009091153384414158,0.014368470844740936,-0.09084382233717854,0.07732899054659506
PTH2,,,,,0.024742181469188083,,
LIPC,0.06982218427431704,0.019791035498983246,,,,0.1075544599742322,0.027886944193546554
COL8A1,-0.04229929794538733,-0.03903878052079736,0.011787208094312244,-0.060963970894912546,-0.026077109776262836,0.07733004200725255,0.06630235031454668
GSTM2,-0.02419698207975615,-0.00780145445145941,-0.02728294108220352,-0.018045844384826742,0.10762672185797635,0.02335729405001787,-0.012082783651233964
SPX,0.0039058856699396636,0.07774449121131714,0.029001459130773892,-0.018049601736368773,-0.03249016001599546,-0.050962951761290884,-0.025874345981034313
MFGE8,0.03997821654478031,-0.04886799168242529,-0.008136648239811896,-0.07222052914661992,0.016491047893199957,0.027194913059780272,0.018175181243281522
TGFA,-0.002384099616543587,0.0020587277838259714,0.01856524726004109,-0.015292242263352018,0.011794425634709877,0.031372643310677885,0.09754966623347451
SLIT2,-0.024542420138111084,-0.040685831565024054,0.0740414078587941,-0.01760418327871466,-0.0005874503910759954,0.09840159494380915,0.08652261096729157
PLTP,0.057258616331494594,0.011316101822428435,-0.02310225793407609,0.06164031124209743,0.029688356162158102,0.060635191481235355,0.01756165109611584
APOD,-0.07598076563919672,0.049477865878958846,0.055386968718817126,0.03965121677141149,0.030374829167100336,0.012880474162913737,-0.04635377834456304
B2M,-0.04846514204079322,0.0025809788123709763,0.009128884270713948,0.08693304742552051,-0.009187721165180442,0.0666790648878956,0.019595907895127516
OMG,-0.002367989556030954,0.054839554432741904,0.05605557237829504,0.017336867848328746,0.04006943177833101,-0.04574265771976716,0.00799231299360891
CXCL3,,-0.05206586945266088,0.05972292686191239,-0.029018563845710173,0.12350262063911552,0.03096302006611877,0.011004998856619687
CXCL10,0.08564754807279669,-0.0028116916796074934,-0.016993635345972945,0.04340574350277447,-0.010961559331685898,0.04903592652256203,0.06769306423948973
RSPO3,0.06464129940087832,0.012228069923885925,0.006615793213799882,0.012153720564297147,-0.01549522399513342,-0.014042015698925275,0.08254388407201818
CORT,0.04114465264083516,0.018128827929989447,0.0056398439429758565,-0.015212280639515173,-0.027148503922089305,,
NCAN,-0.04928266150973535,-0.060190624025141366,0.07522670191739322,0.015197866476945094,-0.0014972470468148362,-0.0687259663389595,0.011640174598571645
PRG4,,-0.020204996003825915,-0.03313773651521464,0.07229558766526174,0.06576912486927355,0.14316360010750068,0.08658866031980603
ZG16B,,-0.010801460420881075,,,,0.005498449595002108,-0.018388245622434612
TGM2,0.03457164362759938,0.010627944989277159,-0.03734255067951936,0.006435048066649711,-0.003925990905810005,0.07598718127324312,0.04181982787647051
VEGFC,-0.010924344958610189,0.0001861248849334148,-0.0277642577989151,-0.017096213495064766,-0.0340383270585825,-0.000465163679547003,0.03769503244524436
WNT6,-0.02934913785519003,-0.02403826490417358,0.08550240398916381,0.0599762619839199,0.011446364940939863,0.01832377493972243,-0.01900057459975209
NRG4,0.007160712972612534,-0.02075135438067597,,,0.09575922026821636,-0.014042017272700217,-0.028573949910246203
PMCH,,-0.015810346381526074,-0.030752253973857346,-0.0213436435853401,0.038773647299388675,0.0123058522073532,0.06126445275530782
