,UKF243,UKF259,UKF269,UKF275,UKF296,ZH8811Bbulk,ZH916T1
IGFL3,,,-0.012238778047691757,,,,-0.0159543155985036
BMP1,0.0867948592262433,-0.036239169404511565,0.047770036011491025,-0.013253834868135144,-0.002380198896159967,-0.025087381528591347,0.0659383794745052
NDP,0.05059606564389075,0.007834079640071413,-0.021327532874472487,-0.04841484695150408,-0.015091082452623573,0.055358995555890855,0.01775657076205357
TNFSF18,-0.019872599663920746,,0.02521798260932527,-0.014339158792368452,,,-0.02691207807583256
RTN4,0.014445209357737063,0.023865285964072124,-0.015342960884707671,-0.046918694370359754,0.029119247882247894,0.021843308444751863,0.031207803914187624
HEBP1,0.016566081866142494,0.0016455635190962786,-0.0016001094411253623,0.0030140674221473484,-0.03283542173632381,-0.04279963568790288,-0.012854804034436097
WNT7B,-0.02083207660783308,-0.022753995280856167,-0.042970526080570184,0.0077209188569933055,-0.012182918604271833,0.03398826541093664,0.10766958741668335
PTMA,0.01558434011851751,-0.02647650256108936,-0.08807001480781168,0.01793759000306939,-0.04442391759731241,0.029635162625630262,-0.08032224427553386
FASLG,,,,,,,-0.01383717247568876
CEACAM1,,-0.026274341079143768,-0.008133420241754917,-0.022552080704703267,,-0.01517514052058431,0.06709002171556694
PDAP1,-0.005652753796322383,-0.02478547202867641,0.0429369062762824,-0.030404739422114517,0.0008649451693675343,0.03828574724731705,-0.07316045361322165
QDPR,0.01777534623603462,0.036253689795807474,-0.05043397115809501,-0.1309179392168876,0.0057905654200023976,0.03255714895651874,0.06098810698311611
POMC,-0.03752278463779137,0.05899810395669073,-0.018549564166895273,-0.016638025948697174,0.062155695009388355,-0.03554993621061636,-0.0219268851228181
CCL18,0.03938945099538884,,,,,-0.012756087698603077,
CCL17,,-0.015228933061595151,,0.04626892568183491,-0.015079038019393616,-0.021906268028194578,-0.012541842663272431
VEGFD,-0.030027650888936528,0.053168831403080215,-0.02050323620578201,-0.01905359397741337,-0.011060656744448765,0.012116285238424894,
TNFSF13,,-0.01050457719230214,,,,-0.023811364395171602,-0.020435885794729956
WNT5A,-0.02709531450726109,-0.005377485286507505,0.046683654805109574,-0.04335613104747594,-0.015442717494847501,-0.035054831684879606,0.015775771792947074
CXCL8,0.016455698129005117,0.11840301390344057,0.07745653354474458,0.06229839727197019,-0.0103001644937747,-0.07598619750981837,0.004627057075265238
GRN,0.0640977922121166,0.02706333793300098,0.015727502889806396,-0.026374657499152587,-0.00875715237738498,-0.019658094347877922,0.06200755043272526
MIA,0.1110628445799579,0.0684718571853466,-0.0006396424950945092,-0.010404177536868515,-0.012579167694189328,0.027369015646026923,0.058611734644406305
COL4A4,0.046999727899405944,-0.020917860737148245,-0.012060407340654155,-0.01867115986272473,0.08729376354362568,-0.024297772741926956,-0.03683144920754457
TAC1,0.14091312442536152,-0.01946804573586009,-0.023233347032991486,-0.07407436135470696,0.008426686384586789,,-0.016487527489111444
RARRES2,0.1227200211293227,-0.006592443347952211,0.019557616531483316,-0.010890299804104983,0.0436521655434673,-0.030342686342222737,-0.014849848945099014
FGF7,-0.03738743663434015,0.01691144220712218,0.014305801056564907,-0.016947167812781078,-0.017887595451040506,-0.002532372680920343,-0.020703389334817017
EFNA2,,,,,,-0.01442295549771515,
HBEGF,-0.025449821267138087,-0.012726419814300232,-0.05316906190411564,0.011527666820294432,-0.006392184233039633,0.004556036873657586,0.009725598550124196
CSF3,-0.030228047142632976,0.029151036301663703,0.22820803365681733,,,-0.06815805734220355,-0.013204625516832057
PI3,-0.035809629476562535,0.04700279924445931,0.03914504847375518,,,-0.07643438304747524,-0.028689264441305012
PCSK1N,0.032665842521110905,-0.0748637039429298,0.007540923902675719,-0.036498510585267985,0.019346078215199604,0.06466450505281901,0.022722776964450266
NTS,,,-0.015683180164196456,0.08415940541060259,-0.04180519341654229,-0.01757163432454895,-0.01955424979161636
SFRP1,-0.04667251477415329,-0.013287832749183917,0.014032162645028769,-0.00903678720400251,0.06032267652392227,0.04005303911071173,-0.019099858566014507
CXCL13,,,,,,-0.003246586103332403,
MICA,0.007289583544455963,0.037263261243555675,0.042648805753125595,0.05260068104223718,-0.027052229925294435,-0.00038972325580087616,-0.015497236787724458
TG,-0.0004423260657914265,-0.01433967678409954,0.08253510548814243,-0.018017173900724756,-0.01091263433208606,0.01599147436768221,0.038966957168828184
ADA,0.030908063793497153,0.05910065286565563,-0.02317195620990007,-0.0347847506211561,-0.017722995749944858,0.006792011085137018,-0.01807701979450564
LAMC3,0.04054044014771177,-0.0689012994843886,0.0071828857017792345,-0.016020552884265047,-0.02157335454003383,0.01207040491851313,-0.011567816650413083
CCL7,,-0.01036756340398213,,,,,-0.01383716755535539
NGF,0.11689172247006716,0.10045629370542908,,,,-0.014229086710854918,-0.04142806261512309
TNFSF15,0.19108073372295561,0.03758484761957302,,,,,-0.013008760920790534
HMGB1,0.016819162065691912,-0.012459459781829798,0.009734414288262034,-0.030724575262773047,-0.005174423216785307,0.025390622669178076,-0.005400828655107168
ITGB3BP,-0.08228789132013799,0.04075308718853508,-0.0006580170433187,0.02032908628311682,-0.04468185119825239,-0.023197525188403626,0.014907921112957289
AANAT,0.004718216208095513,-0.010504578313435669,-0.011509575608236677,0.05336875712344774,-0.01257916839387475,-0.019409391705394883,-0.014640300313593126
RELN,-0.030027635303342955,-0.0182335955038965,-0.011261410691960756,0.016984079789693716,0.0004542060820003611,,
IL15,-0.030625592496972016,-0.019206167003385746,0.027462112442645587,-0.04595860471277784,-0.02703675531840206,0.06619139761117666,0.0015596979283880536
UTS2,,,-0.03796599580236586,,,,
BSG,0.04357330263529462,0.06275574246815374,0.015430748524422307,0.03375014676138404,-0.014600938392224167,-0.009264804685111993,0.05208283475699939
ADAMTS3,-0.04535045036816933,0.019520888674797277,0.0740464498930612,-0.03639956394761645,-0.010941006279506426,0.06619421541003911,0.06358720560460268
CD34,-0.018347442241563986,-0.01874979884579405,0.04318686331110672,-0.012179943696085391,0.027088706436613923,-0.041117519140255424,0.03694597484416891
CCL23,,,-0.013096070017298747,,,,
PLAT,-0.014990329069269554,-0.03901251815490179,0.054058713234480096,0.026509529343507,-0.018657173538943125,0.01151686070892068,0.046060668209401204
NTF3,,,,,-0.020305778605225866,-0.003029895792176293,
LTA,,-0.013287832127558213,,0.0566357252206125,,,0.12685439466428852
CKLF,0.060922698119308526,-0.03234334901242297,0.03030052529003478,0.0022561001195020498,-0.01405455633637701,0.0379225985492183,0.049034387244562265
CD24,0.012906072909786253,0.05245596568741841,-0.015664908745392784,-0.0012826409585393233,-0.05799975659992216,-0.010040801898443863,-0.014327694995968103
HSP90AA1,0.004437256189575725,-0.06080577640089544,-0.050430538418871726,-0.06816783766780403,-0.0034078304740660275,-0.0822735477803274,-0.04344908391169926
BMP4,-0.03769083337123627,0.01698223663872827,-0.0352542227034732,-0.025577961305410863,-0.03999064611382516,-0.011112716662456255,0.023605092040341787
SCGB3A1,,,,,-0.010610651573173155,0.0358127417381103,0.029279884970177847
IGFBP4,0.07752700101911465,-0.036183977299971345,0.043905282530260145,-0.0027902570473007696,-0.003727846962388221,-0.1176178870138527,-0.017152786164110614
RSPO4,0.034623517453168606,0.03613253896468484,,0.04168347554120925,-0.010610650021125332,,0.06945324456689918
LEFTY2,0.032429663888627135,-0.02969050525186518,0.07349415099030533,-0.030182819059848705,-0.011634707519264974,-0.01658380749099735,0.008340709459554809
PF4,,-0.009045494816796198,,,,-0.013219637261382864,-0.019703633316318647
ANGPTL2,-0.07807676168127163,-0.025242249429553273,0.07184618361366658,-0.005578349944393879,-0.011404342291022414,0.031292025858794266,0.06595988432780639
LRIG2,-0.09014053487842345,0.019423667908051702,0.014153930389176035,0.021197086260087396,-0.03485643048562117,0.036714898278606176,-0.017035489242896957
ICOSLG,-0.03769810103463834,0.005512696241311442,-0.03879062846159413,-0.015514235642498311,-0.02013703228712926,-0.0016480694211447676,0.06079746956279327
WIF1,-0.049509156455321106,,-0.04698037711292801,0.06551994717209195,0.03980229512151536,,
NPPC,0.012593353588619186,-0.014031793137994459,0.018499539163075354,-0.005781374863005839,-0.01474620687795007,-0.008987663233913349,
LYZ,-0.002290495759531023,-0.019773476441442582,0.01890072887141922,0.004032834528540046,-0.0038053994817095166,-0.022834151931487957,0.03803139953984115
