,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk
IGFL3,,,,,,-0.02719526940709479,,,,,,,,,0.08522697778295052,,,
BMP1,0.01832742723156124,-0.030378924361349112,-0.009996214682906103,-0.0712919551824239,0.013255989295245438,-0.07414806223311828,0.058277586298237635,-0.02110218414707891,0.04449256303986085,-0.03974989644050353,-0.1335943784800054,0.04989766054862453,-0.0324286839556424,0.014790984367239359,-0.039915331834192914,0.05330303915394971,-0.0002542026313056244,0.002004771029000755
NDP,-0.09027163379426707,0.02491171298127585,-0.01829340298708976,0.06214032502451849,0.02837686756584487,-0.042681901902752416,-0.015773540024854024,-0.060118011691949635,-0.009934597779045437,-0.024148619526263716,-0.062020114008239965,0.04943517338584422,-0.008271207101547634,0.001545590777034654,-0.06636213130898111,0.014311338740127433,0.0024923273544614276,-0.03986447485911579
TNFSF18,-0.027092478917888244,0.0058187664872245875,-0.0009505297396187422,,-0.02239754608817581,-0.04038415864517566,0.028428724020746733,,,,,0.022316881636183516,,,-0.012780487842753176,,0.06922709516183065,-0.01650110638625318
IL36G,,,,,,,,,,,-0.020403328073038598,,,,,,,
RTN4,0.20238631384049116,0.08275637700150174,-0.015688532716686507,0.09267951064316371,0.018523250397374215,0.06602120295992897,-0.023068900466513644,0.08236550801461714,-0.015710778596160952,-0.003650893667728485,0.18713124728818492,0.10356427406429575,0.056250913261885284,-0.07840605708570186,0.03247085945412128,-0.046698067176668016,0.009015125916686966,0.0682183647298792
HEBP1,-0.0537523723519997,-0.01616565749459531,0.08267077277121042,-0.01329658338109545,-0.019927611488401505,-0.020630202851254272,-0.02495145912422566,0.006678544887337429,0.007575237882069414,-0.021864871096684918,0.028281185961635126,0.04268350168935669,-0.04698089198542766,0.004026776543119537,-0.006622105415302624,-0.032141733316436355,-0.022176230520179484,0.0231745288731988
WNT7B,0.1729905874906674,0.043466043028027625,0.04297919289636863,0.0614663927144579,0.041256113549480215,0.10031673426800773,-0.024969674301731776,0.1325495533844713,,0.018960852847169127,-0.0069222521210121485,0.033841017005430546,0.12373709143568547,-0.043464384576402504,-0.026548724824891096,-0.00237092368016763,0.07637534486199447,0.08153206706597163
PTMA,-0.030091070291030204,-0.019134885438771353,0.03892400971871855,-0.07577827607678196,-0.057580192261613615,0.04188668583292877,-0.04475059307305781,-0.006029896340431689,0.01161389626942894,0.027997228763291616,-0.19556366273637824,0.024453898182125542,-0.11711880328225999,-0.060541547540205305,0.0377906131690679,-0.06477208057386714,-0.0298184861835694,-0.06338967098404828
CEACAM1,,-0.03006535547344236,-0.012898468860361606,-0.0260457579126526,,-0.0005786970116647369,-0.004377176649963943,,,,,,0.002779519070668869,0.10334591189695716,-0.029837418847865234,0.2079517583321811,,
PDAP1,0.011397549093131861,0.011886872295561903,-0.023078847795734884,-0.05270942169700697,-0.026116907279667194,-0.0664683134330217,-0.004881351574893369,-0.061648535083714366,-0.02617543189133038,-0.02386668184642866,-0.12134178476206926,0.10268397255157297,-0.03167567271100333,-0.05489484592175937,-0.07789191793996131,-0.0219058806215598,-0.06101988892074423,-0.07360928131615593
QDPR,0.11157907005525512,0.08952306971881072,-0.027837428763531232,0.10507245480008436,0.05226950826654586,0.002251968868099129,0.0020433285630918974,0.010404395233794087,-0.03599675258649542,-0.007967351486125238,-0.013400298216481267,0.011128359410108422,0.04124685477732049,0.0007162106662930792,-0.038257314927711755,-0.024441713902788292,-0.07192310869606171,0.06095987282971329
POMC,0.13402812643730364,0.011870800141784689,-0.022918521309635856,0.03354107840977166,0.018889468166898314,-0.0035529478948382,-0.02606747920596744,-0.01403387884053297,-0.004603112471837848,-0.00487363348928958,0.02394263231684821,0.08051798628992689,-0.04933239285879865,-0.017501509872492934,0.01900661676707749,0.04624237832559036,,0.058468383870986754
CCL18,0.04957792472585281,0.021019090749778122,,,,,,,0.07325699882391716,0.036007523065560716,,,-0.021523273260227807,-0.010093482941131519,,0.020755117807372846,,
CCL17,,,,,,,-0.028019163612047003,-0.02349888714629379,,,-0.018639019445008356,,,-0.02096587453378483,-0.024208006828863968,,,
VEGFD,-0.011881798729721147,0.057467645723836815,-0.01847446883083668,-0.01048762166179992,,0.057918776785986247,0.0853911223725485,0.0808667281465023,0.054789577272021335,-0.014805070774023387,0.06397278605892077,,0.1754484441148424,,-0.045094633945184676,,,
TNFSF13,,-0.0033792545840865716,,,-0.004972792789076428,,,,,,,,,-0.04023036410766456,-0.06113368912053997,-0.015179420936370378,,0.0016372264421252222
WNT5A,-0.00954144900882975,-0.01913618620576342,0.02039626611579466,-0.06740374311549811,0.03957105433930168,-0.007866433908132957,0.024091825644039253,-0.044030465366538,0.002198063865540324,0.07120842202284068,0.017521943353018772,0.05157461061082248,0.018281421791788162,-0.05231489456828409,-0.001999353994150125,-0.045847865736592976,-0.009131603794587469,0.019526455893073554
