,UKF243,UKF251,UKF259,UKF260,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.02454492412950042,,0.03543078377003217,
BMP1,-0.10224897295252115,0.009759066782495619,0.028776654942356112,0.009011151025437826,0.0036428252368123364,0.16273236895717103,-0.00021820511403842778,0.003951791247860156,0.01217931307466686,-0.004698414520403811,0.11361228164831766,-0.02089207186256701,0.12957584504946243,0.011875092285335455
NDP,0.018219156563055026,0.02563973162513715,0.05475869547746169,0.009281550110716437,-0.006435572885223562,0.10464221625989535,0.02922457339898432,0.1310173312967615,0.03604928016366295,0.0202137088454493,0.06290786457794689,0.013647184534543584,0.04822276364075246,0.004200979136244399
TNFSF18,0.1707126355501852,-0.027057275538606766,,,0.07192587710639704,,0.0411000320475725,,,,-0.00530427512690541,,0.07135392203762987,0.18061437272875677
RTN4,-0.09139467343563101,-0.000676953841710571,0.0035779366690223153,-0.0107283165007676,-0.050736809626844216,-0.07164513503940637,-0.015146833840567097,-0.04884019080109213,-0.046430978119093406,-0.004127178675775217,-0.08037403318321805,0.09896155460681054,-0.018384315129623262,-0.13564012644116377
HEBP1,0.028135080359015616,-0.01038376874121746,0.010962332304053907,0.05853024830660856,0.021239780409693144,0.04295883366438336,-0.008530373202937066,-0.017614881097793064,0.06552501851359402,-0.024985355433900402,0.08674439897248669,0.020852970329756512,0.0872744692597223,-0.046571678391616016
WNT7B,-0.04288204483294526,0.060772850268267696,-0.03132880513643816,-0.03858847494669753,0.009492867873960744,-0.009199445987402346,,0.04597833213941058,-0.050392238503231795,0.04361666036753562,0.04414876956411437,-0.02468256166513609,-0.02710588362290048,0.0740767556606082
PTMA,-0.002843535770870094,-0.013544280647790008,-0.05732664023940597,-0.058521247359166056,0.032385254967070266,-0.12054817939644565,0.020813934316153478,-0.03597555762644149,-0.052184106104430715,-0.04624922782440727,-0.09207242127022497,-0.031181438196144006,0.034175202607947174,-0.018285109015399415
FASLG,,,,,,,,,,,,,-0.004114306896660267,
CEACAM1,,-0.012898469699961005,-0.0389502192993696,-0.01412226260469434,,0.056237670427712445,-0.019347912122554257,0.07569387273505118,0.0014958223499675282,0.11470962753962362,0.07389301434810128,-0.02867814655108501,-0.012580350215603811,
PDAP1,0.006204917650417298,0.010471304107609734,-0.010810363167212506,-0.014225177784035275,0.04313381153431777,0.07598125983868334,0.04649745385072774,0.0433914618356134,0.007259581727874523,0.023961694569978084,0.015494266731816546,-0.009236385265589116,-0.0019827437275885635,0.012789860510455896
QDPR,-0.00029051490673396294,0.021425708670389395,-0.030880017691911687,0.03208673484477618,-0.052777622081263166,0.033759361761315027,0.013498283518172036,-0.04298507364552085,0.0332711248955318,6.199092472370169e-05,-0.09781920212180649,-0.032557954642638984,0.01504966607209791,-0.07722391989481438
POMC,-0.03469069042820611,-0.022918522801470033,-0.02832245819212058,-0.02841733188222987,0.03389241131238698,-0.04416526496858878,0.10213356520224061,-0.06923187020571026,0.035570373123318275,0.11666495005145963,0.04491410225324264,0.02777404057477129,0.062408771708562634,0.02721973390852379
CCL18,-0.024639277707627576,,,,,-0.0562289124809382,,-0.023230429597516505,-0.04579414661351101,-0.015770236064671084,,-0.020080178783745496,,
CCL17,,,-0.015008098045144016,,,,,,-0.02564230312327904,0.025675537343913427,-0.01563689399463079,,-0.028558134062775322,
VEGFD,0.1219614795629929,0.05325924989684707,-0.02938758592376421,-0.013511381283668446,,-0.04525870922840884,-0.05841342746702733,,,0.047151615575991145,-0.0032444354291191395,,,
TNFSF13,,,-0.018194694633371544,,,,,,-0.014547299652093377,0.028700850622625215,0.10141201694382121,-0.00835161103493834,0.07622050103889662,-0.032685181130711796
WNT5A,-0.015925974791621434,0.010495418780287058,0.013158069729059913,0.024055143003067984,0.10400391927388805,0.06868662012422326,0.09646269908664791,0.04873629565710884,0.032115563086803904,-0.0041850954596493505,0.07806138417692475,0.03311609410481008,0.022392018343954618,0.005992584103931278
CXCL8,0.04169506096509371,-0.017298398722509534,-0.03885753086881094,-0.09088545362197914,,-0.08040795383755109,0.09785306598261272,-0.04090082878037282,-0.003375532981136986,-0.01813960663531025,0.019657407580156067,-0.014899071773633392,-0.056194570362321096,0.00242648754947462
GRN,-0.03535510067112454,0.003961203836500947,0.029796625816269268,0.005437062291893089,0.08604356985214603,0.01660069926404132,0.1208652145858228,-0.08637701418821082,-0.006384221276293297,0.03107446054711274,0.15220187653636008,-0.06349297359304908,0.05127370026957492,-0.08383428794006302
MIA,-0.01303755111515226,0.022605139089051787,-0.020574615735938356,0.02608656759243035,0.05428538433454196,0.04367085416580181,-0.04990360320925281,0.06629533664251472,0.14558058603802537,0.04900567558442253,0.052688909280584735,-0.08321075781330256,0.01095450061459357,0.061415147233142425
COL4A4,-0.027946557431768222,0.06817769240160569,0.014124841341789627,-0.032655427520054056,,,-0.0035624924279773866,-0.029370521434986512,0.08942704428942927,-0.024161634863967087,-0.03961899242076606,0.07023890316939299,-0.01606403623332341,-0.036530639033335546
TAC1,-0.035000884442699574,0.0037302612937810046,0.01783298380202492,0.04745378550903965,,,,,,,,-0.0022163995732199793,0.02184297177774106,-0.038602594473896454
RARRES2,-0.008418472799326667,0.022611813733013894,-0.00787850585686662,-0.051254187728956485,-0.048984642931279375,0.05496589128194054,-0.018908230043455678,-0.021645556039594165,0.06656220828834955,0.029908359303638606,-0.04826680048140219,-0.013968967517940896,-0.027263427492101002,0.08140354671680793
FGF7,-0.006106688638235993,0.0731953460146428,-0.009006770631492198,-0.02587036567059241,0.0044673247361389995,-0.02454672664362611,-0.032624456749483534,0.057222591258219324,-0.0513004117639153,-0.02985011089191845,-0.036591170598751194,-0.010828987704110105,0.04771684497084169,-0.00502126423584863
EFNA2,,,,,,,,,,-0.029326075292682063,,,,
HBEGF,0.01671345476659985,0.044725421316766066,-0.005335189682739507,-0.07842739192191749,0.005048064166826968,-0.05258155688952651,-0.0027943985177836493,-0.020293184769766076,0.0305417675902929,-0.053028182529426225,0.017915126503182326,-0.038257007554976734,-0.005401835592206789,0.10503797921675004
CSF3,0.05769878977122206,,-0.031439827770967085,-0.03645428147065359,,,,,0.022107726812595027,-0.0368244822911642,,0.09072502636828951,-0.03006730955593415,-0.011094547224947997
PI3,0.05911981024602377,,-0.054255650753304116,0.028618989935000335,,0.031038270005474794,,,-0.01979021857216881,-0.0007884939846742423,0.09966290391396804,-0.027694538510014244,-0.04364606306247676,0.028241142366821684
PCSK1N,-0.005229410153004628,0.03124247689158173,0.004067375388752912,-0.025373821666622453,-0.013987169224224442,-0.04502539373428537,-0.02816401886688898,-0.041146353624255866,0.013168315520464833,0.007090441475241679,0.08782097626724453,0.07000358127014761,0.007404622355549017,-0.11077880589875383
NTS,,,,-0.04526147813283162,,,,,0.001601747637970824,-0.035728257727678125,,0.05782592850706418,0.09970963803044051,
SFRP1,-0.04314982955463643,0.010219042581684844,-0.01002949743334356,-0.015414146186514106,0.02418188087820727,-0.041295073329046125,-0.06473612316665417,0.03378529270112015,0.06818483127906554,-0.016785889672182672,-0.043116183948940304,0.017138311588695932,0.07704840391749794,-0.005975805699869314
CXCL13,,0.05500804039773096,,0.08063982421086041,,,,,0.13008561374992605,0.04145160854261409,,-0.03236345400194138,,0.0841159770510864
