,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.025112046452037438,,,,,,,,-0.015627190440929372,,,-0.022198080322879676,,
BMP1,0.0021581668629652093,0.0725240174610486,-0.004053032881928606,0.008667795700111518,-0.010824675737001833,0.04525487483895845,0.09978377011883183,-0.017427620854833487,0.03666355430759437,-0.11047511534826435,0.0017081879584169822,0.05704822874892397,-0.008764911557787204,-0.043536785834086905,0.022849778623553398,-0.06931713281078017,-0.08065061580265194,-0.04392054676895882,0.011800696737149723,-0.04743528910480621
NDP,0.023311195109877954,-0.04672219686491128,0.020791518085519833,0.021688468876524106,0.03273848519538515,-0.013745410277341335,-0.0015686728997705672,-0.02160179147040936,-0.02637529427650934,-0.01861402774501336,-0.047303053863778165,0.12012412815304521,0.03671870580354676,0.07400306129067095,0.04105725782872349,0.021313205492435382,-0.012114657568239061,0.06742211166088108,0.0898996986703407,-0.09441942002834186
TNFSF18,-0.0005717143774754599,-0.01898585845939241,-0.010032634214556196,,,0.006904139515742355,-0.016457386670966526,,,,0.0789311279486942,,,,0.06248987307821918,,0.02208144576699551,-0.026324167685208975,0.02528616131152129,
IL36G,,,,,,,,,,-0.02225462482512659,,,,,,,,,,
RTN4,0.015514266587250237,0.1259213452576205,0.03531342313685644,0.0008500999561196909,0.10049632252273409,0.08093796564123712,-0.10398030276249179,0.06297557182315362,0.16769614905975344,0.07446057127306911,0.07438314079180472,-0.13600488560099872,0.030201486687765105,0.028415189528793364,-0.08432279801688754,0.1019609084021839,0.04886652312312705,0.050777234331563545,0.12367233009026256,0.07798341875004401
HEBP1,-0.022910443566900612,0.03771802883729359,0.004698865714404228,-0.041638682911064796,0.03079277206837231,-0.02770466076468285,0.030642640493632637,-0.01016883342235475,-0.09517398647979683,-0.03317989916653556,0.15896984807622538,0.02416826799269079,0.08131273846843266,0.07338471507118233,-0.02102089927644835,-0.027773679247320278,0.029485890069871096,0.029268119453217518,-0.014474642859507345,0.00017178786356392682
WNT7B,-0.026936080866057654,0.11412580699889957,0.04776902268294165,-0.0021496349415158593,0.026582147988487938,0.04944905414636255,-0.049584496765568316,-0.014589466187466324,,0.04656422743589976,,0.07796344349787383,-0.011394179151108826,0.01014920471887815,0.06454555572390577,0.051385508671146767,0.01924433844643072,-0.019840276621603835,0.012040137840511587,0.030044718456376938
PTMA,-0.04499442257998976,0.015021344854004618,-0.025381748171349323,0.010434905932436418,-0.08086441374461496,-0.03908279117968865,-0.08859799647917764,-0.04183314449498674,-0.16158164600222522,-0.13246635886546584,-0.04498946814847845,-0.17457359633605926,-0.02508252895696111,0.04405056929803292,-0.023667241577513196,-0.019054197773615243,-0.014755415200214997,-0.08970778241628898,-0.1310088979662095,-0.12362338639107788
FASLG,0.009605116822617525,,,,,,,,,,,,,,,,,0.06826489860740557,,
CEACAM1,0.06328736015506746,,-0.01557393833371521,0.007338710448927995,-0.015610028430204403,,0.04201831123752774,,,,0.017318109101364308,0.05871347347967244,-0.013643668816884766,-0.01376196028260009,0.05186926477464223,-0.0660176061283817,,0.005518523098743181,,
PDAP1,0.1028657756410807,-0.013312933126593178,-0.014699300487336479,0.055364011389409364,-0.02208141494397757,-0.014210747311314421,0.10880707204870348,0.05726170626848752,0.01790573442017642,-0.10015515888787269,-0.016032204307657782,0.02571866617021208,-0.029154192289839845,-0.04745993530835958,0.033504166221787854,0.027740741735051113,-0.03853030791320359,0.03945960315832487,-0.05380504577434123,0.04434666195196045
