,UKF243,UKF248,UKF260,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,-0.024126902489926473,,,,,-0.02925845637602958,,-0.023395961081228316
BMP1,0.002016517449446897,0.06227492480408861,-0.009704620731041946,0.08429745546011318,0.04056399946857067,-0.006989681833218893,0.04623179107411614,0.005322338027223733,0.15396255759070201,0.1026525645521804,0.12038939936287284
NDP,0.0034872354491242083,0.011720884376296451,-0.035519418663369974,0.05263340158121141,-0.04710899350498376,-0.03084408763510844,0.10676719833753416,0.1580141656361901,0.15627859413025516,0.020078871482252608,-0.06171492318720095
TNFSF18,-0.023106344664115555,0.002291189565182863,,0.028357736322673202,-0.01650311597171086,,,,-0.03017372961851619,,0.07533743335374866
IL36G,,,,,,0.017656613112569757,,,,,
RTN4,0.062362280979962735,-0.004400192661940745,0.014993821792316672,-0.12344910261507723,-0.008051110814594132,0.007517980786612537,-0.04371415820825992,-0.082676576155981,-0.2640299411194772,-0.08868542056862136,-0.07184207555977494
HEBP1,-0.05342401366443365,0.019134695167291157,0.0033000512670090416,0.05810981163139098,-0.03687443407154218,-0.041738654828167854,0.08046340960421387,0.11855416145233783,0.014409056056034483,0.0020195764054901266,0.06849767641098842
WNT7B,0.038245869474276724,0.021333075913198673,0.11225041557317049,-0.04786507853838393,-0.008053276660954603,-0.012754400314103562,-0.020159554390111405,0.056034237989241086,0.0004900989008076581,-0.04259812370679942,-0.04993670678462211
PTMA,-0.05016713458370103,0.06496046784118008,-0.0475858995485497,-0.04706611559251786,-0.03299852411353015,-0.0628951592358436,-0.20640437532837147,-0.027411721349961476,-0.27591177694872604,0.04229794916576348,0.182434971600994
FASLG,,,,,,,,,,,-0.02029130906410186
CEACAM1,,-0.016030773009502314,-0.013897370247644933,0.08318368195607716,-0.015197509752226333,,-0.00661664671406527,-0.0602574275516725,0.20022808808954964,0.05561367122811882,0.06124242071885286
PDAP1,-0.05273612246281654,-0.06485990922349595,-0.0153646688558586,0.08295918804519907,-0.05839722085786761,-0.026365990648492897,-0.06074715296952947,-0.0699764878894053,-0.0007326109336744724,-0.02501845491806746,-0.05940167214221514
QDPR,0.07170162854144997,0.005068944134778254,0.05272553202669043,-0.11110013932949135,-0.05023673427518194,0.03572880094820716,0.05599910404710262,0.09812053559047601,-0.2526867535791717,-0.06509108636524007,-0.04157933914607791
POMC,0.11882788694561987,-0.0005212327566074539,-0.014770892264280399,0.06450917663547674,-0.019148910737903254,-0.02486221494075256,0.057043142554464396,0.07015090542127496,0.024830316736169814,-0.024457443291376224,-0.003790996920036303
CCL18,-0.030987508095897762,-0.020004890063866333,,,,,0.06895700996821885,0.053179143235631554,,0.03516698471429011,
CCL17,,,,,-0.006620119294189805,-0.010600805398167422,0.024567372706664186,0.06417337890600332,0.1500396442299351,,-0.01839179255450683
VEGFD,-0.03491386444789956,-0.0200048964163559,-0.013296217009434699,0.03756768033109118,-0.02192901798775649,-0.011361211487531553,,0.024573225168574308,-0.040685335442497,,
TNFSF13,,-0.015096336789142578,,,,,0.07465637707685517,0.070777051781426,0.022175589601815923,0.05710433611843411,0.025141531579438072
WNT5A,-0.014342843831360712,-0.010538712973704177,0.05265737089505472,0.08855981512605897,-0.01713023911040367,-0.03177865388155611,0.060509704954396844,0.05700143142242957,0.07960156584164735,0.03679679730221222,0.09957874972869193
CXCL8,-0.1396305821498897,-0.03557457830216752,-0.054253116102371574,0.03062745311168642,0.03908819106048719,0.0064828552853090395,-0.04155236461212878,-0.180958923334102,0.05867933003072846,0.03559269015587042,0.018040383416382692
GRN,-0.043806813093518374,0.0437249293347049,-0.026706446438402025,0.15487134950870343,-0.044084489979538004,0.05687711555319042,0.024516939557509797,-0.04974836798348485,0.20404217735742178,0.08925311928030058,0.11696841589548114
