,UKF248,UKF304,ZH1007inf,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.01950571569611802,,
BMP1,0.014521333635752882,0.000527872684786468,-0.0017285203445255178,-0.07292292797818713,-0.002688344850726494,-0.025156235846891622,0.014827978717157951,-0.0023447340641919194
NDP,-0.07342700834862238,0.0495096991123996,0.05291376562782824,0.05740057913479348,0.01905750024648957,-0.09355848651938371,0.02157341400410228,0.06617823126116822
TNFSF18,0.032079418452484514,,0.14931196965202373,-0.028250233596884528,,-0.020115900301305674,,0.16818152981073967
RTN4,0.09625195577799704,0.02172137974746674,0.057022835078421444,0.08740709173117053,0.037740539551410726,-0.015714552621554672,0.08894307334415733,-0.031027263579271953
HEBP1,-0.000252178883641529,0.027519246620642507,-0.053175874559849366,0.01897796315179071,-0.02691728971763085,-0.06485124536195616,0.014726084732097047,-0.00044030576472539016
WNT7B,0.006606530862244469,,-0.032362109511096235,,0.02159724628636364,-0.04206397486402076,0.07667084228509621,-0.012713995345041572
PTMA,-0.046853691644273304,-0.021020748000155288,-0.010032421514157926,0.08986979016182256,0.018766760070838478,0.0897901417898251,0.019492502904317217,0.00017806293539329932
CEACAM1,-0.015340651513288917,,,-0.03363200651242086,-0.014947340834816754,-0.028904448604559662,-0.01731964218305962,
PDAP1,-0.041982175108748604,-0.020686659865888274,-0.04679798663306133,0.039326223479320674,-0.0075230265817190604,0.032505280574770944,0.008472437587121446,0.005990256826765508
QDPR,0.007758682491478759,-0.08444825872388699,-0.06318439094121159,-0.018732802704343507,0.03612482173366092,0.017252119739835765,-0.059923108086474296,0.01790025674230083
POMC,0.0042912368319348825,0.10599316774272882,-0.07922122074504394,-0.01903198679376137,0.0134883408224991,0.005104305909643683,0.01151573054562604,0.07696829536439873
CCL18,-0.019143683642050206,-0.037739015831147166,,,0.011209820271522088,,0.00965701329013689,
CCL17,,,,,0.09702084171622792,-0.02571715939729187,,
VEGFD,-0.0191436897210664,0.003850402501288361,,-0.04572197584763641,-0.014947340834816754,-0.027123665580413396,,
TNFSF13,-0.014446442580916376,,,,0.011006460705151227,-0.02757832763055285,-0.01944879736524719,0.12661691699400002
WNT5A,0.08319191117596811,0.11222179990957051,-0.060488227890024795,0.027507302078060677,0.07657839278628993,-0.028043494064552383,0.028455289407538175,-0.02032356771607476
CXCL8,0.016511129296248688,0.04959235728193919,,-0.03369086918424995,-0.05591581382433299,-0.036512760399001594,-0.029702703135086342,0.02641731288109331
GRN,-0.024138019739837643,-0.019021899870859022,0.07064817747987735,0.04342493802396408,0.012539193395618889,-0.003561420459570849,0.0004914290087037766,0.017823777723372552
MIA,0.02475335512926223,,0.0013756135901282496,-0.05049624387428403,0.04838105382121217,0.027310148900014788,-0.06137288784976365,0.05241976416536452
COL4A4,-0.022991408516152226,,,0.15377471051514904,0.02900645717837334,-0.012061937504289376,-0.024346431633691327,0.005781713647121534
TAC1,0.04010387283425916,0.018346923755781674,,,,,-0.01701424099260676,-0.002503678323198763
RARRES2,0.026591360825601876,0.03336226223475483,-0.043639091632407326,-0.012618037652898303,-0.024191565452474768,-0.08424927603099891,-0.06683833819107012,-0.011064082763738355
FGF7,,-0.001980982055858144,0.01830194760367565,0.0019673782661823987,-0.005314085253309346,-0.016712379764301424,0.007798114997655235,0.08428379103290999
EFNA2,,,,,0.04286735840626963,,,
HBEGF,0.006868921971816208,-0.01869737313155333,0.029343753423281767,0.029701194650933106,0.028873965384134875,0.04848005368876093,0.01579429952093775,0.07894040357328146
CSF3,,,,,-0.003376362688277567,,0.0060757258328768245,-0.0008641319156400732
PI3,0.013351843021542477,,,,-0.025563628863267875,0.0013472424216454375,-0.005587533987067299,0.0241046375816465
PCSK1N,-0.003107812505117523,0.01806122732078593,-0.0221067893795963,-0.07356882775230976,0.0003117608592404481,-0.004562454473232239,0.054673367161165345,-0.004840926613167558
NTS,,0.17836735445243174,,,-0.01730785997780566,,0.007195635599014767,
SFRP1,-0.03422396076753871,-0.0053488858935846146,0.073346161183697,0.03825568980137479,0.010385262399253784,0.04216597590769191,0.127405155911497,0.022330559995971735
CXCL13,,,,,0.08381484264535659,,0.018294406334833768,0.1195486077712691
MICA,0.03459753167163695,0.07425976111368648,-0.0637416920165887,-0.08298150331445639,0.06443681963619681,0.008242972826433608,0.029785279158406057,0.012550856407259099
TG,0.051859003076110216,,-0.037672326506575614,0.01462176879205233,0.035829560932624197,,0.015803309001062756,0.021269091295320383
ADA,-0.009183601149538296,-0.037230359872256015,-0.023954994440573047,-0.0060175145520773255,-0.05611972288963803,0.03217111970242929,0.0012566512752557404,0.038484774825295595
LAMC3,0.029308041284482868,0.09637859722263294,0.01951700151075403,0.056333814524333066,0.021248843714273945,-0.010868219863381635,0.06264367494117078,0.012860965884080002
CCL7,-0.01217700001195617,,,,,,,-0.02935488303775428
NGF,-0.020907304321835078,-0.01943264899835244,,-0.017374806488193607,0.015498247412704362,,0.013974820774554595,0.05064617490625162
TNFSF15,,,-0.03472434856365777,0.08689081925315377,,,-0.015419048997002043,0.018325762896660144
HMGB1,-0.05515925422515391,-0.03294129106629325,0.06197115131965808,0.09252834686777056,0.006081451695122073,-0.010600476861675985,0.053489562831419576,-0.004454223344348615
ITGB3BP,0.007726367988334675,0.005430182220186126,0.01794030047930115,0.08740482481542133,-0.01959544754874445,0.024926425783326794,-0.013148751768667966,0.005142418428991312
AANAT,0.0208287805713181,-0.01826954794422829,,,0.10898763236747114,-0.03181130111453542,,-0.030854189620508954
RELN,-0.019509808289472273,0.015233265961528679,,-0.041341271896912626,,-0.03978199355051768,-0.018624540190143663,-0.03255073531064108
IL15,0.01262153356874314,-0.0374383845286375,-0.006622503910316582,0.04115081950513564,0.1060953115469259,0.010957728801270139,0.00394692724455105,-0.03963819014851816
UTS2,,,0.010418683888620401,,,,,
BSG,-0.044877659320075126,0.01207284111561994,-0.052235969190096626,0.0023736817085424464,-0.011919358267634616,0.023609272326886213,-0.05455987459396671,-0.03777814510376406
ADAMTS3,-0.020429359957943437,0.04490339231245663,-0.05142495861854382,,-0.01734110397985859,0.02884617304429563,0.028423495244636995,0.06386664955677854
CD34,-0.021671514902648088,0.012781370306730608,-0.009695686613046681,0.000990575630320515,0.01841369048207296,-0.09581784546074437,-0.008264886166797427,0.025976435139335168
CCL23,,,-0.0327662256661821,,,,,
PLAT,-0.03805174292562989,0.01831513488189691,0.08132037804642014,0.032288915683059215,0.0731543036393315,-0.015501285302995745,0.0662881975182978,0.00546599885873098
NTF3,,,,,0.010166851598731971,,0.05108374232227603,
CKLF,-0.055413048978956415,0.042547135237824774,0.030497986210682306,0.02125517675600264,0.017681335524512995,-0.01273576414397766,-0.005745149511230778,0.04319897773971839
CD24,-0.010904374681101501,0.10556438455147792,-0.05131820298066492,0.047116386528524054,0.004695073896711526,0.005678176667922548,0.009084506101652711,-0.029808141917823317
HSP90AA1,0.029332759717985334,0.024916778718407993,0.06127277095933217,0.14541124982483672,-0.08077725985652953,0.09461469145000413,0.07659952473825532,-0.02542379849224797
BMP4,-0.032287884975956804,-0.02914032539969124,-0.048483738445014656,0.058515033659719926,-0.02810695735900304,-0.015449032222461407,0.05383443302665855,0.1295983338498162
