,MGH258,UKF243,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,-0.016360134474518,
BMP1,0.010250149133319345,0.11279646104577025,0.024836142523795426,0.010131097056540812,-0.022979476037822914,-0.007013599970361066,0.09756271670767716,-0.0011738796399300606
NDP,-0.06264760454896659,0.07942985185315947,0.13935110618313068,-0.0016517814735574515,0.012012100959754236,0.03550500129987585,0.07856803575805542,0.006702839331931667
TNFSF18,-0.024727748360837003,-0.02642754376068092,0.03662398951883673,,,,-0.016871917910238714,
RTN4,0.018433550465046807,0.010866381842344945,-0.007742054821058061,0.005340450506583917,0.01738337197815394,0.019214021936707862,-0.015164522975767427,0.014607383470042909
HEBP1,0.023611833223421693,0.011986298960885754,-0.029752250555692295,0.0342883459384824,0.011793003169000383,0.018221154255771876,0.02885567178365551,0.0012947153346783706
WNT7B,-0.021784371811281643,0.07584951477186475,,-0.03318917330754515,0.03310440778907263,-0.03178786816099584,-0.035280545252952863,0.04905087847757263
PTMA,-0.08067768900051865,-0.07160010076136367,-0.040485876654919886,-0.05580154715255816,-0.0020358236761170707,0.04979680302189911,-0.03899649467136121,0.06242533949302904
FASLG,-0.021784377969667746,,,,,,,
CEACAM1,0.03582402240039381,,-0.03193203916575362,0.06344993363662178,-0.025323612094710228,-0.015399742200159886,-0.024243184584942033,-0.016848515775365884
PDAP1,0.05881948433379599,0.0799216421080828,0.07952717606750098,0.02660106296512404,-0.008664785068591663,0.04404217192202304,0.049151730474558564,-0.011788383543302177
QDPR,-0.08586220712073804,0.07870662163217823,-0.016154092633511544,0.03340616397546288,0.045971556236619665,0.03499306768268783,-0.07612258299221085,-0.053659095855354805
POMC,0.016392209445467366,0.021905681346608506,0.08634247052522702,-0.07088259531042675,-0.05378483467298817,0.06028820536084769,-0.03214270244202635,-0.0011071383700187738
CCL18,,-0.03544150916741891,,-0.021103578174025573,-0.03714919042649041,-0.037605150687601306,,0.009668101644021427
CCL17,,,,,-0.017965877083918037,-0.02223049465302821,0.122518708397214,
VEGFD,,-0.010075103556735588,-0.043410907492634015,,,-0.015399742200159886,0.08618691258724538,
TNFSF13,,,,,0.004257853930270174,-0.024163787651410126,-0.023130919964549357,0.06004841041956671
WNT5A,0.09137727231734691,-0.019822248142898583,0.05603103797148623,0.04842905867615666,0.044132517902870795,0.08272984094898056,0.08236738977826263,-0.019581558888760456
