,ZH1007nec,ZH8811Bbulk
BMP1,-0.08659082904990344,0.00558084274948933
NDP,-0.10640280854791889,0.036235259579702125
RTN4,-0.027444699497048364,0.006214805994820086
HEBP1,-0.012230780550987376,-0.031030730386364537
WNT7B,0.20480009053936593,-0.026180817230907476
PTMA,-0.08937398189831984,0.018726824029593123
CEACAM1,0.0684729259921054,-0.01808102259065089
PDAP1,-0.025032453127619904,-0.013161352903796695
QDPR,-0.08735790622426466,0.07228815562601985
POMC,-0.03577880342098506,-0.001198626893784238
CCL18,0.14922494521338,-0.02391595193885969
CCL17,,-0.026101091225967005
VEGFD,0.0813856028589738,0.11439403026212884
TNFSF13,,-0.014118716257272882
WNT5A,-0.001919092018993195,0.007751812247628567
CXCL8,0.03887143688281887,-0.07766166188009847
GRN,0.10042577392407888,0.01250473608303824
MIA,-0.017918508257655293,0.015698916107484303
COL4A4,,0.0284677625594387
RARRES2,0.03735175622407257,-0.03510391875257408
FGF7,0.061524719449840976,0.04909600472338114
EFNA2,,-0.01718480193474339
HBEGF,-0.03775331266115445,0.04028045593663022
CSF3,,-0.006482698265817975
PI3,0.0004732755052249913,-0.08943128678469316
PCSK1N,-0.08717651059285314,-0.030901297125536683
NTS,,-0.02093642011063188
SFRP1,-0.012399477652303327,-0.010327035068115888
CXCL13,,-0.034863431092954145
MICA,-0.008117713267875831,0.026308185489566673
TG,-0.010972501006013336,-0.02578549006086473
ADA,-0.05576641954864497,0.04524391366621967
LAMC3,0.010019519762305872,0.04644881311609235
NGF,,0.1714225492833287
HMGB1,0.010158852543424586,0.06550698987361661
ITGB3BP,-0.013579185700170445,0.0073301503581845945
AANAT,0.0011573838831813125,0.04671683022306341
IL15,0.050151636968610205,0.020197301307088238
UTS2,-0.040840017312523375,
BSG,0.10151800481480984,-0.008079516320604769
ADAMTS3,-0.08331165304432728,0.103483871500623
CD34,-0.017510092971839097,-0.003102833797121004
PLAT,-0.023177240155537224,0.09235253047147289
NTF3,,-0.009972294822089047
CKLF,-0.019586510355316365,0.05541229061695644
CD24,-0.053608996544791426,0.0039920665677522765
HSP90AA1,0.1460966182789355,-0.06985363694610609
BMP4,-0.03625782965078342,0.03333224506690837
SCGB3A1,-0.03968688331251851,-0.03289612702699167
IGFBP4,0.04483003853643509,-0.06660058265307824
LEFTY2,-0.0012779375060432134,-0.019759434680489064
PF4,,-0.015751060732455763
ANGPTL2,-0.03678131026825857,0.039367482137189644
LRIG2,-0.027637378574938393,0.08249128743614353
ICOSLG,0.04070724328920502,0.07403274627948137
NPPC,0.08706475903697956,0.07015818660896042
LYZ,0.11518276946331182,-0.03772330139917641
EREG,,-0.05004967127452781
SPTAN1,-0.06304566377873805,0.044523693005049624
LIPC,-0.004501594950927478,
COL8A1,0.0940335183204652,0.007545835855940071
GSTM2,-0.02776142925671119,-0.022250150638675577
IL4,-0.03416926273977512,
SPX,,-0.019556955177671833
MFGE8,0.03879541228560579,0.011969390978878587
TGFA,0.02803656735795858,0.10851247821066785
SLIT2,0.22764025509013525,0.02894999792089839
PLTP,0.007144182231423745,0.0375883212909886
APOD,0.10834932888699278,0.07389775840464093
B2M,0.12518273936632288,0.03196990515187662
OMG,-0.015476928017271954,0.09445040634722773
CXCL3,-0.06924990834765546,-0.0035289060568066237
CXCL10,-0.009501598580314753,-0.002013791333977623
RSPO3,,0.023137282170271858
CORT,,-0.016482684491464884
NCAN,-0.03726878744807687,0.06918115011089658
PRG4,,-0.024321209609304825
TGM2,0.14008779941597044,-0.06613356747925558
VEGFC,0.08530809095205472,-0.03302529246960466
WNT6,-0.04332894844457236,-0.004385332766673716
PMCH,,-0.023126088155487213
COL9A1,0.04268495656089736,0.08820766984812033
GDF11,-0.06569829879568553,0.01573905952558811
IL24,,-0.01549991807721048
SORBS1,-0.03292777727254434,-0.019151528875705304
DLL1,-0.009139175733765775,0.07953374618384773
TLN1,0.12387371314807802,-0.03740965680430595
COL2A1,,0.00023427920775736795
SHH,0.011465589505597161,0.017525029095383653
PON2,-0.039336329631929096,0.0381937042191743
ICAM5,,0.08305370592845447
HPX,-0.017359810091055375,-0.0033564741600980164
SFRP2,0.06496934853725125,0.044521018414220424
CD70,,0.024609678892558086
HP,-0.0004724267769525119,0.05932573749709315
CXCL2,-0.048379266601884935,-8.746816798429517e-05
NPPB,,-0.027136584690900252
CCK,,0.027407930218189644
SEMA6A,-0.013769099482931946,0.05374536086533118
