,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.06631495920755147,,,,,,,-0.020120865494311385,,,,
BMP1,0.028366517425375694,0.04898479082380698,-0.025071233732168546,-0.016660672805325467,0.03642743481134737,-0.024809718437543954,-0.09828298175030603,-0.20551349482229464,-0.44311511437348233,-0.12110893438026817,-0.022388526503516755,-0.1443935254049016,0.09287948158443783,-0.34227381538657314,0.05777687388160325,-0.01806081004826031,-0.06355134694774887,-0.051819364424757854,-0.13579528231398558,0.08509661925440785
NDP,-0.013890168331532537,-0.021649946324334052,0.03872913087363056,0.021914501763042483,-0.0003820589374228157,-0.008020125148267136,0.16877588602403476,0.0424883265919266,-0.08698504902055024,0.08074664969387796,0.0007949910696755224,-0.09262332794461842,0.016632794382170215,-0.033392341014886924,0.0034167286203314923,0.07435945819174944,0.11901311129815492,-0.0020998959038837054,0.08531763127938016,0.010518526205800637
TNFSF18,-0.020895696770287586,-0.023606081114893488,-0.012147944387254302,-0.02372386607004569,,,,-0.015764584803677293,-0.08716131051452042,-0.037515440707772636,,,,,,-0.020750293430150914,,0.06791507737922134,-0.08533134214581971,
IL36G,,,,,,,,,,,,,,-0.041922106412652545,,,,,,
RTN4,-0.08108593048179463,0.11327441343693663,0.08177201967158332,0.12452384951938189,-0.009977629665278242,0.09532943245901608,0.1963000817108749,0.4498302339567884,0.5404548403429518,0.27464454198766625,0.16402099075656112,0.49064760116119766,-0.0026337433801508904,0.5782465900761209,0.09282092602325237,-0.03236956009908349,0.04164379778207135,0.08437307681652506,0.44608247455623884,0.10856838174383378
HEBP1,0.025715208090564184,0.02424365727015074,-0.049780258473375465,0.04829001591896383,0.003515949319939718,-0.05067060907019531,-0.0012792031986744532,-0.13500963895216794,-0.2369404310272354,0.010980986239594925,0.00010216289349021267,-0.183882397226849,0.060130326819386126,-0.07125653107331668,0.000270522899543126,0.0009047236727262704,0.008729669260835139,-0.04517533978383044,-0.031587735388756574,0.02572783371757289
WNT7B,-0.01840845438320102,0.2397792437568346,0.06286949724808256,0.004286357787681746,0.00866923793558196,0.07720994666672265,0.06594248196148438,0.01094324830553723,0.2499264386197784,0.036294937129536936,0.06391677245888612,,0.05018113855943555,0.17739154393508774,-0.005931915959664345,-0.02077656340311923,-0.03912589071640178,0.027095584705516717,0.06279539067500747,-0.018283467301384172
PTMA,0.03949625960320121,-0.019518698284001244,-0.0006762642227962161,-0.08047665700185731,0.05955624743238508,-0.038541902737299454,-0.18381658618158014,-0.45525006352443775,0.13311922335756027,0.18074160338979747,-0.16607166407415522,-0.5406593455364767,0.0840845398658466,-0.5540265109037593,-0.03281359118591241,-0.04645044062446443,-0.03840465622778283,-0.1259561167154211,-0.23486509462125255,-0.09215036988707455
FASLG,-0.018408459587223917,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.025560307241940687,,0.10493566840837809,-0.03926547873257521,,0.04135943075410647,-0.018351052024340505,,-0.11741953476989038,0.009525259808111657,,,,,-0.0187637893835166,-0.013350242575565795,0.019215896271566925,,,
PDAP1,0.0558590397508984,-0.09664428747286165,0.0612211709060783,-0.09358054203753116,-0.01977762358091049,0.05022145894399144,-0.12602168118183665,-0.2312054187600613,-0.33321953624654493,0.05196117596450626,0.04091176466545175,0.023570952870688066,0.06528532352704695,-0.2820326237534646,0.05840499795744727,-0.022943709727203495,-0.04716974914231362,-0.048924466651336575,0.009987983071555174,0.05269756249833227
QDPR,-0.03523557616279639,0.07754534660282172,0.09223665385196791,0.04041484455630752,0.049195830732657965,0.0332775425013305,0.19689070103708628,0.31343647218494525,0.2664926135757407,0.2179399756421401,0.10123759520305656,-0.35476893802256676,0.023786819482083204,0.14944117125867884,0.009782209297130293,-0.031997357332602235,0.0829022972774392,-0.1755617009323143,0.3546988836378601,0.029010822658270964
POMC,0.025207357823430906,0.09171393523138305,-0.018595198577229216,-0.06605244033306083,,0.039873517361764706,0.1206652306352808,0.025466560773516146,0.017794270162447227,-0.024919654570965726,0.05920013774643982,-0.013594046438548729,-0.009633459683267781,0.15104680206669815,0.029582137310584084,-0.007366729437624077,0.07789444925877594,,0.0533189868672761,0.0472582188281928
CCL18,,-0.03165769576683413,-0.05539115416876384,,,,,,,,,-0.19087320367086685,0.008811371110188749,,0.07010315868681113,,-0.01591829292744091,,,
CCL17,,,,,,-0.03862283609495183,,,,0.028101839740503416,-0.07002914644392183,,,0.04058692398114721,-0.013312000374670204,0.04754385680883805,,,,
VEGFD,,-0.0009222794883629741,0.07070852519250607,-0.005139897053721353,,-0.0461130652414951,0.01775369267131415,,-0.11109534524695963,0.06263077700980166,0.03894086103567965,0.06198081424445647,-0.026507926636962355,0.013269405404798823,,-0.02797906189952289,,,,
TNFSF13,,,0.046474445548675275,,,0.058138325721670374,,-0.02619059749537311,,,,,,,0.04086855795909239,-0.02844806258110488,-0.029160798226740434,,0.012570618827550638,
WNT5A,0.019818546807373178,-0.027662927989807046,0.007552904288870166,-0.057737291394795935,0.0033510673306314832,0.0557004085304032,-0.09203766591281655,-0.3685891454984272,-0.3427163127618203,-0.030521678157771206,-0.07022789975971644,0.06839001995768872,0.032288738871495005,-0.1390532930041925,-0.0056155117595918244,0.0007108795407895238,-0.02767221750852261,-0.06459808620758657,-0.19512994776533094,0.052089602855584005
CXCL8,,-0.14752534642656848,-0.09721614746845066,-0.04122882371113739,0.0007886116374498958,-0.014357338666357106,-0.12412221857499912,-0.038360805099153975,-0.14791235370824896,-0.1296841289392712,-0.028460721836750403,-0.1913419030261337,-0.040622939222491945,-0.1620909034913104,0.0038961664633876403,0.029519360654405514,0.006728529601615361,-0.06000867882941303,-0.2458626879105145,-0.024378376005839718
