,UKF259,UKF266,UKF275,UKF296,UKF304,ZH8811Bbulk,ZH916bulk
BMP1,-0.0014421032826871735,0.058512506906004735,0.011999278404189457,0.04262509261499045,-0.04538063742438079,0.04916688139941468,0.059140308655736405
NDP,-0.0014176607105882643,0.08137855503272551,0.01250253266153603,0.019111203619180544,-0.033473977618262096,0.02745761704384602,-0.02529625623440471
TNFSF18,,-0.0036917264293134006,-0.010336035559905156,,,,0.02728511427266017
RTN4,-0.0002655146794049628,0.0752842902371626,-0.007630548494428962,0.0360671524618245,0.12215624815701936,0.02513786537221772,0.011618644467021001
HEBP1,-0.0434015374713435,-0.01921110802871396,0.04736870792178729,-0.04194790416350359,0.012321117672909951,0.04489982456373753,-0.03231820181669927
WNT7B,-0.0024765597324329764,0.021682594954190854,-0.01002114489893592,-0.025952296842388294,,0.022970290304946482,-0.007102425417081984
PTMA,0.014193920262876579,-0.04598107767625242,0.00039053687060316516,0.019943304350243007,-0.1202670323042146,-0.024224860545001555,-0.052136515338555595
CEACAM1,-0.03539050281571643,,-0.016256121540248462,,,-0.015399742828451215,
PDAP1,-0.006865121980529641,0.02740877349809576,0.0036822703963090625,0.025982883314381422,-0.02435940323786453,-0.057958605801280365,-0.0640400149055584
QDPR,0.04150556297139407,0.0034996484758058584,0.047038670700835374,-0.022059752949637888,-0.1311280967089035,0.013595954251024198,0.03540226076751109
POMC,0.021328620859847613,0.011681175187994216,-0.011993118309275214,-0.007570913811202386,-0.013463536648498966,0.012632016787816064,0.09183548994301617
CCL18,,,,,-0.04581573795727175,0.043252659313186004,
CCL17,0.007244252901508376,,0.029756369377178602,-0.03212166833649726,,-0.02223049556000619,
VEGFD,0.0033714676423926802,,0.006399336738141934,-0.023561632185825087,0.09844880054406556,-0.015399742828451215,
TNFSF13,-0.01414925183403284,-0.020543842786236634,,,,-0.02416378863726418,0.1455225294736522
WNT5A,0.034184376630442555,-0.010149334827305494,0.01907713163824302,-0.018130383474639557,0.05516582632481666,-0.01090826955703205,0.0189784729066202
CXCL8,-0.00688718682540654,-0.029222283907125845,0.05779851048634692,-0.02194161638526734,0.011013590556307467,-0.05791253421075163,-0.044195440104152876
GRN,0.04944995605742878,0.000502780287893084,0.03156503170838339,0.04556750774210144,-0.09300849583884974,0.06520903109243487,-0.0009949387133555906
MIA,0.032445879949713805,-0.03714722986794735,-0.025337526756233634,-0.026796394577840544,,-0.020225256829134373,0.12138653289727082
COL4A4,-0.024612485159335992,-0.0009776198021987088,-0.013458653682565193,-0.024340867340742,,-0.02465739615539451,-0.02949811748640683
TAC1,0.019392835724127467,0.04886309653070647,0.04131043685641095,-0.03322394434145731,0.12953382798594992,,-0.03362351592242468
RARRES2,-0.05666169964255623,-0.046632667249719505,0.044549323317054114,0.04438925589093455,-0.061415774756876484,-0.009555801738408093,-0.030549563630656945
FGF7,-0.0028003823628915824,0.08093149999810187,-0.020533617106979294,0.008702417584291598,0.016642834871809946,0.043174418877958656,0.0025555938358093177
EFNA2,,,,,,0.0409140367998402,
HBEGF,0.007446888251198085,0.015085938224594267,-0.028153389014754695,0.015021808750185207,-0.06461660905716365,0.06007998863900371,0.01821522709130897
CSF3,-0.01226991459854991,,,,,-0.021864005517246467,-0.044345371118750185
PI3,0.028631480916245948,,,,,-0.015083837851093861,-0.0004627281630314964
PCSK1N,0.04357664549664716,-0.0013303287992734083,0.029237053179233547,-0.023014823337569927,0.12577373303760658,-0.003787696385003656,0.024396302730645785
NTS,,0.1345916367512388,0.05801385550105141,0.06503342347346455,0.06858716533442957,0.0058453605112843005,
SFRP1,-0.017898187471504318,-0.029809143106341775,0.013335862759409855,0.004740595397785904,-0.03348948225030907,-0.04355053418667415,-0.005926092020478809
CXCL13,,,,,,-0.016038293331731443,0.021496452683183814
MICA,0.002556027711316873,0.04098559348566421,-0.02037069670786771,0.027635874084366116,-0.03657154422473935,0.02777631748196464,-0.02373926391668715
TG,-0.0193149799675462,-0.013438890393425391,-0.012987243730503837,0.002376382911564329,,0.0504626833893685,0.012819047325743325
ADA,-0.009769037296967082,0.08158287036124579,0.019966554722477513,-0.013999967733773454,-0.041727306826810404,-0.056545637368606044,0.08279396791326514
LAMC3,-0.022720134978658817,0.0011487833765771974,0.05139801293966376,-0.017832618832087144,0.01762299377762925,-0.02592384685217098,0.03214161489551696
CCL7,-0.013964699656426365,,,,,,-0.010132774904709357
NGF,-0.03199669366462922,-0.026283343790603805,,,-0.001511452068626028,-0.014439686784690233,-0.010946257205282271
TNFSF15,-0.015550376072141778,-0.008762379810054352,,,,,-0.006106822056909646
HMGB1,0.03691953878392314,0.011142840078715981,0.0024297624278166318,0.04614077778618947,-0.11771993026864205,-0.03692859912962307,0.028626612791925143
ITGB3BP,-0.025103390922895694,0.0030060981461117083,-0.031127061561308945,0.030778910713778956,0.026898554148045928,0.02931022577249634,0.0283157316079044
AANAT,-0.014149253344155557,,-0.011679504184530705,-0.026796396068324426,-0.022390110113844692,-0.019696663784715084,0.12421821332688382
RELN,-0.0245599351503247,-0.01329505075136568,-0.002688073216190452,0.090152464060838,-0.028860838217604417,,0.032464015550743616
IL15,-0.016159569873943243,0.00942777567999319,-0.03312814785534808,0.04012783563128307,-0.03358264691072775,-0.035709868241090535,-0.024142056746581823
BSG,-0.007640448382691595,0.04309258566386073,0.024036794076682074,-0.0026204162940804973,0.09166789950027962,0.02496666886908903,0.016515374249892894
ADAMTS3,-0.007489058150386142,-0.01669768374686336,-0.014217381869418007,0.04046494304863071,-0.02086840158187787,0.013609092992460025,-0.053363711372051606
CD34,-0.013068226593846047,0.028640119470352974,-0.005926354332968989,0.00736707799201065,0.035373591968016066,0.016557553522697204,0.02063528782247206
PLAT,0.02154193736659213,-0.013166868188720381,-0.0008597041968199581,0.08655859558176068,0.05205105185968558,0.015433524348480178,-0.02555242112858271
NTF3,,,,0.08585703825694616,,0.009242028776541527,
LTA,-0.017898186634198975,,-0.011248579724398666,,,,
CKLF,0.030181150019851166,-0.021383204021079967,-0.042930982791635756,0.003767224886564328,-0.014576901708692466,-0.0036925543356773637,0.0037394382948201686
CD24,-0.04304325019038595,0.0005659435098738458,0.02678223606306715,0.01815830345205646,-0.03206265075798603,0.012171707402969205,0.06258785445726064
