,MGH258,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1019inf,ZH8812bulk,ZH881inf,ZH916inf
IGFL3,,0.04827106285097185,,,,,,-0.008681559105462353,,
BMP1,-0.03964125698737853,-0.0576301348909421,0.005752369675645112,0.11386937962121656,-0.002049277371498399,0.053989034469224415,-0.020417751024025727,0.019646127198979964,0.044810758510159775,-0.12105703160142961
NDP,0.04800770728456895,-0.00781979840796971,-0.017298967617659783,0.14028937758266094,0.006585619500633408,0.009391538073207821,0.02338845699846678,0.040764472993988464,-0.007056589702061438,0.030039839610052684
TNFSF18,0.06470817055496778,-0.02142163768194942,-0.013506325325882383,,,,,-0.03976374492599891,0.03638898754436565,
IL36G,,,,,,0.007220163146015475,,,,
RTN4,0.004252745313985353,0.10705618150721083,-0.027282097995986136,-0.2710327249903424,0.027341878053388828,-0.03158669706533706,0.04265494899059584,0.013239990713188748,-0.025419928360778898,-0.01441054689521046
HEBP1,0.03192581232577797,-0.06919393327660443,0.007912121354160964,0.18298822120852296,0.027582931063148727,-0.006933098097129986,0.011977466707823028,-0.04792536289654302,0.020943848341679276,0.0014765155938453289
WNT7B,0.0978366911730521,0.011163326079058664,0.005479806005162233,,-0.02882179710898238,-0.02528768859555747,0.004275675596709031,0.00963383163773025,-0.019777765404016143,-0.03650621514897106
PTMA,0.06351837666857284,0.06312819025058841,-0.02248020944156082,0.42543860904189473,0.07385239177231473,0.08610116228745132,-0.09969139478438183,-0.053194003704682656,0.03901547254664305,0.001496878275209106
FASLG,-0.008736590185614124,,,,,,,,,
CEACAM1,-0.02312514594488442,-0.04378231060943552,-0.00802646345072984,,,,-0.0432645585441103,0.014434745466631529,,
PDAP1,-0.05989529582882018,-0.07177533847017087,-0.002890473463861456,-0.0006447915943822972,0.004203886422184665,-0.050133273983110536,0.05918928163457259,-0.06320149003990039,0.010030960981303187,-0.07708453155330915
QDPR,0.12400096940651757,0.0914103885481841,-0.05893461291578273,0.38047675863508235,0.05641172481169987,0.03800499791676029,0.02683736542780811,0.03274352766512835,0.0991955296029453,0.11175277268689471
POMC,0.005886333969041043,-0.049769751854703344,-0.015671671853105917,0.07851357022016651,-0.027201867159178304,-0.027842599711210066,-0.04673617696104659,0.021740217865795726,,-0.04713849318867887
CCL18,,,,0.14926978102198954,0.046153878426983486,,-0.010608341179954711,,,
CCL17,,,-0.016845017282145363,,,-0.02101783378043545,,-0.01612526491882776,,
VEGFD,,-0.037534295357059155,-0.017946941142961692,-0.06337078112289764,-0.01837868104613955,-0.022525463454936327,,-0.034800846583110986,,
TNFSF13,,,,,,,,0.010087119068128663,,
WNT5A,-0.018768114588401563,0.00409833653169344,0.03660111263938541,-0.023751898441313143,-0.016711600684782217,-0.006881299631387245,0.04108507001693822,0.02219433790953499,-0.03087043582684934,-0.02079915764324279
